species,class,order,family,mass_kg,brain_size,brain_units,source
Homo sapiens,Mammalia,Primates,Hominidae,50,1.48,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,65.8,1.31,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,74.8,1.41,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,74.3,1.36,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,57,1.351,kg,AnimalTraits
Homo sapiens,Mammalia,Primates,Hominidae,68,1.411,kg,AnimalTraits
Alligator mississippiensis,Reptilia,Crocodilia,Alligatoridae,52.4,0.00723,kg,AnimalTraits
Alligator mississippiensis,Reptilia,Crocodilia,Alligatoridae,109,0.0084,kg,AnimalTraits
Alligator mississippiensis,Reptilia,Crocodilia,Alligatoridae,173,0.0112,kg,AnimalTraits
Alligator mississippiensis,Reptilia,Crocodilia,Alligatoridae,205,0.01408,kg,AnimalTraits
Crocodylus acutus,Reptilia,Crocodilia,Crocodylidae,134,0.0156,kg,AnimalTraits
Heloderma suspectum,Reptilia,Squamata,Helodermatidae,0.514,0.000729,kg,AnimalTraits
Amblyrhynchus cristatus,Reptilia,Squamata,Iguanidae,4.19,0.00144,kg,AnimalTraits
Lacerta viridis,Reptilia,Squamata,Lacertidae,0.026,0.000134,kg,AnimalTraits
Coluber constrictor,Reptilia,Squamata,Colubridae,0.59,0.000271,kg,AnimalTraits
Coluber constrictor,Reptilia,Squamata,Colubridae,0.286,0.000303,kg,AnimalTraits
Coluber constrictor,Reptilia,Squamata,Colubridae,0.417,0.000299,kg,AnimalTraits
Boa constrictor,Reptilia,Squamata,Boidae,1.829,0.00044,kg,AnimalTraits
Thamnophis sirtalis,Reptilia,Squamata,Colubridae,0.052,7.7e-05,kg,AnimalTraits
Thamnophis sirtalis,Reptilia,Squamata,Colubridae,0.057,0.000123,kg,AnimalTraits
Python bivittatus,Reptilia,Squamata,Pythonidae,6.14,0.001123,kg,AnimalTraits
Agkistrodon piscivorus,Reptilia,Squamata,Viperidae,0.728,0.00064,kg,AnimalTraits
Clemmys guttata,Reptilia,Testudines,Emydidae,2.163,0.00136,kg,AnimalTraits
Chelydra serpentina,Reptilia,Testudines,Chelydridae,5.125,0.00098,kg,AnimalTraits
Chelonia mydas,Reptilia,Testudines,Cheloniidae,68.04,0.00582,kg,AnimalTraits
Chelonia mydas,Reptilia,Testudines,Cheloniidae,114.3,0.0086,kg,AnimalTraits
Apalone forex,Reptilia,Testudines,Trionychidae,3.253,0.0025,kg,AnimalTraits
Macrochelys lacertina,Reptilia,Testudines,Chelydridae,1.848,0.00101,kg,AnimalTraits
Dasyprocta punctata,Mammalia,Rodentia,Dasyproctidae,3.172,0.01834,kg,AnimalTraits
Dasyprocta punctata,Mammalia,Rodentia,Dasyproctidae,3.627,0.02185,kg,AnimalTraits
Dasyprocta punctata,Mammalia,Rodentia,Dasyproctidae,4.559,0.048,kg,AnimalTraits
Castor canadensis,Mammalia,Rodentia,Castoridae,4.18,0.02548,kg,AnimalTraits
Castor canadensis,Mammalia,Rodentia,Castoridae,5.83,0.02952,kg,AnimalTraits
Hydrochoerus isthmius,Mammalia,Rodentia,Caviidae,27.67,0.05221,kg,AnimalTraits
Tamias striatus,Mammalia,Rodentia,Sciuridae,0.075,0.0016,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.351,0.00363,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.361,0.0041,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.324,0.0038,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.21494,0.00332,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.21457,0.00328,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.432,0.004,kg,AnimalTraits
Cavia porcellus,Mammalia,Rodentia,Caviidae,0.456,0.00423,kg,AnimalTraits
Lepus capensis,Mammalia,Lagomorpha,Leporidae,2.93,0.01023,kg,AnimalTraits
Lepus arcticus,Mammalia,Lagomorpha,Leporidae,1.901,0.01436,kg,AnimalTraits
Lepus arcticus,Mammalia,Lagomorpha,Leporidae,2.64,0.0139,kg,AnimalTraits
Lemmus trimucronatus,Mammalia,Rodentia,Cricetidae,0.032,0.001126,kg,AnimalTraits
Lemmus trimucronatus,Mammalia,Rodentia,Cricetidae,0.048,0.001312,kg,AnimalTraits
Dicrostonyx groenlandicus,Mammalia,Rodentia,Cricetidae,0.0521,0.0008983,kg,AnimalTraits
Dicrostonyx groenlandicus,Mammalia,Rodentia,Cricetidae,0.0552,0.0008447,kg,AnimalTraits
Mastomys coucha,Mammalia,Rodentia,Muridae,0.0218,0.0007132,kg,AnimalTraits
Zapus hudsonicus,Mammalia,Rodentia,Dipodidae,0.0193,0.0006961,kg,AnimalTraits
Zapus hudsonicus,Mammalia,Rodentia,Dipodidae,0.0152,0.000522,kg,AnimalTraits
Microtus drummondi,Mammalia,Rodentia,Cricetidae,0.0237,0.0006606,kg,AnimalTraits
Microtus drummondi,Mammalia,Rodentia,Cricetidae,0.0229,0.0006464,kg,AnimalTraits
Microtus drummondi,Mammalia,Rodentia,Cricetidae,0.0325,0.0006724,kg,AnimalTraits
Microtus pennsylvanicus,Mammalia,Rodentia,Cricetidae,0.0252,0.0007166,kg,AnimalTraits
Microtus pennsylvanicus,Mammalia,Rodentia,Cricetidae,0.0279,0.0007394,kg,AnimalTraits
Microtus pennsylvanicus,Mammalia,Rodentia,Cricetidae,0.0413,0.0007635,kg,AnimalTraits
Peromyscus sp.,Mammalia,Rodentia,Cricetidae,0.0122,0.000407,kg,AnimalTraits
Peromyscus sp.,Mammalia,Rodentia,Cricetidae,0.0184,0.0004511,kg,AnimalTraits
Peromyscus sp.,Mammalia,Rodentia,Cricetidae,0.02,0.000443,kg,AnimalTraits
Ondatra zibethicus,Mammalia,Rodentia,Cricetidae,0.9,0.00533,kg,AnimalTraits
Erethizon dorsatum,Mammalia,Rodentia,Erethizontidae,2.8,0.03077,kg,AnimalTraits
Erethizon dorsatum,Mammalia,Rodentia,Erethizontidae,2.725,0.02122,kg,AnimalTraits
Erethizon dorsatum,Mammalia,Rodentia,Erethizontidae,3.41,0.01915,kg,AnimalTraits
Lepus sp.,Mammalia,Lagomorpha,Leporidae,3.68,0.01059,kg,AnimalTraits
Lepus sp.,Mammalia,Lagomorpha,Leporidae,2.587,0.01014,kg,AnimalTraits
Sylvilagus gabbi,Mammalia,Lagomorpha,Leporidae,0.439,0.0045,kg,AnimalTraits
Rattus norvegicus,Mammalia,Rodentia,Muridae,0.197,0.00161,kg,AnimalTraits
Rattus norvegicus,Mammalia,Rodentia,Muridae,0.278,0.0023,kg,AnimalTraits
Tamiasciurus hudsonicus,Mammalia,Rodentia,Sciuridae,0.248,0.00502,kg,AnimalTraits
Tamiasciurus hudsonicus,Mammalia,Rodentia,Sciuridae,0.183,0.00471,kg,AnimalTraits
Tamiasciurus hudsonicus,Mammalia,Rodentia,Sciuridae,0.169,0.00421,kg,AnimalTraits
Tamiasciurus hudsonicus,Mammalia,Rodentia,Sciuridae,0.183,0.00397,kg,AnimalTraits
Tamiasciurus hudsonicus,Mammalia,Rodentia,Sciuridae,0.063,0.00409,kg,AnimalTraits
Bison bison,Mammalia,Artiodactyla,Bovidae,54.88,0.334,kg,AnimalTraits
Syncerus caffer,Mammalia,Artiodactyla,Bovidae,750,0.64,kg,AnimalTraits
Syncerus caffer,Mammalia,Artiodactyla,Bovidae,572,0.642,kg,AnimalTraits
Syncerus caffer,Mammalia,Artiodactyla,Bovidae,759,0.653,kg,AnimalTraits
Tragelaphus sylvaticus,Mammalia,Artiodactyla,Bovidae,35.38,0.14,kg,AnimalTraits
Tragelaphus sylvaticus,Mammalia,Artiodactyla,Bovidae,53.07,0.19,kg,AnimalTraits
Rangifer tarandus,Mammalia,Artiodactyla,Cervidae,71.7,0.278,kg,AnimalTraits
Rangifer tarandus,Mammalia,Artiodactyla,Cervidae,128.47,0.306,kg,AnimalTraits
Rangifer tarandus,Mammalia,Artiodactyla,Cervidae,62.14,0.285,kg,AnimalTraits
Emys orbicularis,Reptilia,Testudines,Cryptodira,0.25,0.00025,kg,AnimalTraits
Testudo graeca,Reptilia,Testudines,Testudinidae,0.32,0.0003,kg,AnimalTraits
Lacerta viridis,Reptilia,Squamata,Lacertidae,0.05,0.000121,kg,AnimalTraits
Natrix natrix,Reptilia,Squamata,Colubridae,0.07,0.0001,kg,AnimalTraits
Hierophis viridiflavus,Reptilia,Squamata,Colubridae,0.22,0.000209,kg,AnimalTraits
Ctenophorus caudicinctus,Reptilia,Squamata,Agamidae,0.01528,0.00010583763,kg,AnimalTraits
Ctenophorus cristatus,Reptilia,Squamata,Agamidae,0.03557,0.00018287028,kg,AnimalTraits
Ctenophorus decresii,Reptilia,Squamata,Agamidae,0.01608,0.00011085896,kg,AnimalTraits
Ctenophorus fionni,Reptilia,Squamata,Agamidae,0.01493,9.8617652e-05,kg,AnimalTraits
Ctenophorus fordi,Reptilia,Squamata,Agamidae,0.00399,4.6336153e-05,kg,AnimalTraits
Ctenophorus gibba,Reptilia,Squamata,Agamidae,0.01507,0.00010293179,kg,AnimalTraits
Ctenophorus isolepis,Reptilia,Squamata,Agamidae,0.00819,6.5747709e-05,kg,AnimalTraits
Ctenophorus nuchalis,Reptilia,Squamata,Agamidae,0.02619,0.0001480071,kg,AnimalTraits
Ctenophorus ornatus,Reptilia,Squamata,Agamidae,0.02175,0.00011761163,kg,AnimalTraits
Ctenophorus pictus,Reptilia,Squamata,Agamidae,0.00959,8.3510949e-05,kg,AnimalTraits
Ctenophorus rufescens,Reptilia,Squamata,Agamidae,0.02044,0.00012032505,kg,AnimalTraits
Ctenophorus salinarum,Reptilia,Squamata,Agamidae,0.00884,8.3453927e-05,kg,AnimalTraits
Ctenophorus tjantjalka,Reptilia,Squamata,Agamidae,0.01056,9.4429096e-05,kg,AnimalTraits
Ctenophorus vadnappa,Reptilia,Squamata,Agamidae,0.01435,0.00010497037,kg,AnimalTraits
