species,class,order,family,mass_kg,brain_size,brain_units,source
Chrysochloris stuhlmanni,Mammalia,Afrosoricida,Chrysochloridae,0.0398,0.00074,kg,AnimalTraits
Elephantulus fuscipes,Mammalia,Macroscelidea,Macroscelididae,0.057,0.00133,kg,AnimalTraits
Rhynchocyon stuhlmanni,Mammalia,Macroscelidea,Macroscelididae,0.49,0.0061,kg,AnimalTraits
Tupaia javanica,Mammalia,Scandentia,Tupaiidae,0.105,0.00255,kg,AnimalTraits
Tupaia glis,Mammalia,Scandentia,Tupaiidae,0.15,0.00315,kg,AnimalTraits
Urogale everetti,Mammalia,Scandentia,Tupaiidae,0.275,0.00428,kg,AnimalTraits
Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,0.177,0.00314,kg,AnimalTraits
Cheirogaleus major,Mammalia,Primates,Cheirogaleidae,0.45,0.0068,kg,AnimalTraits
Microcebus murinus,Mammalia,Primates,Cheirogaleidae,0.054,0.00178,kg,AnimalTraits
Prolemur simus,Mammalia,Primates,Lemuridae,1.3,0.00953,kg,AnimalTraits
Lepilemur ruficaudatus,Mammalia,Primates,Lepilemuridae,0.915,0.0076,kg,AnimalTraits
Eulemur fulvus,Mammalia,Primates,Lemuridae,1.4,0.0233,kg,AnimalTraits
Eulemur albifrons,Mammalia,Primates,Lemuridae,1.54,0.0223,kg,AnimalTraits
Eulemur rufiventer,Mammalia,Primates,Lemuridae,1.4,0.0266,kg,AnimalTraits
Eulemur mongoz,Mammalia,Primates,Lemuridae,1.6,0.0241,kg,AnimalTraits
Eulemur catta,Mammalia,Primates,Lemuridae,1.96,0.022,kg,AnimalTraits
Eulemur macaco,Mammalia,Primates,Lemuridae,2.04,0.0235,kg,AnimalTraits
Eulemur variegatus,Mammalia,Primates,Lemuridae,3,0.0315,kg,AnimalTraits
Avahi occidentalis,Mammalia,Primates,Indriidae,0.86,0.00967,kg,AnimalTraits
Avahi laniger,Mammalia,Primates,Indriidae,1.27,0.01145,kg,AnimalTraits
Propithecus coquereli,Mammalia,Primates,Indriidae,3.48,0.0267,kg,AnimalTraits
Indri indri,Mammalia,Primates,Indriidae,6.25,0.0383,kg,AnimalTraits
Daubentonia madagascariensis,Mammalia,Primates,Daubentoniidae,2.8,0.04515,kg,AnimalTraits
Loris tardigradus,Mammalia,Primates,Lorisidae,0.322,0.0066,kg,AnimalTraits
Nycticebus coucang,Mammalia,Primates,Lorisidae,0.6,0.0125,kg,AnimalTraits
Perodicticus potto,Mammalia,Primates,Lorisidae,1.15,0.014,kg,AnimalTraits
Galagoides demidovii,Mammalia,Primates,Galagidae,0.081,0.00338,kg,AnimalTraits
Galagoides senegalensis,Mammalia,Primates,Galagidae,0.186,0.0048,kg,AnimalTraits
Galagoides crassicaudatus,Mammalia,Primates,Galagidae,0.85,0.0103,kg,AnimalTraits
Carlito syrichta,Mammalia,Primates,Tarsiidae,0.0875,0.00363,kg,AnimalTraits
Tarsius spectrum,Mammalia,Primates,Tarsiidae,0.17,0.00465,kg,AnimalTraits
Artibeus jamaicensis,Mammalia,Chiroptera,Phyllostomatidae,0.0375,0.00093,kg,AnimalTraits
Artibeus lituratus,Mammalia,Chiroptera,Phyllostomatidae,0.0587,0.00105,kg,AnimalTraits
Carollia perspicillata,Mammalia,Chiroptera,Phyllostomatidae,0.016,0.00047,kg,AnimalTraits
Casinycteris argynnis,Mammalia,Chiroptera,Pteropidae,0.0405,0.00092,kg,AnimalTraits
Cynopterus brachyotis,Mammalia,Chiroptera,Pteropidae,0.029,0.00088,kg,AnimalTraits
Cynopterus horsfieldi,Mammalia,Chiroptera,Pteropidae,0.053,0.00123,kg,AnimalTraits
Diaemus youngi,Mammalia,Chiroptera,Desmodontidae,0.0346,0.00097,kg,AnimalTraits
Diaemus rotundus,Mammalia,Chiroptera,Desmodontidae,0.03,0.00086,kg,AnimalTraits
Eonycteris spelea,Mammalia,Chiroptera,Pteropidae,0.05,0.00118,kg,AnimalTraits
Glossophaga soricina,Mammalia,Chiroptera,Phyllostomatidae,0.0112,0.00039,kg,AnimalTraits
Hipposideros bicolor,Mammalia,Chiroptera,Hipposideridae,0.0084,0.00024,kg,AnimalTraits
Hipposideros caffer,Mammalia,Chiroptera,Hipposideridae,0.0107,0.00032,kg,AnimalTraits
Hypsignathus monstrosus,Mammalia,Chiroptera,Pteropidae,0.34,0.0034,kg,AnimalTraits
Leptonycteris curasoae,Mammalia,Chiroptera,Phyllostomatidae,0.0245,0.00055,kg,AnimalTraits
Mimon crenulatum,Mammalia,Chiroptera,Phyllostomatidae,0.0148,0.00034,kg,AnimalTraits
Mormoops megalophylla,Mammalia,Chiroptera,Phyllostomatidae,0.0156,0.00042,kg,AnimalTraits
Myotis bechsteini,Mammalia,Chiroptera,Vespertilionidae,0.0075,0.000265,kg,AnimalTraits
Myotis bocagei,Mammalia,Chiroptera,Vespertilionidae,0.0076,0.00021,kg,AnimalTraits
