species,order,family,mass_g,mass_kg,bmr_mLO2_hr,bmr_W,specific_bmr_mLO2_hr_kg,specific_bmr_W_kg,source
Saguinus geoffroyi,Primates,Cebidae,225,0.225,234,1.3065,1040,5.8066667,PanTHERIA_WR05
Spalax leucodon,Rodentia,Spalacidae,151.9,0.1519,127.74,0.713215,840.94799,4.695293,PanTHERIA_WR05
Spermophilus armatus,Rodentia,Sciuridae,307,0.307,190.34,1.0627317,620,3.4616667,PanTHERIA_WR05
Spermophilus beecheyi,Rodentia,Sciuridae,599.6,0.5996,317.78,1.7742717,529.98666,2.9590922,PanTHERIA_WR05
Spermophilus beldingi,Rodentia,Sciuridae,289.8,0.2898,182,1.0161667,628.01932,3.5064412,PanTHERIA_WR05
Saimiri sciureus,Primates,Cebidae,850,0.85,738.81,4.1250225,869.18824,4.8529676,PanTHERIA_WR05
Sarcophilus harrisii,Dasyuromorphia,Dasyuridae,5775,5.775,1617,9.02825,280,1.5633333,PanTHERIA_WR05
Scapanus latimanus,Soricomorpha,Talpidae,61,0.061,76.25,0.42572917,1250,6.9791667,PanTHERIA_WR05
Scapanus orarius,Soricomorpha,Talpidae,61.2,0.0612,64.07,0.35772417,1046.8954,5.8451661,PanTHERIA_WR05
Sciurus aberti,Rodentia,Sciuridae,624,0.624,430.56,2.40396,690,3.8525,PanTHERIA_WR05
Sciurus carolinensis,Rodentia,Sciuridae,440,0.44,391,2.1830833,888.63636,4.961553,PanTHERIA_WR05
Scotinomys teguina,Rodentia,Cricetidae,12,0.012,31.2,0.1742,2600,14.516667,PanTHERIA_WR05
Scotinomys xerampelinus,Rodentia,Cricetidae,15.2,0.0152,31.92,0.17822,2100,11.725,PanTHERIA_WR05
Sekeetamys calurus,Rodentia,Muridae,58.2,0.0582,44.05,0.24594583,756.87285,4.2258734,PanTHERIA_WR05
Setifer setosus,Afrosoricida,Tenrecidae,352.5,0.3525,94.59,0.5281275,268.34043,1.498234,PanTHERIA_WR05
Setonix brachyurus,Diprotodontia,Macropodidae,2600,2.6,784.52,4.3802367,301.73846,1.6847064,PanTHERIA_WR05
Sicista betulina,Rodentia,Dipodidae,10,0.01,32,0.17866667,3200,17.866667,PanTHERIA_WR05
Sigmodon alleni,Rodentia,Cricetidae,137.8,0.1378,203.25,1.1348125,1474.9637,8.2352141,PanTHERIA_WR05
Sigmodon fulviventer,Rodentia,Cricetidae,137.8,0.1378,207.38,1.1578717,1504.9347,8.402552,PanTHERIA_WR05
Sigmodon hispidus,Rodentia,Cricetidae,110.05,0.11005,159.64,0.89132333,1450.6134,8.0992579,PanTHERIA_WR05
Sigmodon leucotis,Rodentia,Cricetidae,128.6,0.1286,186.47,1.0411242,1450,8.0958333,PanTHERIA_WR05
Sigmodon ochrognathus,Rodentia,Cricetidae,115.1,0.1151,154.23,0.8611175,1339.9652,7.4814726,PanTHERIA_WR05
Sminthopsis crassicaudata,Dasyuromorphia,Dasyuridae,14.95,0.01495,19.56,0.10921,1308.3612,7.3050167,PanTHERIA_WR05
Sminthopsis macroura,Dasyuromorphia,Dasyuridae,22,0.022,23.54,0.13143167,1070,5.9741667,PanTHERIA_WR05
Sminthopsis murina,Dasyuromorphia,Dasyuridae,12.9,0.0129,20.51,0.11451417,1589.9225,8.8770672,PanTHERIA_WR05
Sorex alpinus,Soricomorpha,Soricidae,7.8,0.0078,47.58,0.265655,6100,34.058333,PanTHERIA_WR05
Sorex araneus,Soricomorpha,Soricidae,8.05,0.00805,60.23,0.33628417,7481.9876,41.774431,PanTHERIA_WR05
Sorex cinereus,Soricomorpha,Soricidae,5,0.005,44.6,0.24901667,8920,49.803333,PanTHERIA_WR05
Sorex coronatus,Soricomorpha,Soricidae,9,0.009,51.3,0.286425,5700,31.825,PanTHERIA_WR05
Spalacopus cyanus,Rodentia,Octodontidae,106.25,0.10625,185.12,1.0335867,1742.3059,9.7278745,PanTHERIA_WR05
Spalax ehrenbergi,Rodentia,Spalacidae,123.25,0.12325,101.55,0.5669875,823.93509,4.6003043,PanTHERIA_WR05
Aepyprymnus rufescens,Diprotodontia,Potoroidae,2845,2.845,1111.23,6.2043675,390.59051,2.180797,PanTHERIA_WR05
Spermophilus lateralis,Rodentia,Sciuridae,224.3,0.2243,204.67,1.1427408,912.48328,5.0946983,PanTHERIA_WR05
Spermophilus mohavensis,Rodentia,Sciuridae,240,0.24,112.8,0.6298,470,2.6241667,PanTHERIA_WR05
Spermophilus richardsonii,Rodentia,Sciuridae,252.3,0.2523,161.47,0.90154083,639.99207,3.5732891,PanTHERIA_WR05
Spermophilus spilosoma,Rodentia,Sciuridae,180.3,0.1803,111.78,0.624105,619.96672,3.4614809,PanTHERIA_WR05
Spermophilus tereticaudus,Rodentia,Sciuridae,167,0.167,93.52,0.52215333,560,3.1266667,PanTHERIA_WR05
Spermophilus townsendii,Rodentia,Sciuridae,231,0.231,129.36,0.72226,560,3.1266667,PanTHERIA_WR05
Spermophilus tridecemlineatus,Rodentia,Sciuridae,182,0.182,103.74,0.579215,570,3.1825,PanTHERIA_WR05
Spermophilus undulatus,Rodentia,Sciuridae,680,0.68,667.08,3.72453,981,5.47725,PanTHERIA_WR05
Ailurus fulgens,Carnivora,Ailuridae,5345,5.345,838.36,4.6808433,156.84939,0.87574244,PanTHERIA_WR05
Spilocuscus maculatus,Diprotodontia,Phalangeridae,4250,4.25,1062.5,5.9322917,250,1.3958333,PanTHERIA_WR05
Spilogale putorius,Carnivora,Mephitidae,550,0.55,261,1.45725,474.54545,2.6495455,PanTHERIA_WR05
Steatomys pratensis,Rodentia,Nesomyidae,37.54,0.03754,18.77,0.10479917,500,2.7916667,PanTHERIA_WR05
Stochomys longicaudatus,Rodentia,Muridae,84.2,0.0842,97.5,0.544375,1157.9572,6.4652613,PanTHERIA_WR05
Sturnira lilium,Chiroptera,Phyllostomidae,21.9,0.0219,39.2,0.21886667,1789.9543,9.9939117,PanTHERIA_WR05
Sturnira tildae,Chiroptera,Phyllostomidae,20.5,0.0205,39.97,0.22316583,1949.7561,10.886138,PanTHERIA_WR05
Tragulus javanicus,Artiodactyla,Tragulidae,1618,1.618,872.1,4.869225,538.99876,3.0094098,PanTHERIA_WR05
Trichechus inunguis,Sirenia,Trichechidae,165223,165.223,11565.61,64.574656,70,0.39083333,PanTHERIA_WR05
Trichosurus vulpecula,Diprotodontia,Phalangeridae,1982,1.982,624.33,3.4858425,315,1.75875,PanTHERIA_WR05
Tarsipes rostratus,Diprotodontia,Tarsipedidae,10,0.01,29,0.16191667,2900,16.191667,PanTHERIA_WR05
Acomys spinosissimus,Rodentia,Muridae,27.02,0.02702,44.12,0.24633667,1632.8645,9.116827,PanTHERIA_WR05
Acomys subspinosus,Rodentia,Muridae,32.25,0.03225,83.43,0.4658175,2586.9767,14.443953,PanTHERIA_WR05
Aconaemys fuscus,Rodentia,Octodontidae,112,0.112,120.96,0.67536,1080,6.03,PanTHERIA_WR05
Acrobates pygmaeus,Diprotodontia,Acrobatidae,14,0.014,14938,83.403833,1067000,5957.4167,PanTHERIA_WR05
Suricata suricatta,Carnivora,Herpestidae,790,0.79,290.12,1.6198367,367.24051,2.0504262,PanTHERIA_WR05
Syconycteris australis,Chiroptera,Pteropodidae,17,0.017,24.76,0.13824333,1456.4706,8.1319608,PanTHERIA_WR05
Sylvilagus audubonii,Lagomorpha,Leporidae,672.4,0.6724,437.73,2.4439925,650.99643,3.6347301,PanTHERIA_WR05
Tachyglossus aculeatus,Monotremata,Tachyglossidae,2860,2.86,414.04,2.3117233,144.76923,0.80829487,PanTHERIA_WR05
Tachyoryctes splendens,Rodentia,Spalacidae,196.5,0.1965,154.22,0.86106167,784.83461,4.3819932,PanTHERIA_WR05
Tadarida brasiliensis,Chiroptera,Molossidae,11.2,0.0112,13.44,0.07504,1200,6.7,PanTHERIA_WR05
Tamandua mexicana,Pilosa,Myrmecophagidae,4210,4.21,910,5.0808333,216.15202,1.2068488,PanTHERIA_WR05
Tamandua tetradactyla,Pilosa,Myrmecophagidae,3500,3.5,897.75,5.0124375,256.5,1.432125,PanTHERIA_WR05
Tamias amoenus,Rodentia,Sciuridae,57.1,0.0571,96.27,0.5375075,1685.9895,9.4134413,PanTHERIA_WR05
Tamias merriami,Rodentia,Sciuridae,75,0.075,78.75,0.4396875,1050,5.8625,PanTHERIA_WR05
Tamias minimus,Rodentia,Sciuridae,45.8,0.0458,72.73,0.40607583,1587.9913,8.8662846,PanTHERIA_WR05
Tamias palmeri,Rodentia,Sciuridae,69.4,0.0694,113.12,0.63158667,1629.9712,9.1006724,PanTHERIA_WR05
Tamiasciurus hudsonicus,Rodentia,Sciuridae,209.15,0.20915,233.67,1.3046575,1117.2364,6.2379034,PanTHERIA_WR05
Tarsius syrichta,Primates,Tarsiidae,113,0.113,76.7,0.42824167,678.76106,3.7897493,PanTHERIA_WR05
Abrothrix andinus,Rodentia,Cricetidae,34.6,0.0346,64.8,0.3618,1872.8324,10.456647,PanTHERIA_WR05
Abrothrix lanosus,Rodentia,Cricetidae,24,0.024,45.6,0.2546,1900,10.608333,PanTHERIA_WR05
Abrothrix longipilis,Rodentia,Cricetidae,42.3,0.0423,57.61,0.32165583,1361.9385,7.6041568,PanTHERIA_WR05
Abrothrix olivaceus,Rodentia,Cricetidae,27,0.027,49.19,0.27464417,1821.8519,10.172006,PanTHERIA_WR05
Acinonyx jubatus,Carnivora,Felidae,48900,48.9,17115,95.55875,350,1.9541667,PanTHERIA_WR05
Akodon albiventer,Rodentia,Cricetidae,31,0.031,46.5,0.259625,1500,8.375,PanTHERIA_WR05
Akodon azarae,Rodentia,Cricetidae,23.5,0.0235,39.95,0.22305417,1700,9.4916667,PanTHERIA_WR05
Alouatta palliata,Primates,Atelidae,4670,4.67,2027.4,11.31965,434.13276,2.4239079,PanTHERIA_WR05
Amblysomus hottentotus,Afrosoricida,Chrysochloridae,70,0.07,84.7,0.47290833,1210,6.7558333,PanTHERIA_WR05
Ammospermophilus leucurus,Rodentia,Sciuridae,95.7,0.0957,93.88,0.52416333,980.98224,5.4771508,PanTHERIA_WR05
Anoura caudifer,Chiroptera,Phyllostomidae,11.5,0.0115,35.07,0.1958075,3049.5652,17.026739,PanTHERIA_WR05
Antechinomys laniger,Dasyuromorphia,Dasyuridae,24.9,0.0249,24.4,0.13623333,979.91968,5.4712182,PanTHERIA_WR05
Antechinus flavipes,Dasyuromorphia,Dasyuridae,46.5,0.0465,45.1,0.25180833,969.89247,5.415233,PanTHERIA_WR05
Antechinus stuartii,Dasyuromorphia,Dasyuridae,28.1,0.0281,34.81,0.19435583,1238.79,6.9165777,PanTHERIA_WR05
Antilocapra americana,Artiodactyla,Antilocapridae,32000,32,8960,50.026667,280,1.5633333,PanTHERIA_WR05
Antrozous pallidus,Chiroptera,Vespertilionidae,22,0.022,18.7,0.10440833,850,4.7458333,PanTHERIA_WR05
Aotus trivirgatus,Primates,Aotidae,972.5,0.9725,459.45,2.5652625,472.44216,2.6378021,PanTHERIA_WR05
Aplodontia rufa,Rodentia,Aplodontiidae,793,0.793,414.73,2.3155758,522.98865,2.92002,PanTHERIA_WR05
Apodemus flavicollis,Rodentia,Muridae,40.5,0.0405,152.28,0.85023,3760,20.993333,PanTHERIA_WR05
Apodemus mystacinus,Rodentia,Muridae,42.3,0.0423,70.64,0.39440667,1669.9764,9.3240347,PanTHERIA_WR05
Apodemus sylvaticus,Rodentia,Muridae,22,0.022,56.98,0.31813833,2590,14.460833,PanTHERIA_WR05
Apodemus witherbyi,Rodentia,Muridae,20.7,0.0207,50.5,0.28195833,2439.6135,13.621176,PanTHERIA_WR05
Arborimus longicaudus,Rodentia,Cricetidae,21.8,0.0218,58.86,0.328635,2700,15.075,PanTHERIA_WR05
Arctictis binturong,Carnivora,Viverridae,13640,13.64,1877.64,10.48349,137.65689,0.76858431,PanTHERIA_WR05
Arctocebus calabarensis,Primates,Lorisidae,208,0.208,87.55,0.48882083,420.91346,2.3501002,PanTHERIA_WR05
Arctocephalus galapagoensis,Carnivora,Otariidae,45950,45.95,12433.8,69.42205,270.59412,1.5108172,PanTHERIA_WR05
Arctogalidia trivirgata,Carnivora,Viverridae,2400,2.4,690,3.8525,287.5,1.6052083,PanTHERIA_WR05
Artibeus concolor,Chiroptera,Phyllostomidae,19.7,0.0197,32.89,0.18363583,1669.5431,9.3216159,PanTHERIA_WR05
Artibeus fimbriatus,Chiroptera,Phyllostomidae,63.9,0.0639,77.95,0.43522083,1219.8748,6.8109677,PanTHERIA_WR05
Artibeus jamaicensis,Chiroptera,Phyllostomidae,45.2,0.0452,56.5,0.31545833,1250,6.9791667,PanTHERIA_WR05
Artibeus lituratus,Chiroptera,Phyllostomidae,70.1,0.0701,84.82,0.47357833,1209.9857,6.7557537,PanTHERIA_WR05
Arvicola amphibius,Rodentia,Cricetidae,97.5,0.0975,113.1,0.631475,1160,6.4766667,PanTHERIA_WR05
Atelerix albiventris,Erinaceomorpha,Erinaceidae,450,0.45,146.7,0.819075,326,1.8201667,PanTHERIA_WR05
Tarsius tarsier,Primates,Tarsiidae,173,0.173,149,0.83191667,861.27168,4.8087669,PanTHERIA_WR05
Tatera indica,Rodentia,Muridae,86.9,0.0869,92.48,0.51634667,1064.2117,5.9418489,PanTHERIA_WR05
Taurotragus oryx,Artiodactyla,Bovidae,150000,150,36000,201,240,1.34,PanTHERIA_WR05
Taxidea taxus,Carnivora,Mustelidae,6525,6.525,1998,11.1555,306.2069,1.7096552,PanTHERIA_WR05
Tenrec ecaudatus,Afrosoricida,Tenrecidae,1325,1.325,287.32,1.6042033,216.84528,1.2107195,PanTHERIA_WR05
Thallomys nigricauda,Rodentia,Muridae,124.7,0.1247,68.46,0.382235,548.99759,3.0652366,PanTHERIA_WR05
Thomomys bottae,Rodentia,Geomyidae,143,0.143,120.12,0.67067,840,4.69,PanTHERIA_WR05
Thomomys talpoides,Rodentia,Geomyidae,105,0.105,128.1,0.715225,1220,6.8116667,PanTHERIA_WR05
Thomomys umbrinus,Rodentia,Geomyidae,95.3,0.0953,81,0.45225,849.94753,4.7455404,PanTHERIA_WR05
Thrichomys apereoides,Rodentia,Echimyidae,323,0.323,206.72,1.1541867,640,3.5733333,PanTHERIA_WR05
Thylogale thetis,Diprotodontia,Macropodidae,4400,4.4,1399.2,7.8122,318,1.7755,PanTHERIA_WR05
