species,order,family,mass_g,mass_kg,gestation_days,source
Corynorhinus rafinesquii,Chiroptera,Vespertilionidae,9.15,0.00915,55.27,PanTHERIA_WR05
Corynorhinus townsendii,Chiroptera,Vespertilionidae,10.3,0.0103,67.49,PanTHERIA_WR05
Cricetomys gambianus,Rodentia,Nesomyidae,1267.52,1.26752,31.45,PanTHERIA_WR05
Crocuta crocuta,Carnivora,Hyaenidae,63369.98,63.36998,112.33,PanTHERIA_WR05
Crossarchus obscurus,Carnivora,Herpestidae,1395.09,1.39509,70,PanTHERIA_WR05
Cryptomys amatus,Rodentia,Bathyergidae,76.74,0.07674,95,PanTHERIA_WR05
Cryptomys damarensis,Rodentia,Bathyergidae,112.2,0.1122,83.55,PanTHERIA_WR05
Cryptomys darlingi,Rodentia,Bathyergidae,65.58,0.06558,57.82,PanTHERIA_WR05
Cryptomys hottentotus,Rodentia,Bathyergidae,75.13,0.07513,84.99,PanTHERIA_WR05
Cryptomys mechowi,Rodentia,Bathyergidae,271.54,0.27154,104,PanTHERIA_WR05
Cryptoprocta ferox,Carnivora,Eupleridae,9500,9.5,92.54,PanTHERIA_WR05
Cryptotis parva,Soricomorpha,Soricidae,4.97,0.00497,21.99,PanTHERIA_WR05
Ctenodactylus gundi,Rodentia,Ctenodactylidae,288.41,0.28841,65.96,PanTHERIA_WR05
Ctenodactylus vali,Rodentia,Ctenodactylidae,173.6,0.1736,59.13,PanTHERIA_WR05
Ctenomys opimus,Rodentia,Ctenomyidae,327.05,0.32705,60.83,PanTHERIA_WR05
Ctenomys peruanus,Rodentia,Ctenomyidae,488.36,0.48836,120.83,PanTHERIA_WR05
Ctenomys talarum,Rodentia,Ctenomyidae,140.84,0.14084,102.67,PanTHERIA_WR05
Ctenomys torquatus,Rodentia,Ctenomyidae,209.49,0.20949,107,PanTHERIA_WR05
Cuniculus paca,Rodentia,Cuniculidae,8172.55,8.17255,116.24,PanTHERIA_WR05
Cuon alpinus,Carnivora,Canidae,15800,15.8,61.5,PanTHERIA_WR05
Cyclopes didactylus,Pilosa,Cyclopedidae,263.95,0.26395,160,PanTHERIA_WR05
Cynictis penicillata,Carnivora,Herpestidae,694.41,0.69441,56.83,PanTHERIA_WR05
Cynocephalus volans,Dermoptera,Cynocephalidae,1250,1.25,62.57,PanTHERIA_WR05
Cynomys gunnisoni,Rodentia,Sciuridae,797.93,0.79793,29.64,PanTHERIA_WR05
Cynomys leucurus,Rodentia,Sciuridae,963.76,0.96376,30.39,PanTHERIA_WR05
Cynomys ludovicianus,Rodentia,Sciuridae,797.05,0.79705,33.46,PanTHERIA_WR05
Cynomys mexicanus,Rodentia,Sciuridae,899.98,0.89998,30.41,PanTHERIA_WR05
Cynopterus brachyotis,Chiroptera,Pteropodidae,33.87,0.03387,117.06,PanTHERIA_WR05
Cynopterus sphinx,Chiroptera,Pteropodidae,44.71,0.04471,120,PanTHERIA_WR05
Cystophora cristata,Carnivora,Phocidae,278896.81,278.89681,334.58,PanTHERIA_WR05
Dama dama,Artiodactyla,Cervidae,57224.61,57.22461,230,PanTHERIA_WR05
