species,order,family,mass_g,mass_kg,gestation_days,source
Neotoma magister,Rodentia,Cricetidae,447,0.447,33.43,PanTHERIA_WR05
Neotoma mexicana,Rodentia,Cricetidae,203,0.203,33.21,PanTHERIA_WR05
Ochotona alpina,Lagomorpha,Ochotonidae,150,0.15,28.98,PanTHERIA_WR05
Ochotona cansus,Lagomorpha,Ochotonidae,68.75,0.06875,24.49,PanTHERIA_WR05
Ochotona curzoniae,Lagomorpha,Ochotonidae,159.47,0.15947,22.5,PanTHERIA_WR05
Ochotona dauurica,Lagomorpha,Ochotonidae,131.01,0.13101,30,PanTHERIA_WR05
Ochotona hyperborea,Lagomorpha,Ochotonidae,120,0.12,28,PanTHERIA_WR05
Ochotona princeps,Lagomorpha,Ochotonidae,157.63,0.15763,30.44,PanTHERIA_WR05
Ochotona pusilla,Lagomorpha,Ochotonidae,142.5,0.1425,21.99,PanTHERIA_WR05
Pelea capreolus,Artiodactyla,Bovidae,22731.33,22.73133,260.99,PanTHERIA_WR05
Okapia johnstoni,Artiodactyla,Giraffidae,230001.14,230.00114,442.99,PanTHERIA_WR05
Ommatophoca rossii,Carnivora,Phocidae,208252.12,208.25212,349.79,PanTHERIA_WR05
Ondatra zibethicus,Rodentia,Cricetidae,991.31,0.99131,27.86,PanTHERIA_WR05
Onychogalea fraenata,Diprotodontia,Macropodidae,4952.05,4.95205,23,PanTHERIA_WR05
Oryzomys megacephalus,Rodentia,Cricetidae,57,0.057,27.28,PanTHERIA_WR05
Oryzomys palustris,Rodentia,Cricetidae,53.26,0.05326,24.74,PanTHERIA_WR05
Neotoma micropus,Rodentia,Cricetidae,255.14,0.25514,34,PanTHERIA_WR05
Neotoma stephensi,Rodentia,Cricetidae,149.22,0.14922,31.65,PanTHERIA_WR05
Neotomodon alstoni,Rodentia,Cricetidae,44.64,0.04464,27.29,PanTHERIA_WR05
Neotragus batesi,Artiodactyla,Bovidae,2967.45,2.96745,181.24,PanTHERIA_WR05
Neotragus moschatus,Artiodactyla,Bovidae,5639.01,5.63901,180,PanTHERIA_WR05
Neotragus pygmaeus,Artiodactyla,Bovidae,3913.68,3.91368,180,PanTHERIA_WR05
Nesokia indica,Rodentia,Muridae,178.08,0.17808,17,PanTHERIA_WR05
Neurotrichus gibbsii,Soricomorpha,Talpidae,9.56,0.00956,21.27,PanTHERIA_WR05
Ningaui ridei,Dasyuromorphia,Dasyuridae,9.42,0.00942,13.49,PanTHERIA_WR05
Nomascus concolor,Primates,Hylobatidae,6410.47,6.41047,205.81,PanTHERIA_WR05
Notomys alexis,Rodentia,Muridae,32.34,0.03234,32.67,PanTHERIA_WR05
Notomys cervinus,Rodentia,Muridae,34.79,0.03479,41.54,PanTHERIA_WR05
Notomys fuscus,Rodentia,Muridae,39.28,0.03928,34.99,PanTHERIA_WR05
Notomys mitchellii,Rodentia,Muridae,42.8,0.0428,35.97,PanTHERIA_WR05
Nyctalus noctula,Chiroptera,Vespertilionidae,28.48,0.02848,72.24,PanTHERIA_WR05
Nyctereutes procyonoides,Carnivora,Canidae,4214.99,4.21499,61.84,PanTHERIA_WR05
Nycteris hispida,Chiroptera,Nycteridae,7.98,0.00798,91.24,PanTHERIA_WR05
Nycteris macrotis,Chiroptera,Nycteridae,14.49,0.01449,78.21,PanTHERIA_WR05
Nycteris nana,Chiroptera,Nycteridae,6.98,0.00698,107.97,PanTHERIA_WR05
Nycteris thebaica,Chiroptera,Nycteridae,9.2,0.0092,114.95,PanTHERIA_WR05
Nycticebus coucang,Primates,Lorisidae,924.55,0.92455,191.09,PanTHERIA_WR05
Nycticebus pygmaeus,Primates,Lorisidae,342.32,0.34232,185.42,PanTHERIA_WR05
Nycticeinops schlieffeni,Chiroptera,Vespertilionidae,5.05,0.00505,78.63,PanTHERIA_WR05
Nyctimene rabori,Chiroptera,Pteropodidae,68.25,0.06825,138.16,PanTHERIA_WR05
Nyctomys sumichrasti,Rodentia,Cricetidae,59.99,0.05999,33.98,PanTHERIA_WR05
Nyctophilus gouldi,Chiroptera,Vespertilionidae,11.32,0.01132,22.94,PanTHERIA_WR05
Ochotona rufescens,Lagomorpha,Ochotonidae,250,0.25,25.75,PanTHERIA_WR05
Ochrotomys nuttalli,Rodentia,Cricetidae,22.81,0.02281,29.1,PanTHERIA_WR05
Octodon degus,Rodentia,Octodontidae,203.27,0.20327,90.59,PanTHERIA_WR05
Octodontomys gliroides,Rodentia,Octodontidae,155.77,0.15577,104.5,PanTHERIA_WR05
Odobenus rosmarus,Carnivora,Odobenidae,1042996.2,1042.9962,357.39,PanTHERIA_WR05
Odocoileus hemionus,Artiodactyla,Cervidae,84560.57,84.56057,203.49,PanTHERIA_WR05
Odocoileus virginianus,Artiodactyla,Cervidae,75901.25,75.90125,201.39,PanTHERIA_WR05
Onychomys leucogaster,Rodentia,Cricetidae,27.92,0.02792,31.63,PanTHERIA_WR05
Onychomys torridus,Rodentia,Cricetidae,21.68,0.02168,28.37,PanTHERIA_WR05
Orcaella brevirostris,Cetacea,Delphinidae,189999.99,189.99999,425.83,PanTHERIA_WR05
Orcinus orca,Cetacea,Delphinidae,5628758.7,5628.7587,456.25,PanTHERIA_WR05
Oreamnos americanus,Artiodactyla,Bovidae,72105.4,72.1054,181.24,PanTHERIA_WR05
Oreonax flavicauda,Primates,Atelidae,8229.12,8.22912,225,PanTHERIA_WR05
Oreotragus oreotragus,Artiodactyla,Bovidae,13486.55,13.48655,214,PanTHERIA_WR05
Ornithorhynchus anatinus,Monotremata,Ornithorhynchidae,1484.25,1.48425,12.48,PanTHERIA_WR05
Orycteropus afer,Tubulidentata,Orycteropodidae,56175.2,56.1752,222.05,PanTHERIA_WR05
Oryctolagus cuniculus,Lagomorpha,Leporidae,1590.57,1.59057,30.45,PanTHERIA_WR05
Oryx dammah,Artiodactyla,Bovidae,199798.95,199.79895,248,PanTHERIA_WR05
Oryx gazella,Artiodactyla,Bovidae,188404.45,188.40445,273.75,PanTHERIA_WR05
Oryx leucoryx,Artiodactyla,Bovidae,75788.24,75.78824,239.99,PanTHERIA_WR05
Otaria flavescens,Carnivora,Otariidae,193670.53,193.67053,311.55,PanTHERIA_WR05
Otocyon megalotis,Carnivora,Canidae,4098.12,4.09812,67.54,PanTHERIA_WR05
Otolemur crassicaudatus,Primates,Galagidae,1206.61,1.20661,131.04,PanTHERIA_WR05
Otolemur garnettii,Primates,Galagidae,811.17,0.81117,132.24,PanTHERIA_WR05
Otomops martiensseni,Chiroptera,Molossidae,34.92,0.03492,92.54,PanTHERIA_WR05
Otomys irroratus,Rodentia,Muridae,114.45,0.11445,40.52,PanTHERIA_WR05
Ototylomys phyllotis,Rodentia,Cricetidae,86.94,0.08694,52.74,PanTHERIA_WR05
Ourebia ourebi,Artiodactyla,Bovidae,17186.09,17.18609,210.5,PanTHERIA_WR05
Ovibos moschatus,Artiodactyla,Bovidae,312500,312.5,256.26,PanTHERIA_WR05
Ovis ammon,Artiodactyla,Bovidae,113998.72,113.99872,165,PanTHERIA_WR05
Ovis aries,Artiodactyla,Bovidae,39097.89,39.09789,152.54,PanTHERIA_WR05
Ovis canadensis,Artiodactyla,Bovidae,74644.87,74.64487,177.49,PanTHERIA_WR05
Ovis dalli,Artiodactyla,Bovidae,70194.13,70.19413,172.49,PanTHERIA_WR05
Ozotoceros bezoarticus,Artiodactyla,Cervidae,34620.4,34.6204,220.38,PanTHERIA_WR05
Pachyuromys duprasi,Rodentia,Muridae,47.5,0.0475,20.4,PanTHERIA_WR05
Pagophilus groenlandicus,Carnivora,Phocidae,132250,132.25,242.9,PanTHERIA_WR05
Pan paniscus,Primates,Hominidae,35119.95,35.11995,235.24,PanTHERIA_WR05
Pan troglodytes,Primates,Hominidae,45000,45,231.49,PanTHERIA_WR05
Panthera leo,Carnivora,Felidae,158623.93,158.62393,108.74,PanTHERIA_WR05
Panthera onca,Carnivora,Felidae,83943.09,83.94309,102.49,PanTHERIA_WR05
Panthera pardus,Carnivora,Felidae,52399.99,52.39999,96.74,PanTHERIA_WR05
Panthera tigris,Carnivora,Felidae,161914.66,161.91466,105.19,PanTHERIA_WR05
Phocoena phocoena,Cetacea,Phocoenidae,52730.93,52.73093,333.28,PanTHERIA_WR05
Phocoenoides dalli,Cetacea,Phocoenidae,106042.53,106.04253,346.74,PanTHERIA_WR05
Phodopus campbelli,Rodentia,Cricetidae,27.06,0.02706,20.59,PanTHERIA_WR05
Phodopus sungorus,Rodentia,Cricetidae,30.43,0.03043,21,PanTHERIA_WR05
Phoniscus jagorii,Chiroptera,Vespertilionidae,4.7,0.0047,125.14,PanTHERIA_WR05
Pantholops hodgsonii,Artiodactyla,Bovidae,32733.12,32.73312,212.91,PanTHERIA_WR05
Papio anubis,Primates,Cercopithecidae,17728.56,17.72856,178.96,PanTHERIA_WR05
Papio cynocephalus,Primates,Cercopithecidae,15822.15,15.82215,172.99,PanTHERIA_WR05
Papio hamadryas,Primates,Cercopithecidae,14007.08,14.00708,180,PanTHERIA_WR05
Papio papio,Primates,Cercopithecidae,18026.05,18.02605,184.42,PanTHERIA_WR05
Papio ursinus,Primates,Cercopithecidae,17729.44,17.72944,185.92,PanTHERIA_WR05
Paradoxurus hermaphroditus,Carnivora,Viverridae,3200,3.2,61.27,PanTHERIA_WR05
Paraechinus aethiopicus,Erinaceomorpha,Erinaceidae,352.4,0.3524,36.7,PanTHERIA_WR05
Paraechinus micropus,Erinaceomorpha,Erinaceidae,171,0.171,37,PanTHERIA_WR05
Parantechinus apicalis,Dasyuromorphia,Dasyuridae,71.31,0.07131,48.5,PanTHERIA_WR05
Parascalops breweri,Soricomorpha,Talpidae,51.11,0.05111,35.46,PanTHERIA_WR05
Paraxerus cepapi,Rodentia,Sciuridae,222.85,0.22285,56.87,PanTHERIA_WR05
Paraxerus palliatus,Rodentia,Sciuridae,365.37,0.36537,62.01,PanTHERIA_WR05
Paraxerus poensis,Rodentia,Sciuridae,100,0.1,55.13,PanTHERIA_WR05
Parotomys brantsii,Rodentia,Muridae,129.5,0.1295,37.56,PanTHERIA_WR05
Pecari tajacu,Artiodactyla,Tayassuidae,21133.69,21.13369,144.88,PanTHERIA_WR05
Pedetes capensis,Rodentia,Pedetidae,2549.25,2.54925,78.02,PanTHERIA_WR05
Peponocephala electra,Cetacea,Delphinidae,206000,206,365,PanTHERIA_WR05
Perameles bougainville,Peramelemorphia,Peramelidae,230.8,0.2308,12,PanTHERIA_WR05
Perameles gunnii,Peramelemorphia,Peramelidae,903.46,0.90346,12.5,PanTHERIA_WR05
Perameles nasuta,Peramelemorphia,Peramelidae,720.26,0.72026,12.24,PanTHERIA_WR05
Perodicticus potto,Primates,Lorisidae,1081.81,1.08181,193,PanTHERIA_WR05
Perognathus fasciatus,Rodentia,Heteromyidae,11.29,0.01129,29.8,PanTHERIA_WR05
Perognathus flavus,Rodentia,Heteromyidae,7.97,0.00797,26,PanTHERIA_WR05
Perognathus longimembris,Rodentia,Heteromyidae,8.07,0.00807,22.74,PanTHERIA_WR05
Perognathus parvus,Rodentia,Heteromyidae,21.56,0.02156,23.5,PanTHERIA_WR05
Peromyscus boylii,Rodentia,Cricetidae,23.9,0.0239,23.3,PanTHERIA_WR05
Peromyscus californicus,Rodentia,Cricetidae,42.68,0.04268,32.95,PanTHERIA_WR05
Peromyscus crinitus,Rodentia,Cricetidae,16.32,0.01632,25.33,PanTHERIA_WR05
Peromyscus eremicus,Rodentia,Cricetidae,22.73,0.02273,27.35,PanTHERIA_WR05
Peromyscus gossypinus,Rodentia,Cricetidae,27.68,0.02768,23,PanTHERIA_WR05
Peromyscus hooperi,Rodentia,Cricetidae,35.99,0.03599,33.5,PanTHERIA_WR05
Peromyscus leucopus,Rodentia,Cricetidae,18.07,0.01807,23.17,PanTHERIA_WR05
Pteronotus parnellii,Chiroptera,Mormoopidae,19.59,0.01959,107.97,PanTHERIA_WR05
Pteronotus quadridens,Chiroptera,Mormoopidae,5.64,0.00564,156.43,PanTHERIA_WR05
Pteronura brasiliensis,Carnivora,Mustelidae,26000,26,70,PanTHERIA_WR05
Peromyscus maniculatus,Rodentia,Cricetidae,19.98,0.01998,26.68,PanTHERIA_WR05
Peromyscus melanocarpus,Rodentia,Cricetidae,58.9,0.0589,30.39,PanTHERIA_WR05
Peromyscus melanophrys,Rodentia,Cricetidae,40,0.04,24.7,PanTHERIA_WR05
Peromyscus melanotis,Rodentia,Cricetidae,39.59,0.03959,25.01,PanTHERIA_WR05
Peromyscus mexicanus,Rodentia,Cricetidae,42.58,0.04258,30.19,PanTHERIA_WR05
Peromyscus pectoralis,Rodentia,Cricetidae,38.99,0.03899,23,PanTHERIA_WR05
Peromyscus perfulvus,Rodentia,Cricetidae,40,0.04,43.24,PanTHERIA_WR05
Peromyscus polionotus,Rodentia,Cricetidae,14.27,0.01427,23.8,PanTHERIA_WR05
Peromyscus truei,Rodentia,Cricetidae,27,0.027,32.37,PanTHERIA_WR05
Peromyscus yucatanicus,Rodentia,Cricetidae,27.13,0.02713,30.8,PanTHERIA_WR05
Peropteryx kappleri,Chiroptera,Emballonuridae,9.85,0.00985,137.96,PanTHERIA_WR05
Peropteryx macrotis,Chiroptera,Emballonuridae,5.68,0.00568,129.27,PanTHERIA_WR05
Peroryctes broadbenti,Peramelemorphia,Peramelidae,4800,4.8,12,PanTHERIA_WR05
Petaurista petaurista,Rodentia,Sciuridae,1533.84,1.53384,45,PanTHERIA_WR05
Petaurus breviceps,Diprotodontia,Petauridae,120.76,0.12076,16.68,PanTHERIA_WR05
Petrogale assimilis,Diprotodontia,Macropodidae,4618.88,4.61888,30.99,PanTHERIA_WR05
Petrogale concinna,Diprotodontia,Macropodidae,1398.2,1.3982,31.46,PanTHERIA_WR05
Petrogale inornata,Diprotodontia,Macropodidae,4555.52,4.55552,30.99,PanTHERIA_WR05
Petrogale penicillata,Diprotodontia,Macropodidae,6931.6,6.9316,30.99,PanTHERIA_WR05
Petrogale persephone,Diprotodontia,Macropodidae,5585.63,5.58563,32,PanTHERIA_WR05
Petrogale xanthopus,Diprotodontia,Macropodidae,8499.99,8.49999,33.16,PanTHERIA_WR05
Phacochoerus aethiopicus,Artiodactyla,Suidae,75607.52,75.60752,165.4,PanTHERIA_WR05
Phacochoerus africanus,Artiodactyla,Suidae,82499.99,82.49999,172.49,PanTHERIA_WR05
Phalanger gymnotis,Diprotodontia,Phalangeridae,2597.89,2.59789,12.99,PanTHERIA_WR05
Phaner furcifer,Primates,Cheirogaleidae,409.87,0.40987,174.46,PanTHERIA_WR05
Phascogale calura,Dasyuromorphia,Dasyuridae,43.03,0.04303,29.49,PanTHERIA_WR05
Phascogale tapoatafa,Dasyuromorphia,Dasyuridae,192.65,0.19265,28.15,PanTHERIA_WR05
Phascolarctos cinereus,Diprotodontia,Phascolarctidae,6528.74,6.52874,34.29,PanTHERIA_WR05
Phenacomys intermedius,Rodentia,Cricetidae,25.2,0.0252,22.42,PanTHERIA_WR05
Phenacomys ungava,Rodentia,Cricetidae,27,0.027,22.29,PanTHERIA_WR05
Philantomba maxwellii,Artiodactyla,Bovidae,8557.69,8.55769,205,PanTHERIA_WR05
Philantomba monticola,Artiodactyla,Bovidae,4896.05,4.89605,205,PanTHERIA_WR05
Phoca largha,Carnivora,Phocidae,98879.18,98.87918,287.4,PanTHERIA_WR05
Phoca vitulina,Carnivora,Phocidae,87316.66,87.31666,288.95,PanTHERIA_WR05
Phocarctos hookeri,Carnivora,Otariidae,273499.99,273.49999,365,PanTHERIA_WR05
Phyllostomus discolor,Chiroptera,Phyllostomidae,36.7,0.0367,107.97,PanTHERIA_WR05
Phyllostomus hastatus,Chiroptera,Phyllostomidae,91.44,0.09144,123.39,PanTHERIA_WR05
Proechimys guairae,Rodentia,Echimyidae,349.28,0.34928,62.99,PanTHERIA_WR05
Proechimys guyannensis,Rodentia,Echimyidae,314.03,0.31403,63.41,PanTHERIA_WR05
Proechimys semispinosus,Rodentia,Echimyidae,353.32,0.35332,65.65,PanTHERIA_WR05
Profelis aurata,Carnivora,Felidae,11277.17,11.27717,81.34,PanTHERIA_WR05
Prolemur simus,Primates,Lemuridae,2030.41,2.03041,140,PanTHERIA_WR05
Propithecus coquereli,Primates,Indriidae,4189.27,4.18927,140.99,PanTHERIA_WR05
Propithecus diadema,Primates,Indriidae,6568.99,6.56899,152.08,PanTHERIA_WR05
Propithecus verreauxi,Primates,Indriidae,3588.26,3.58826,149.77,PanTHERIA_WR05
Ptenochirus jagori,Chiroptera,Pteropodidae,79.18,0.07918,125.14,PanTHERIA_WR05
Pteromys volans,Rodentia,Sciuridae,143.09,0.14309,28.18,PanTHERIA_WR05
Pteropus giganteus,Chiroptera,Pteropodidae,824.85,0.82485,166.59,PanTHERIA_WR05
Rhynchocyon chrysopygus,Macroscelidea,Macroscelididae,535.2,0.5352,42.27,PanTHERIA_WR05
Romerolagus diazi,Lagomorpha,Leporidae,465.58,0.46558,39.26,PanTHERIA_WR05
Rousettus aegyptiacus,Chiroptera,Pteropodidae,134,0.134,123.39,PanTHERIA_WR05
Rousettus amplexicaudatus,Chiroptera,Pteropodidae,74.37,0.07437,101.38,PanTHERIA_WR05
Sorex minutus,Soricomorpha,Soricidae,4.32,0.00432,23.81,PanTHERIA_WR05
Phyllotis darwini,Rodentia,Cricetidae,50.82,0.05082,33.21,PanTHERIA_WR05
Physeter catodon,Cetacea,Physeteridae,14540960,14540.96,472.99,PanTHERIA_WR05
Piliocolobus badius,Primates,Cercopithecidae,8430.4,8.4304,151.41,PanTHERIA_WR05
Pseudorca crassidens,Cetacea,Delphinidae,1360000,1360,462,PanTHERIA_WR05
Piliocolobus kirkii,Primates,Cercopithecidae,7158.29,7.15829,165,PanTHERIA_WR05
Piliocolobus preussi,Primates,Cercopithecidae,8865.71,8.86571,195,PanTHERIA_WR05
Piliocolobus rufomitratus,Primates,Cercopithecidae,8030.75,8.03075,195,PanTHERIA_WR05
Pipistrellus ceylonicus,Chiroptera,Vespertilionidae,8.05,0.00805,52.32,PanTHERIA_WR05
Pipistrellus javanicus,Chiroptera,Vespertilionidae,4.92,0.00492,71.48,PanTHERIA_WR05
Pipistrellus pipistrellus,Chiroptera,Vespertilionidae,5.3,0.0053,44,PanTHERIA_WR05
Pipistrellus rusticus,Chiroptera,Vespertilionidae,4.57,0.00457,80.4,PanTHERIA_WR05
Pipistrellus subflavus,Chiroptera,Vespertilionidae,5.74,0.00574,45.71,PanTHERIA_WR05
Pipistrellus tenuis,Chiroptera,Vespertilionidae,3.48,0.00348,61.27,PanTHERIA_WR05
Pithecia pithecia,Primates,Pitheciidae,1667.19,1.66719,161.13,PanTHERIA_WR05
Plagiodontia aedium,Rodentia,Capromyidae,1268.86,1.26886,136.5,PanTHERIA_WR05
Planigale gilesi,Dasyuromorphia,Dasyuridae,9.34,0.00934,15.74,PanTHERIA_WR05
Planigale maculata,Dasyuromorphia,Dasyuridae,12,0.012,19.74,PanTHERIA_WR05
Planigale tenuirostris,Dasyuromorphia,Dasyuridae,6.27,0.00627,19,PanTHERIA_WR05
Platanista gangetica,Cetacea,Platanistidae,93481.96,93.48196,304.16,PanTHERIA_WR05
Platanista minor,Cetacea,Platanistidae,75990.24,75.99024,304.16,PanTHERIA_WR05
Platyrrhinus lineatus,Chiroptera,Phyllostomidae,24.34,0.02434,107.97,PanTHERIA_WR05
Plecotus auritus,Chiroptera,Vespertilionidae,8.19,0.00819,65.12,PanTHERIA_WR05
Poecilogale albinucha,Carnivora,Mustelidae,308.16,0.30816,32.55,PanTHERIA_WR05
Poelagus marjorita,Lagomorpha,Leporidae,2509.7,2.5097,34.99,PanTHERIA_WR05
Pongo pygmaeus,Primates,Hominidae,53408.29,53.40829,259.42,PanTHERIA_WR05
Pontoporia blainvillei,Cetacea,Iniidae,40499.99,40.49999,326.89,PanTHERIA_WR05
Potamochoerus larvatus,Artiodactyla,Suidae,69063.79,69.06379,121.73,PanTHERIA_WR05
Potamochoerus porcus,Artiodactyla,Suidae,70000.31,70.00031,120,PanTHERIA_WR05
Potorous longipes,Diprotodontia,Potoroidae,1835.06,1.83506,38,PanTHERIA_WR05
Potorous tridactylus,Diprotodontia,Potoroidae,1054.67,1.05467,33.55,PanTHERIA_WR05
Potos flavus,Carnivora,Procyonidae,2441.81,2.44181,116.8,PanTHERIA_WR05
Praomys daltoni,Rodentia,Muridae,34.99,0.03499,27.64,PanTHERIA_WR05
Praomys jacksoni,Rodentia,Muridae,39.01,0.03901,35.49,PanTHERIA_WR05
Praomys morio,Rodentia,Muridae,41.73,0.04173,35.99,PanTHERIA_WR05
Praomys tullbergi,Rodentia,Muridae,37.1,0.0371,23.9,PanTHERIA_WR05
Priodontes maximus,Cingulata,Dasypodidae,40641.89,40.64189,124.24,PanTHERIA_WR05
Prionailurus bengalensis,Carnivora,Felidae,2780.97,2.78097,70.18,PanTHERIA_WR05
Prionailurus planiceps,Carnivora,Felidae,3533.76,3.53376,56,PanTHERIA_WR05
Prionailurus viverrinus,Carnivora,Felidae,8826.46,8.82646,71.43,PanTHERIA_WR05
Procapra gutturosa,Artiodactyla,Bovidae,28274.27,28.27427,189.94,PanTHERIA_WR05
Procavia capensis,Hyracoidea,Procaviidae,2952.48,2.95248,231.24,PanTHERIA_WR05
Procolobus verus,Primates,Cercopithecidae,3977.86,3.97786,167.84,PanTHERIA_WR05
Procyon cancrivorus,Carnivora,Procyonidae,6931.72,6.93172,69.35,PanTHERIA_WR05
Procyon lotor,Carnivora,Procyonidae,6373.72,6.37372,65,PanTHERIA_WR05
Proteles cristata,Carnivora,Hyaenidae,8139.39,8.13939,90.62,PanTHERIA_WR05
Przewalskium albirostris,Artiodactyla,Cervidae,161681.9,161.6819,263.41,PanTHERIA_WR05
Psammomys obesus,Rodentia,Muridae,102.15,0.10215,24.8,PanTHERIA_WR05
Pseudantechinus bilarni,Dasyuromorphia,Dasyuridae,23.05,0.02305,38.98,PanTHERIA_WR05
Pseudantechinus macdonnellensis,Dasyuromorphia,Dasyuridae,36.88,0.03688,44.72,PanTHERIA_WR05
Pseudantechinus ningbing,Dasyuromorphia,Dasyuridae,20.74,0.02074,46.71,PanTHERIA_WR05
Pseudois nayaur,Artiodactyla,Bovidae,52334.57,52.33457,159.74,PanTHERIA_WR05
Pseudomys albocinereus,Rodentia,Muridae,30.5,0.0305,29.75,PanTHERIA_WR05
Pseudomys apodemoides,Rodentia,Muridae,23.78,0.02378,44.49,PanTHERIA_WR05
Pseudomys australis,Rodentia,Muridae,52.97,0.05297,31.35,PanTHERIA_WR05
Pseudomys delicatulus,Rodentia,Muridae,8.56,0.00856,29.89,PanTHERIA_WR05
Pseudomys desertor,Rodentia,Muridae,37.09,0.03709,28.96,PanTHERIA_WR05
Pseudomys fieldi,Rodentia,Muridae,42.35,0.04235,29.49,PanTHERIA_WR05
Pseudomys gracilicaudatus,Rodentia,Muridae,79.53,0.07953,27,PanTHERIA_WR05
Pseudomys hermannsburgensis,Rodentia,Muridae,13.38,0.01338,31.5,PanTHERIA_WR05
Pseudomys higginsi,Rodentia,Muridae,63.16,0.06316,32.16,PanTHERIA_WR05
Pseudomys nanus,Rodentia,Muridae,70.38,0.07038,23.99,PanTHERIA_WR05
Pseudomys novaehollandiae,Rodentia,Muridae,16.8,0.0168,31.48,PanTHERIA_WR05
Pteropus livingstonii,Chiroptera,Pteropodidae,734.27,0.73427,152.08,PanTHERIA_WR05
Pteropus ornatus,Chiroptera,Pteropodidae,336.25,0.33625,187.72,PanTHERIA_WR05
Pteropus poliocephalus,Chiroptera,Pteropodidae,702.78,0.70278,187.72,PanTHERIA_WR05
Pteropus rodricensis,Chiroptera,Pteropodidae,256.17,0.25617,154.24,PanTHERIA_WR05
Pteropus seychellensis,Chiroptera,Pteropodidae,492.2,0.4922,156.43,PanTHERIA_WR05
Pteropus tonganus,Chiroptera,Pteropodidae,561.51,0.56151,167.29,PanTHERIA_WR05
Pteropus voeltzkowi,Chiroptera,Pteropodidae,542.4,0.5424,152.08,PanTHERIA_WR05
Pudu puda,Artiodactyla,Cervidae,9642.62,9.64262,210,PanTHERIA_WR05
Puma concolor,Carnivora,Felidae,53954.05,53.95405,92.3,PanTHERIA_WR05
Puma yagouaroundi,Carnivora,Felidae,6875,6.875,75.01,PanTHERIA_WR05
Pusa caspica,Carnivora,Phocidae,62326.2,62.3262,334.58,PanTHERIA_WR05
Pusa hispida,Carnivora,Phocidae,70963.6,70.9636,270,PanTHERIA_WR05
Rusa unicolor,Artiodactyla,Cervidae,177522.9,177.5229,246,PanTHERIA_WR05
Rhizomys sumatrensis,Rodentia,Spalacidae,2500,2.5,21.99,PanTHERIA_WR05
Pusa sibirica,Carnivora,Phocidae,89499.99,89.49999,277.63,PanTHERIA_WR05
Pygathrix nemaeus,Primates,Cercopithecidae,9411.1,9.4111,182.88,PanTHERIA_WR05
Pygeretmus pumilio,Rodentia,Dipodidae,52.24,0.05224,27.5,PanTHERIA_WR05
Rousettus leschenaultii,Chiroptera,Pteropodidae,84.88,0.08488,121.66,PanTHERIA_WR05
Rousettus madagascariensis,Chiroptera,Pteropodidae,65.72,0.06572,126.88,PanTHERIA_WR05
Rucervus duvaucelii,Artiodactyla,Cervidae,171223.86,171.22386,245,PanTHERIA_WR05
Rucervus eldii,Artiodactyla,Cervidae,95471.61,95.47161,240.19,PanTHERIA_WR05
Rupicapra rupicapra,Artiodactyla,Bovidae,33266.35,33.26635,178.32,PanTHERIA_WR05
Rusa alfredi,Artiodactyla,Cervidae,46475.04,46.47504,243.33,PanTHERIA_WR05
Rusa timorensis,Artiodactyla,Cervidae,66375.5,66.3755,250.29,PanTHERIA_WR05
Saccostomus campestris,Rodentia,Nesomyidae,50.33,0.05033,20.84,PanTHERIA_WR05
Saguinus bicolor,Primates,Cebidae,465,0.465,158.16,PanTHERIA_WR05
Saguinus fuscicollis,Primates,Cebidae,393.99,0.39399,148,PanTHERIA_WR05
Rangifer tarandus,Artiodactyla,Cervidae,109088.5,109.0885,222.5,PanTHERIA_WR05
Raphicerus campestris,Artiodactyla,Bovidae,11661.53,11.66153,210,PanTHERIA_WR05
Raphicerus sharpei,Artiodactyla,Bovidae,9396.9,9.3969,212.91,PanTHERIA_WR05
Rattus argentiventer,Rodentia,Muridae,165.37,0.16537,21.4,PanTHERIA_WR05
Rattus exulans,Rodentia,Muridae,50.63,0.05063,21.34,PanTHERIA_WR05
Rattus fuscipes,Rodentia,Muridae,124.58,0.12458,22.95,PanTHERIA_WR05
Rattus lutreolus,Rodentia,Muridae,106,0.106,24.81,PanTHERIA_WR05
Rattus norvegicus,Rodentia,Muridae,282.89,0.28289,21.74,PanTHERIA_WR05
Rattus rattus,Rodentia,Muridae,142.68,0.14268,23.45,PanTHERIA_WR05
Rattus sordidus,Rodentia,Muridae,157.5,0.1575,21.89,PanTHERIA_WR05
Rattus tiomanicus,Rodentia,Muridae,119.29,0.11929,21.99,PanTHERIA_WR05
Rattus tunneyi,Rodentia,Muridae,169.29,0.16929,22.29,PanTHERIA_WR05
Rattus verecundus,Rodentia,Muridae,97.02,0.09702,23.72,PanTHERIA_WR05
Ratufa bicolor,Rodentia,Sciuridae,1609.08,1.60908,31.5,PanTHERIA_WR05
Ratufa indica,Rodentia,Sciuridae,1060,1.06,83.64,PanTHERIA_WR05
Ratufa macroura,Rodentia,Sciuridae,1326.24,1.32624,28,PanTHERIA_WR05
Redunca arundinum,Artiodactyla,Bovidae,58059.24,58.05924,220.52,PanTHERIA_WR05
Redunca fulvorufula,Artiodactyla,Bovidae,29352.66,29.35266,222.99,PanTHERIA_WR05
Redunca redunca,Artiodactyla,Bovidae,43288.95,43.28895,228.12,PanTHERIA_WR05
Reithrodontomys humulis,Rodentia,Cricetidae,8.25,0.00825,21.26,PanTHERIA_WR05
