species,order,family,mass_g,mass_kg,home_range_km2,source
Symphalangus syndactylus,Primates,Hylobatidae,10839,10.839,0.22,PanTHERIA_WR05
Synaptomys cooperi,Rodentia,Cricetidae,28.01,0.02801,0.000847162,PanTHERIA_WR05
Syncerus caffer,Artiodactyla,Bovidae,592665.98,592.66598,63.73,PanTHERIA_WR05
Tachyglossus aculeatus,Monotremata,Tachyglossidae,4499.97,4.49997,0.44,PanTHERIA_WR05
Tachyoryctes splendens,Rodentia,Spalacidae,227.13,0.22713,7.80443e-05,PanTHERIA_WR05
Talpa europaea,Soricomorpha,Talpidae,87.53,0.08753,0.002281811,PanTHERIA_WR05
Talpa romana,Soricomorpha,Talpidae,92.5,0.0925,0.002738746,PanTHERIA_WR05
Tamandua mexicana,Pilosa,Myrmecophagidae,4178.51,4.17851,0.22,PanTHERIA_WR05
Tamandua tetradactyla,Pilosa,Myrmecophagidae,4800,4.8,2.72,PanTHERIA_WR05
Tamias amoenus,Rodentia,Sciuridae,50.63,0.05063,0.008434861,PanTHERIA_WR05
Tamias dorsalis,Rodentia,Sciuridae,63.66,0.06366,0.01,PanTHERIA_WR05
Tamias minimus,Rodentia,Sciuridae,42.87,0.04287,0.01,PanTHERIA_WR05
Tamias quadrimaculatus,Rodentia,Sciuridae,83.62,0.08362,0.005589918,PanTHERIA_WR05
Tamias quadrivittatus,Rodentia,Sciuridae,57.49,0.05749,0.02,PanTHERIA_WR05
Tamias rufus,Rodentia,Sciuridae,53.6,0.0536,0.007408495,PanTHERIA_WR05
Tamias senex,Rodentia,Sciuridae,89.35,0.08935,0.01,PanTHERIA_WR05
Tamias sibiricus,Rodentia,Sciuridae,94.16,0.09416,0.001508451,PanTHERIA_WR05
Tamias speciosus,Rodentia,Sciuridae,60.83,0.06083,0.01,PanTHERIA_WR05
Tamias townsendii,Rodentia,Sciuridae,79.12,0.07912,0.0072278,PanTHERIA_WR05
Tamias umbrinus,Rodentia,Sciuridae,51.75,0.05175,0.02,PanTHERIA_WR05
Tamiasciurus douglasii,Rodentia,Sciuridae,225,0.225,0.003531743,PanTHERIA_WR05
Tamiasciurus hudsonicus,Rodentia,Sciuridae,200.24,0.20024,0.007743219,PanTHERIA_WR05
Tapirus bairdii,Perissodactyla,Tapiridae,293781.59,293.78159,1.15,PanTHERIA_WR05
Tapirus indicus,Perissodactyla,Tapiridae,311209.19,311.20919,9.4,PanTHERIA_WR05
Tarsius syrichta,Primates,Tarsiidae,115.91,0.11591,0.007129928,PanTHERIA_WR05
Abrothrix olivaceus,Rodentia,Cricetidae,24.52,0.02452,0.000448137,PanTHERIA_WR05
Acinonyx jubatus,Carnivora,Felidae,50577.92,50.57792,88.27,PanTHERIA_WR05
Alcelaphus buselaphus,Artiodactyla,Bovidae,160937.86,160.93786,2.73,PanTHERIA_WR05
Alcelaphus lichtensteinii,Artiodactyla,Bovidae,168695.66,168.69566,4.41,PanTHERIA_WR05
Alces alces,Artiodactyla,Cervidae,461900.76,461.90076,71.75,PanTHERIA_WR05
Alouatta guariba,Primates,Atelidae,5188.33,5.18833,0.03,PanTHERIA_WR05
Alouatta palliata,Primates,Atelidae,6576.99,6.57699,0.19,PanTHERIA_WR05
Alouatta pigra,Primates,Atelidae,7172.06,7.17206,0.3,PanTHERIA_WR05
Alouatta seniculus,Primates,Atelidae,6398.31,6.39831,0.1,PanTHERIA_WR05
Amblysomus hottentotus,Afrosoricida,Chrysochloridae,62.6,0.0626,0.000334208,PanTHERIA_WR05
Ammospermophilus leucurus,Rodentia,Sciuridae,103.92,0.10392,0.04,PanTHERIA_WR05
Ammospermophilus nelsoni,Rodentia,Sciuridae,160.42,0.16042,0.03,PanTHERIA_WR05
Ammotragus lervia,Artiodactyla,Bovidae,94202.22,94.20222,7.06,PanTHERIA_WR05
Anomalurus derbianus,Rodentia,Anomaluridae,665.84,0.66584,0.04,PanTHERIA_WR05
Antechinus stuartii,Dasyuromorphia,Dasyuridae,29.01,0.02901,0.008782702,PanTHERIA_WR05
Antilocapra americana,Artiodactyla,Antilocapridae,47450.01,47.45001,8.05,PanTHERIA_WR05
Antilope cervicapra,Artiodactyla,Bovidae,36301.1,36.3011,0.62,PanTHERIA_WR05
Aonyx capensis,Carnivora,Mustelidae,19322.22,19.32222,99.74,PanTHERIA_WR05
Aotus trivirgatus,Primates,Aotidae,912.4,0.9124,0.02,PanTHERIA_WR05
Aplodontia rufa,Rodentia,Aplodontiidae,806.21,0.80621,0.001352133,PanTHERIA_WR05
Apodemus flavicollis,Rodentia,Muridae,31.6,0.0316,0.001253831,PanTHERIA_WR05
