species,order,family,mass_g,mass_kg,home_range_km2,source
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,492.71447,196.32,PanTHERIA_WR05
Canis adustus,Carnivora,Canidae,10392.49,10.39249,1.01,PanTHERIA_WR05
Canis aureus,Carnivora,Canidae,9658.7,9.6587,2.95,PanTHERIA_WR05
Canis latrans,Carnivora,Canidae,11989.1,11.9891,18.88,PanTHERIA_WR05
Canis lupus,Carnivora,Canidae,31756.51,31.75651,159.86,PanTHERIA_WR05
Caluromys philander,Didelphimorphia,Didelphidae,246.47,0.24647,0.009960363,PanTHERIA_WR05
Bos taurus,Artiodactyla,Bovidae,618642.42,618.64242,10.04,PanTHERIA_WR05
Canis mesomelas,Carnivora,Canidae,8247.3,8.2473,11.93,PanTHERIA_WR05
Canis simensis,Carnivora,Canidae,14361.86,14.36186,4.2,PanTHERIA_WR05
Capra hircus,Artiodactyla,Bovidae,47386.47,47.38647,98.3,PanTHERIA_WR05
Ateles belzebuth,Primates,Atelidae,6692.42,6.69242,2.28,PanTHERIA_WR05
Ateles chamek,Primates,Atelidae,7053.92,7.05392,1.16,PanTHERIA_WR05
Ateles geoffroyi,Primates,Atelidae,7582.4,7.5824,0.73,PanTHERIA_WR05
Ateles paniscus,Primates,Atelidae,8697.25,8.69725,1.36,PanTHERIA_WR05
Callicebus moloch,Primates,Pitheciidae,958.13,0.95813,0.02,PanTHERIA_WR05
Callicebus personatus,Primates,Pitheciidae,1390.8,1.3908,0.03,PanTHERIA_WR05
Callicebus torquatus,Primates,Pitheciidae,1209.57,1.20957,0.11,PanTHERIA_WR05
Callimico goeldii,Primates,Cebidae,558,0.558,0.32,PanTHERIA_WR05
Callithrix aurita,Primates,Cebidae,386.2,0.3862,0.08,PanTHERIA_WR05
Callithrix flaviceps,Primates,Cebidae,372.97,0.37297,0.22,PanTHERIA_WR05
Callithrix humeralifera,Primates,Cebidae,374.99,0.37499,0.1,PanTHERIA_WR05
Callithrix jacchus,Primates,Cebidae,290.21,0.29021,0.02,PanTHERIA_WR05
Callithrix kuhlii,Primates,Cebidae,374.99,0.37499,0.06,PanTHERIA_WR05
Callithrix penicillata,Primates,Cebidae,339.98,0.33998,0.01,PanTHERIA_WR05
Callithrix pygmaea,Primates,Cebidae,123.94,0.12394,0.002117904,PanTHERIA_WR05
Callosciurus caniceps,Rodentia,Sciuridae,264.91,0.26491,0.01,PanTHERIA_WR05
Callosciurus erythraeus,Rodentia,Sciuridae,283.23,0.28323,0.008950755,PanTHERIA_WR05
Callosciurus nigrovittatus,Rodentia,Sciuridae,208.3,0.2083,0.01,PanTHERIA_WR05
Callosciurus notatus,Rodentia,Sciuridae,209.49,0.20949,0.02,PanTHERIA_WR05
Atherurus africanus,Rodentia,Hystricidae,2875.65,2.87565,0.12,PanTHERIA_WR05
Atilax paludinosus,Carnivora,Herpestidae,3600.16,3.60016,1.73,PanTHERIA_WR05
Avahi laniger,Primates,Indriidae,1092.28,1.09228,0.01,PanTHERIA_WR05
Avahi occidentalis,Primates,Indriidae,828.98,0.82898,0.01,PanTHERIA_WR05
Axis axis,Artiodactyla,Cervidae,69499.99,69.49999,0.67,PanTHERIA_WR05
Axis porcinus,Artiodactyla,Cervidae,37448.29,37.44829,0.52,PanTHERIA_WR05
Cephalophus ogilbyi,Artiodactyla,Bovidae,18386.42,18.38642,0.07,PanTHERIA_WR05
Ceratotherium simum,Perissodactyla,Rhinocerotidae,2285939.4,2285.9394,19.09,PanTHERIA_WR05
Cercartetus nanus,Diprotodontia,Burramyidae,26.85,0.02685,0.005564565,PanTHERIA_WR05
Cercocebus galeritus,Primates,Cercopithecidae,7077.66,7.07766,0.51,PanTHERIA_WR05
Cercopithecus ascanius,Primates,Cercopithecidae,3540.24,3.54024,0.16,PanTHERIA_WR05
Cercopithecus campbelli,Primates,Cercopithecidae,3627.73,3.62773,0.01,PanTHERIA_WR05
Cercopithecus cephus,Primates,Cercopithecidae,3444.88,3.44488,0.24,PanTHERIA_WR05
Cercopithecus diana,Primates,Cercopithecidae,4358.91,4.35891,1.25,PanTHERIA_WR05
Cercopithecus mitis,Primates,Cercopithecidae,5041.29,5.04129,0.1,PanTHERIA_WR05
Cercopithecus neglectus,Primates,Cercopithecidae,5324.52,5.32452,0.06,PanTHERIA_WR05
Cercopithecus nictitans,Primates,Cercopithecidae,5256.91,5.25691,1.15,PanTHERIA_WR05
Cercopithecus pogonias,Primates,Cercopithecidae,3578.27,3.57827,1.15,PanTHERIA_WR05
Cerdocyon thous,Carnivora,Canidae,5741.66,5.74166,1.41,PanTHERIA_WR05
Cervus elaphus,Artiodactyla,Cervidae,240867.13,240.86713,58.42,PanTHERIA_WR05
Cervus nippon,Artiodactyla,Cervidae,52999.99,52.99999,1.43,PanTHERIA_WR05
Chaetodipus fallax,Rodentia,Heteromyidae,19.19,0.01919,0.002300009,PanTHERIA_WR05
Chaetodipus nelsoni,Rodentia,Heteromyidae,15.53,0.01553,0.002835545,PanTHERIA_WR05
Chaetodipus penicillatus,Rodentia,Heteromyidae,15.57,0.01557,0.005027576,PanTHERIA_WR05
Crocidura russula,Soricomorpha,Soricidae,9.89,0.00989,0.000165903,PanTHERIA_WR05
Equus zebra,Perissodactyla,Equidae,282462.13,282.46213,7.4,PanTHERIA_WR05
Eremitalpa granti,Afrosoricida,Chrysochloridae,22.04,0.02204,0.03,PanTHERIA_WR05
Erethizon dorsatum,Rodentia,Erethizontidae,7419.46,7.41946,0.1,PanTHERIA_WR05
Erinaceus concolor,Erinaceomorpha,Erinaceidae,665.99,0.66599,0.01,PanTHERIA_WR05
Erinaceus europaeus,Erinaceomorpha,Erinaceidae,777.95,0.77795,0.08,PanTHERIA_WR05
Erythrocebus patas,Primates,Cercopithecidae,7966.3,7.9663,28.24,PanTHERIA_WR05
Equus asinus,Perissodactyla,Equidae,164998.49,164.99849,139.69,PanTHERIA_WR05
Equus burchellii,Perissodactyla,Equidae,279160.65,279.16065,127.99,PanTHERIA_WR05
Equus caballus,Perissodactyla,Equidae,403598.53,403.59853,15.62,PanTHERIA_WR05
Genetta genetta,Carnivora,Viverridae,1756.17,1.75617,10.9,PanTHERIA_WR05
Bison bison,Artiodactyla,Bovidae,624577.07,624.57707,47.39,PanTHERIA_WR05
Bison bonasus,Artiodactyla,Bovidae,675876.7,675.8767,7.91,PanTHERIA_WR05
Blarina brevicauda,Soricomorpha,Soricidae,18.56,0.01856,0.003539783,PanTHERIA_WR05
Blarina carolinensis,Soricomorpha,Soricidae,11.91,0.01191,0.00995781,PanTHERIA_WR05
Baiomys taylori,Rodentia,Cricetidae,7.43,0.00743,0.000384598,PanTHERIA_WR05
Brachylagus idahoensis,Lagomorpha,Leporidae,431.19,0.43119,0.003792025,PanTHERIA_WR05
Brachyteles arachnoides,Primates,Atelidae,10537.31,10.53731,1.04,PanTHERIA_WR05
Cephalophus dorsalis,Artiodactyla,Bovidae,20000,20,0.27,PanTHERIA_WR05
Cephalophus natalensis,Artiodactyla,Bovidae,12724.51,12.72451,0.06,PanTHERIA_WR05
Chaetophractus vellerosus,Cingulata,Dasypodidae,930.16,0.93016,0.02,PanTHERIA_WR05
Dendrolagus lumholtzi,Diprotodontia,Macropodidae,6649.97,6.64997,0.01,PanTHERIA_WR05
Dendrolagus matschiei,Diprotodontia,Macropodidae,8293.4,8.2934,0.23,PanTHERIA_WR05
Desmana moschata,Soricomorpha,Talpidae,427.64,0.42764,0.004907674,PanTHERIA_WR05
Dicerorhinus sumatrensis,Perissodactyla,Rhinocerotidae,1046156,1046.156,11.87,PanTHERIA_WR05
Diceros bicornis,Perissodactyla,Rhinocerotidae,995940.54,995.94054,11.48,PanTHERIA_WR05
Dicrostonyx groenlandicus,Rodentia,Cricetidae,58.44,0.05844,0.007305693,PanTHERIA_WR05
Didelphis albiventris,Didelphimorphia,Didelphidae,1030.47,1.03047,0.004024018,PanTHERIA_WR05
Didelphis marsupialis,Didelphimorphia,Didelphidae,1134.75,1.13475,0.17,PanTHERIA_WR05
Didelphis virginiana,Didelphimorphia,Didelphidae,2442.08,2.44208,0.58,PanTHERIA_WR05
Elephantulus rufescens,Macroscelidea,Macroscelididae,52.78,0.05278,0.002648142,PanTHERIA_WR05
Elephas maximus,Proboscidea,Elephantidae,3269794.3,3269.7943,38.36,PanTHERIA_WR05
Heterocephalus glaber,Rodentia,Bathyergidae,39.36,0.03936,0.004215132,PanTHERIA_WR05
Heteromys desmarestianus,Rodentia,Heteromyidae,74,0.074,0.001025001,PanTHERIA_WR05
Lagostomus maximus,Rodentia,Chinchillidae,4660.94,4.66094,0.01,PanTHERIA_WR05
Lagothrix lagotricha,Primates,Atelidae,6263.69,6.26369,2.82,PanTHERIA_WR05
Eulemur coronatus,Primates,Lemuridae,1699.85,1.69985,0.05,PanTHERIA_WR05
Eulemur fulvus,Primates,Lemuridae,2376.99,2.37699,0.05,PanTHERIA_WR05
Eulemur macaco,Primates,Lemuridae,2470.43,2.47043,0.03,PanTHERIA_WR05
Eulemur mongoz,Primates,Lemuridae,1771.13,1.77113,0.05,PanTHERIA_WR05
Eulemur rubriventer,Primates,Lemuridae,2015.4,2.0154,0.13,PanTHERIA_WR05
Galago zanzibaricus,Primates,Galagidae,147.35,0.14735,0.01,PanTHERIA_WR05
Galea spixii,Rodentia,Caviidae,360.61,0.36061,0.000535015,PanTHERIA_WR05
Galemys pyrenaicus,Soricomorpha,Talpidae,60.17,0.06017,0.001551623,PanTHERIA_WR05
Galerella pulverulenta,Carnivora,Herpestidae,791.4,0.7914,3.81,PanTHERIA_WR05
Galerella sanguinea,Carnivora,Herpestidae,543.83,0.54383,0.66,PanTHERIA_WR05
Galidia elegans,Carnivora,Eupleridae,810,0.81,0.17,PanTHERIA_WR05
Gazella dorcas,Artiodactyla,Bovidae,15635.95,15.63595,15.52,PanTHERIA_WR05
Gazella gazella,Artiodactyla,Bovidae,21306.83,21.30683,1.46,PanTHERIA_WR05
Bassariscus astutus,Carnivora,Procyonidae,1010.37,1.01037,0.74,PanTHERIA_WR05
Bathyergus suillus,Rodentia,Bathyergidae,777.38,0.77738,0.002096145,PanTHERIA_WR05
Batomys granti,Rodentia,Muridae,169.53,0.16953,0.001546275,PanTHERIA_WR05
Bettongia gaimardi,Diprotodontia,Potoroidae,1667.55,1.66755,0.41,PanTHERIA_WR05
Bradypus torquatus,Pilosa,Bradypodidae,4468.42,4.46842,0.03,PanTHERIA_WR05
Bradypus variegatus,Pilosa,Bradypodidae,4136.36,4.13636,0.01,PanTHERIA_WR05
Bubalus bubalis,Artiodactyla,Bovidae,929500.97,929.50097,3.63,PanTHERIA_WR05
Bunolagus monticularis,Lagomorpha,Leporidae,1750.01,1.75001,0.14,PanTHERIA_WR05
Bunopithecus hoolock,Primates,Hylobatidae,6699,6.699,0.16,PanTHERIA_WR05
Chiropotes albinasus,Primates,Pitheciidae,2793.21,2.79321,1.98,PanTHERIA_WR05
Chiropotes satanas,Primates,Pitheciidae,2967.27,2.96727,1.48,PanTHERIA_WR05
Callicebus brunneus,Primates,Pitheciidae,850.84,0.85084,0.04,PanTHERIA_WR05
Capra pyrenaica,Artiodactyla,Bovidae,60898.77,60.89877,0.64,PanTHERIA_WR05
Capreolus capreolus,Artiodactyla,Cervidae,22502.01,22.50201,0.52,PanTHERIA_WR05
Capreolus pygargus,Artiodactyla,Cervidae,41371.03,41.37103,0.99,PanTHERIA_WR05
Capricornis crispus,Artiodactyla,Bovidae,43030.64,43.03064,0.11,PanTHERIA_WR05
Caprolagus hispidus,Lagomorpha,Leporidae,2496.99,2.49699,0.004121254,PanTHERIA_WR05
Caracal caracal,Carnivora,Felidae,11964.38,11.96438,293.94,PanTHERIA_WR05
Castor canadensis,Rodentia,Castoridae,18124.41,18.12441,0.06,PanTHERIA_WR05
Catagonus wagneri,Artiodactyla,Tayassuidae,35566.4,35.5664,7,PanTHERIA_WR05
Cavia aperea,Rodentia,Caviidae,524.38,0.52438,0.000921587,PanTHERIA_WR05
Cebus albifrons,Primates,Cebidae,2509.68,2.50968,0.53,PanTHERIA_WR05
Cebus apella,Primates,Cebidae,2758.38,2.75838,0.88,PanTHERIA_WR05
Cebus capucinus,Primates,Cebidae,3005.99,3.00599,0.35,PanTHERIA_WR05
Cebus olivaceus,Primates,Cebidae,2787.64,2.78764,1.7,PanTHERIA_WR05
Cephalophus callipygus,Artiodactyla,Bovidae,19079.23,19.07923,0.32,PanTHERIA_WR05
Cheirogaleus major,Primates,Cheirogaleidae,446.02,0.44602,0.02,PanTHERIA_WR05
Cheirogaleus medius,Primates,Cheirogaleidae,196.76,0.19676,0.02,PanTHERIA_WR05
Chrysocyon brachyurus,Carnivora,Canidae,23325,23.325,21.36,PanTHERIA_WR05
Chrysospalax trevelyani,Afrosoricida,Chrysochloridae,434.04,0.43404,0.000602526,PanTHERIA_WR05
Coendou prehensilis,Rodentia,Erethizontidae,4116.2,4.1162,0.14,PanTHERIA_WR05
Colobus guereza,Primates,Cercopithecidae,9925.88,9.92588,0.17,PanTHERIA_WR05
Colobus polykomos,Primates,Cercopithecidae,8797.29,8.79729,0.14,PanTHERIA_WR05
Colobus satanas,Primates,Cercopithecidae,9055.32,9.05532,0.44,PanTHERIA_WR05
Colobus vellerosus,Primates,Cercopithecidae,7700.18,7.70018,0.29,PanTHERIA_WR05
Condylura cristata,Soricomorpha,Talpidae,48.15,0.04815,0.003656234,PanTHERIA_WR05
Conepatus humboldtii,Carnivora,Mephitidae,1097.61,1.09761,0.1,PanTHERIA_WR05
Conepatus semistriatus,Carnivora,Mephitidae,1997.34,1.99734,0.27,PanTHERIA_WR05
Connochaetes gnou,Artiodactyla,Bovidae,156547.53,156.54753,0.95,PanTHERIA_WR05
Dasypus novemcinctus,Cingulata,Dasypodidae,3949.01,3.94901,0.04,PanTHERIA_WR05
Euphractus sexcinctus,Cingulata,Dasypodidae,4731.16,4.73116,0.65,PanTHERIA_WR05
Crocuta crocuta,Carnivora,Hyaenidae,63369.98,63.36998,21.93,PanTHERIA_WR05
Cryptomys damarensis,Rodentia,Bathyergidae,112.2,0.1122,0.01,PanTHERIA_WR05
Cryptomys hottentotus,Rodentia,Bathyergidae,75.13,0.07513,0.001455832,PanTHERIA_WR05
Cryptoprocta ferox,Carnivora,Eupleridae,9500,9.5,0.75,PanTHERIA_WR05
Cryptotis parva,Soricomorpha,Soricidae,4.97,0.00497,0.001442322,PanTHERIA_WR05
Ctenomys haigi,Rodentia,Ctenomyidae,164,0.164,3.29744e-05,PanTHERIA_WR05
Ctenomys talarum,Rodentia,Ctenomyidae,140.84,0.14084,2.0373e-05,PanTHERIA_WR05
Cuon alpinus,Carnivora,Canidae,15800,15.8,33.64,PanTHERIA_WR05
Cyclopes didactylus,Pilosa,Cyclopedidae,263.95,0.26395,0.03,PanTHERIA_WR05
Cynictis penicillata,Carnivora,Herpestidae,694.41,0.69441,1.89,PanTHERIA_WR05
Cynocephalus volans,Dermoptera,Cynocephalidae,1250,1.25,0.07,PanTHERIA_WR05
Cynomys gunnisoni,Rodentia,Sciuridae,797.93,0.79793,0.007188295,PanTHERIA_WR05
Cynomys leucurus,Rodentia,Sciuridae,963.76,0.96376,0.05,PanTHERIA_WR05
Cynomys ludovicianus,Rodentia,Sciuridae,797.05,0.79705,0.001787394,PanTHERIA_WR05
Dactylomys dactylinus,Rodentia,Echimyidae,649.98,0.64998,0.001669342,PanTHERIA_WR05
Dactylopsila trivirgata,Diprotodontia,Petauridae,413.41,0.41341,0.09,PanTHERIA_WR05
Dama dama,Artiodactyla,Cervidae,57224.61,57.22461,0.71,PanTHERIA_WR05
Dasyurus geoffroii,Dasyuromorphia,Dasyuridae,1106.62,1.10662,2.73,PanTHERIA_WR05
Dasyurus hallucatus,Dasyuromorphia,Dasyuridae,470.92,0.47092,0.02,PanTHERIA_WR05
Dasyurus maculatus,Dasyuromorphia,Dasyuridae,3284.15,3.28415,1.36,PanTHERIA_WR05
Dasyurus viverrinus,Dasyuromorphia,Dasyuridae,1101.49,1.10149,0.33,PanTHERIA_WR05
Daubentonia madagascariensis,Primates,Daubentoniidae,2731.37,2.73137,0.06,PanTHERIA_WR05
Dipodomys agilis,Rodentia,Heteromyidae,60.21,0.06021,0.002396454,PanTHERIA_WR05
Dipodomys elator,Rodentia,Heteromyidae,105.82,0.10582,0.00073307,PanTHERIA_WR05
Dipodomys ingens,Rodentia,Heteromyidae,113.61,0.11361,0.000314541,PanTHERIA_WR05
Dipodomys merriami,Rodentia,Heteromyidae,37.91,0.03791,0.001745298,PanTHERIA_WR05
Dipodomys microps,Rodentia,Heteromyidae,56.26,0.05626,0.03,PanTHERIA_WR05
Dipodomys ordii,Rodentia,Heteromyidae,50.4,0.0504,0.004440926,PanTHERIA_WR05
Dipodomys panamintinus,Rodentia,Heteromyidae,73.67,0.07367,0.003884943,PanTHERIA_WR05
Dipodomys spectabilis,Rodentia,Heteromyidae,124.61,0.12461,0.000506179,PanTHERIA_WR05
Dipodomys stephensi,Rodentia,Heteromyidae,68.49,0.06849,0.000790491,PanTHERIA_WR05
Dolichotis patagonum,Rodentia,Caviidae,8000,8,0.69,PanTHERIA_WR05
Dugong dugon,Sirenia,Dugongidae,295000,295,47.17,PanTHERIA_WR05
Echymipera clara,Peramelemorphia,Peramelidae,1204.61,1.20461,0.01,PanTHERIA_WR05
Echymipera kalubu,Peramelemorphia,Peramelidae,825.16,0.82516,0.01,PanTHERIA_WR05
Eira barbara,Carnivora,Mustelidae,4134.99,4.13499,11.4,PanTHERIA_WR05
Enhydra lutris,Carnivora,Mustelidae,27410.93,27.41093,3.43,PanTHERIA_WR05
Genetta tigrina,Carnivora,Viverridae,2066.57,2.06657,0.04,PanTHERIA_WR05
Geomys attwateri,Rodentia,Geomyidae,144.06,0.14406,0.000214131,PanTHERIA_WR05
Georychus capensis,Rodentia,Bathyergidae,188.36,0.18836,0.000212281,PanTHERIA_WR05
Gerbilliscus brantsii,Rodentia,Muridae,89.41,0.08941,0.000541371,PanTHERIA_WR05
Gerbillurus paeba,Rodentia,Muridae,25.91,0.02591,0.01,PanTHERIA_WR05
Felis catus,Carnivora,Felidae,2884.8,2.8848,1.41,PanTHERIA_WR05
Graphiurus ocularis,Rodentia,Gliridae,68.8,0.0688,0.09,PanTHERIA_WR05
Gulo gulo,Carnivora,Mustelidae,12792.49,12.79249,343.27,PanTHERIA_WR05
Gymnobelideus leadbeateri,Diprotodontia,Petauridae,137.32,0.13732,0.01,PanTHERIA_WR05
Hapalemur aureus,Primates,Lemuridae,1562.41,1.56241,0.21,PanTHERIA_WR05
Hapalemur griseus,Primates,Lemuridae,916,0.916,0.01,PanTHERIA_WR05
Heliophobius argenteocinereus,Rodentia,Bathyergidae,159.46,0.15946,0.000134237,PanTHERIA_WR05
Herpestes ichneumon,Carnivora,Herpestidae,2980.02,2.98002,2.18,PanTHERIA_WR05
Herpestes javanicus,Carnivora,Herpestidae,750,0.75,0.22,PanTHERIA_WR05
Herpestes naso,Carnivora,Herpestidae,3002.08,3.00208,0.4,PanTHERIA_WR05
Felis silvestris,Carnivora,Felidae,4573.08,4.57308,1.29,PanTHERIA_WR05
Fossa fossana,Carnivora,Eupleridae,1853.98,1.85398,0.75,PanTHERIA_WR05
Funambulus pennantii,Rodentia,Sciuridae,102.49,0.10249,0.001374507,PanTHERIA_WR05
Funisciurus congicus,Rodentia,Sciuridae,112,0.112,0.003290498,PanTHERIA_WR05
Galago alleni,Primates,Galagidae,266.03,0.26603,0.18,PanTHERIA_WR05
Galago demidoff,Primates,Galagidae,66.04,0.06604,0.01,PanTHERIA_WR05
Galago moholi,Primates,Galagidae,191.96,0.19196,0.04,PanTHERIA_WR05
Galago senegalensis,Primates,Galagidae,215.2,0.2152,0.08,PanTHERIA_WR05
Giraffa camelopardalis,Artiodactyla,Giraffidae,964654.73,964.65473,81.52,PanTHERIA_WR05
Glaucomys sabrinus,Rodentia,Sciuridae,137.53,0.13753,0.05,PanTHERIA_WR05
Glaucomys volans,Rodentia,Sciuridae,71.9,0.0719,0.005345752,PanTHERIA_WR05
Glis glis,Rodentia,Gliridae,128.09,0.12809,0.001479636,PanTHERIA_WR05
Gorilla gorilla,Primates,Hominidae,112588.99,112.58899,4.03,PanTHERIA_WR05
Grammomys poensis,Rodentia,Muridae,50.03,0.05003,0.001024808,PanTHERIA_WR05
Helogale parvula,Carnivora,Herpestidae,281.83,0.28183,0.21,PanTHERIA_WR05
Hemiechinus auritus,Erinaceomorpha,Erinaceidae,322.04,0.32204,0.03,PanTHERIA_WR05
Hexaprotodon liberiensis,Artiodactyla,Hippopotamidae,235001.16,235.00116,0.72,PanTHERIA_WR05
Hippocamelus bisulcus,Artiodactyla,Cervidae,69240.81,69.24081,0.86,PanTHERIA_WR05
Hyaena brunnea,Carnivora,Hyaenidae,42977.93,42.97793,67.3,PanTHERIA_WR05
Hyaena hyaena,Carnivora,Hyaenidae,35070.51,35.07051,45.19,PanTHERIA_WR05
Hybomys univittatus,Rodentia,Muridae,54.46,0.05446,0.002104427,PanTHERIA_WR05
Hydrochoerus hydrochaeris,Rodentia,Caviidae,48144.91,48.14491,0.07,PanTHERIA_WR05
Hyemoschus aquaticus,Artiodactyla,Tragulidae,10850,10.85,0.2,PanTHERIA_WR05
Hylobates agilis,Primates,Hylobatidae,5829.08,5.82908,0.19,PanTHERIA_WR05
Hylobates klossii,Primates,Hylobatidae,5822.29,5.82229,0.14,PanTHERIA_WR05
Hylobates lar,Primates,Hylobatidae,5578.61,5.57861,0.32,PanTHERIA_WR05
Lariscus insignis,Rodentia,Sciuridae,174.41,0.17441,0.008112981,PanTHERIA_WR05
Marmosa robinsoni,Didelphimorphia,Didelphidae,60.57,0.06057,0.00155313,PanTHERIA_WR05
Hylobates moloch,Primates,Hylobatidae,5860.81,5.86081,0.12,PanTHERIA_WR05
Hylobates muelleri,Primates,Hylobatidae,5909.81,5.90981,0.26,PanTHERIA_WR05
Hylobates pileatus,Primates,Hylobatidae,5542.37,5.54237,0.23,PanTHERIA_WR05
Hylomys suillus,Erinaceomorpha,Erinaceidae,57.61,0.05761,0.001894621,PanTHERIA_WR05
Hypogeomys antimena,Rodentia,Nesomyidae,1175.93,1.17593,0.02,PanTHERIA_WR05
Hystrix africaeaustralis,Rodentia,Hystricidae,14936.02,14.93602,1.31,PanTHERIA_WR05
Hystrix cristata,Rodentia,Hystricidae,13406.27,13.40627,0.74,PanTHERIA_WR05
Hystrix indica,Rodentia,Hystricidae,14298.6,14.2986,1.05,PanTHERIA_WR05
Ichneumia albicauda,Carnivora,Herpestidae,3628.4,3.6284,0.5,PanTHERIA_WR05
Indri indri,Primates,Indriidae,8565.48,8.56548,0.12,PanTHERIA_WR05
Isoodon auratus,Peramelemorphia,Peramelidae,425,0.425,0.12,PanTHERIA_WR05
Isoodon macrourus,Peramelemorphia,Peramelidae,1505.77,1.50577,0.02,PanTHERIA_WR05
Isoodon obesulus,Peramelemorphia,Peramelidae,824.76,0.82476,0.01,PanTHERIA_WR05
Kobus ellipsiprymnus,Artiodactyla,Bovidae,204393.48,204.39348,1.28,PanTHERIA_WR05
Kobus kob,Artiodactyla,Bovidae,80035.21,80.03521,99.57,PanTHERIA_WR05
Manis temminckii,Pholidota,Manidae,11943.74,11.94374,10.22,PanTHERIA_WR05
Monodelphis americana,Didelphimorphia,Didelphidae,19.5,0.0195,0.000536788,PanTHERIA_WR05
Meles meles,Carnivora,Mustelidae,11884.03,11.88403,1.2,PanTHERIA_WR05
Miopithecus talapoin,Primates,Cercopithecidae,1248.86,1.24886,0.8,PanTHERIA_WR05
Mirza coquereli,Primates,Cheirogaleidae,326.5,0.3265,0.03,PanTHERIA_WR05
Moschus berezovskii,Artiodactyla,Moschidae,12477.41,12.47741,0.13,PanTHERIA_WR05
Moschus chrysogaster,Artiodactyla,Moschidae,13697.9,13.6979,0.13,PanTHERIA_WR05
Moschus fuscus,Artiodactyla,Moschidae,13697.9,13.6979,0.13,PanTHERIA_WR05
Moschus moschiferus,Artiodactyla,Moschidae,13315.57,13.31557,0.13,PanTHERIA_WR05
Mungos mungo,Carnivora,Herpestidae,1260,1.26,1.66,PanTHERIA_WR05
Mungotictis decemlineata,Carnivora,Eupleridae,657.03,0.65703,1.19,PanTHERIA_WR05
Marmota caudata,Rodentia,Sciuridae,4350,4.35,0.03,PanTHERIA_WR05
Marmota flaviventris,Rodentia,Sciuridae,3709.73,3.70973,0.01,PanTHERIA_WR05
Marmota marmota,Rodentia,Sciuridae,4059.15,4.05915,0.01,PanTHERIA_WR05
Marmota monax,Rodentia,Sciuridae,3880.93,3.88093,0.01,PanTHERIA_WR05
Lemmus sibiricus,Rodentia,Cricetidae,53.81,0.05381,0.006494881,PanTHERIA_WR05
Lemmus trimucronatus,Rodentia,Cricetidae,69.82,0.06982,0.005384903,PanTHERIA_WR05
Lasiorhinus krefftii,Diprotodontia,Vombatidae,31849.99,31.84999,0.05,PanTHERIA_WR05
Lemur catta,Primates,Lemuridae,2626.48,2.62648,0.05,PanTHERIA_WR05
Leontopithecus chrysomelas,Primates,Cebidae,572.8,0.5728,0.24,PanTHERIA_WR05
Leontopithecus chrysopygus,Primates,Cebidae,656.12,0.65612,0.83,PanTHERIA_WR05
Leontopithecus rosalia,Primates,Cebidae,592.52,0.59252,0.26,PanTHERIA_WR05
Leopardus pardalis,Carnivora,Felidae,11880,11.88,5.08,PanTHERIA_WR05
Leopardus wiedii,Carnivora,Felidae,3270.81,3.27081,8.54,PanTHERIA_WR05
Lepilemur edwardsi,Primates,Lepilemuridae,821.58,0.82158,0.008338038,PanTHERIA_WR05
Lepilemur leucopus,Primates,Lepilemuridae,599.99,0.59999,0.001998666,PanTHERIA_WR05
Lepilemur mustelinus,Primates,Lepilemuridae,669.03,0.66903,0.002734203,PanTHERIA_WR05
Lepilemur septentrionalis,Primates,Lepilemuridae,755.77,0.75577,0.007059681,PanTHERIA_WR05
Leptailurus serval,Carnivora,Felidae,11999.96,11.99996,1.84,PanTHERIA_WR05
Lepus alleni,Lagomorpha,Leporidae,3930,3.93,4.53,PanTHERIA_WR05
Lepus americanus,Lagomorpha,Leporidae,1568.42,1.56842,0.04,PanTHERIA_WR05
Lepus arcticus,Lagomorpha,Leporidae,4412.73,4.41273,2.26,PanTHERIA_WR05
Lepus californicus,Lagomorpha,Leporidae,2422.48,2.42248,0.56,PanTHERIA_WR05
Lepus capensis,Lagomorpha,Leporidae,2047.11,2.04711,0.41,PanTHERIA_WR05
Lepus europaeus,Lagomorpha,Leporidae,3816.43,3.81643,0.31,PanTHERIA_WR05
Lepus nigricollis,Lagomorpha,Leporidae,2294.25,2.29425,0.01,PanTHERIA_WR05
Lepus timidus,Lagomorpha,Leporidae,3105.42,3.10542,0.86,PanTHERIA_WR05
Liomys adspersus,Rodentia,Heteromyidae,50.99,0.05099,0.004046269,PanTHERIA_WR05
Liomys salvini,Rodentia,Heteromyidae,41.99,0.04199,0.001470548,PanTHERIA_WR05
Lontra canadensis,Carnivora,Mustelidae,8087.42,8.08742,14.18,PanTHERIA_WR05
Lophocebus albigena,Primates,Cercopithecidae,7418.71,7.41871,1.98,PanTHERIA_WR05
Lophocebus aterrimus,Primates,Cercopithecidae,6510.37,6.51037,0.34,PanTHERIA_WR05
Lophuromys sikapusi,Rodentia,Muridae,62.72,0.06272,0.001594146,PanTHERIA_WR05
Loris tardigradus,Primates,Lorisidae,249.22,0.24922,0.007059681,PanTHERIA_WR05
Loxodonta africana,Proboscidea,Elephantidae,3824539.9,3824.5399,587.53,PanTHERIA_WR05
Lutra lutra,Carnivora,Mustelidae,8868.69,8.86869,21.31,PanTHERIA_WR05
Lutreolina crassicaudata,Didelphimorphia,Didelphidae,554.77,0.55477,0.001430339,PanTHERIA_WR05
