species,class,order,family,mass_kg,metabolic_rate,metabolic_rate_units,source
Apalis thoracica,Aves,Passeriformes,Cisticolidae,0.01149,0.307,W,AnimalTraits
Zosterops virens,Aves,Passeriformes,Zosteropidae,0.01087,0.407,W,AnimalTraits
Sphenoeacus afer,Aves,Passeriformes,Macrosphenidae,0.02805,0.474,W,AnimalTraits
Sylvietta rufescens,Aves,Passeriformes,Macrosphenidae,0.01157,0.327,W,AnimalTraits
Sylvia subcaerulea,Aves,Passeriformes,Sylviidae,0.0132,0.374,W,AnimalTraits
Serinus flaviventris,Aves,Passeriformes,Fringillidae,0.01605,0.399,W,AnimalTraits
Serinus albogularis,Aves,Passeriformes,Fringillidae,0.0305,0.64,W,AnimalTraits
Emberiza capensis,Aves,Passeriformes,Emberizidae,0.0199,0.469,W,AnimalTraits
Colius colius,Aves,Passeriformes,Coliidae,0.04521,0.725,W,AnimalTraits
Telophorus zeylonus,Aves,Passeriformes,Malaconotidae,0.06765,1.138,W,AnimalTraits
Cisticola subruficapilla,Aves,Passeriformes,Cisticolidae,0.01015,0.298,W,AnimalTraits
Anthoscopus minutus,Aves,Passeriformes,Remizidae,0.0069,0.223,W,AnimalTraits
Nectarinia chalybea,Aves,Passeriformes,Nectariniidae,0.00808,0.298,W,AnimalTraits
Hirundo tahitica,Aves,Passeriformes,Hirundinidae,0.01407,0.23364017,W,AnimalTraits
Merops viridis,Aves,Coraciiformes,Meropidae,0.03381,0.39200817,W,AnimalTraits
Apteryx owenii,Aves,Apterygiformes,Apterygidae,0.666,1.16,W,AnimalTraits
Apteryx owenii,Aves,Apterygiformes,Apterygidae,1.525,3.42,W,AnimalTraits
Apteryx owenii,Aves,Apterygiformes,Apterygidae,1.525,2.55,W,AnimalTraits
Apteryx australis,Aves,Apterygiformes,Apterygidae,1.85,3.58,W,AnimalTraits
Apteryx australis,Aves,Apterygiformes,Apterygidae,3.07,3.89,W,AnimalTraits
Apteryx australis,Aves,Apterygiformes,Apterygidae,2.15,4.13,W,AnimalTraits
Apteryx australis,Aves,Apterygiformes,Apterygidae,2.08,4.39,W,AnimalTraits
Apteryx australis,Aves,Apterygiformes,Apterygidae,2.22,4.54,W,AnimalTraits
Apteryx australis,Aves,Apterygiformes,Apterygidae,2.68,4.12,W,AnimalTraits
Apteryx haasti,Aves,Apterygiformes,Apterygidae,2.21,3.5,W,AnimalTraits
Apteryx haasti,Aves,Apterygiformes,Apterygidae,2.87,4.87,W,AnimalTraits
Dromaius novaehollandiae,Aves,Casuariiformes,Casuariidae,44.61,46.02,W,AnimalTraits
Dromaius novaehollandiae,Aves,Casuariiformes,Casuariidae,38.76,38.88,W,AnimalTraits
Dromaius novaehollandiae,Aves,Casuariiformes,Casuariidae,35.41,42.38,W,AnimalTraits
Dromaius novaehollandiae,Aves,Casuariiformes,Casuariidae,36.92,46.58,W,AnimalTraits
