species,order,family,mass_g,mass_kg,weaning_days,source
Lagidium peruanum,Rodentia,Chinchillidae,1220,1.22,40.71,PanTHERIA_WR05
Lagidium viscacia,Rodentia,Chinchillidae,1539.99,1.53999,1.94,PanTHERIA_WR05
Lagorchestes conspicillatus,Diprotodontia,Macropodidae,2821.01,2.82101,204,PanTHERIA_WR05
Lagorchestes hirsutus,Diprotodontia,Macropodidae,1407.14,1.40714,150,PanTHERIA_WR05
Manis pentadactyla,Pholidota,Manidae,4675,4.675,85.51,PanTHERIA_WR05
Manis temminckii,Pholidota,Manidae,11943.74,11.94374,59.27,PanTHERIA_WR05
Manis tricuspis,Pholidota,Manidae,1539.31,1.53931,177.82,PanTHERIA_WR05
Meriones persicus,Rodentia,Muridae,107.52,0.10752,19,PanTHERIA_WR05
Meriones shawi,Rodentia,Muridae,90.6,0.0906,29.31,PanTHERIA_WR05
Meriones unguiculatus,Rodentia,Muridae,57.75,0.05775,23.95,PanTHERIA_WR05
Mesembriomys gouldii,Rodentia,Muridae,716.49,0.71649,48.99,PanTHERIA_WR05
Molossus sinaloae,Chiroptera,Molossidae,21.09,0.02109,47.25,PanTHERIA_WR05
Monachus monachus,Carnivora,Phocidae,294881.33,294.88133,42.75,PanTHERIA_WR05
Monachus schauinslandi,Carnivora,Phocidae,222999.99,222.99999,37.13,PanTHERIA_WR05
Monodelphis dimidiata,Didelphimorphia,Didelphidae,44.56,0.04456,55.68,PanTHERIA_WR05
Monodelphis domestica,Didelphimorphia,Didelphidae,93.45,0.09345,49.49,PanTHERIA_WR05
Megaptera novaeangliae,Cetacea,Balaenopteridae,30000000,30000,318.46,PanTHERIA_WR05
Meles meles,Carnivora,Mustelidae,11884.03,11.88403,91.3,PanTHERIA_WR05
Mellivora capensis,Carnivora,Mustelidae,8999.99,8.99999,23.86,PanTHERIA_WR05
Miopithecus talapoin,Primates,Cercopithecidae,1248.86,1.24886,178.98,PanTHERIA_WR05
Mirounga angustirostris,Carnivora,Phocidae,1112390.8,1112.3908,27.37,PanTHERIA_WR05
Mirounga leonina,Carnivora,Phocidae,1600000,1600,22.93,PanTHERIA_WR05
Mirza coquereli,Primates,Cheirogaleidae,326.5,0.3265,136,PanTHERIA_WR05
Molossus molossus,Chiroptera,Molossidae,13.7,0.0137,60.45,PanTHERIA_WR05
Monodon monoceros,Cetacea,Monodontidae,938126.44,938.12644,608.33,PanTHERIA_WR05
Mops condylurus,Chiroptera,Molossidae,26.59,0.02659,49.99,PanTHERIA_WR05
Moschus berezovskii,Artiodactyla,Moschidae,12477.41,12.47741,47.14,PanTHERIA_WR05
Moschus chrysogaster,Artiodactyla,Moschidae,13697.9,13.6979,47.14,PanTHERIA_WR05
Moschus fuscus,Artiodactyla,Moschidae,13697.9,13.6979,47.14,PanTHERIA_WR05
Moschus moschiferus,Artiodactyla,Moschidae,13315.57,13.31557,47.14,PanTHERIA_WR05
Mungos mungo,Carnivora,Herpestidae,1260,1.26,20.88,PanTHERIA_WR05
Mungotictis decemlineata,Carnivora,Eupleridae,657.03,0.65703,45.1,PanTHERIA_WR05
Marmota caligata,Rodentia,Sciuridae,2253.71,2.25371,24.36,PanTHERIA_WR05
Marmota caudata,Rodentia,Sciuridae,4350,4.35,34.8,PanTHERIA_WR05
Marmota flaviventris,Rodentia,Sciuridae,3709.73,3.70973,25,PanTHERIA_WR05
Marmota marmota,Rodentia,Sciuridae,4059.15,4.05915,49.18,PanTHERIA_WR05
Marmota monax,Rodentia,Sciuridae,3880.93,3.88093,43.83,PanTHERIA_WR05
Marmota olympus,Rodentia,Sciuridae,6299.99,6.29999,34.73,PanTHERIA_WR05
Lemmus lemmus,Rodentia,Cricetidae,67.62,0.06762,20.15,PanTHERIA_WR05
Lasiorhinus krefftii,Diprotodontia,Vombatidae,31849.99,31.84999,362.93,PanTHERIA_WR05
Lasiorhinus latifrons,Diprotodontia,Vombatidae,26163.8,26.1638,326.07,PanTHERIA_WR05
Lemniscomys striatus,Rodentia,Muridae,43.65,0.04365,27.28,PanTHERIA_WR05
Lemur catta,Primates,Lemuridae,2626.48,2.62648,126.51,PanTHERIA_WR05
Leontopithecus rosalia,Primates,Cebidae,592.52,0.59252,75.69,PanTHERIA_WR05
Leopardus pardalis,Carnivora,Felidae,11880,11.88,106.18,PanTHERIA_WR05
Leopardus wiedii,Carnivora,Felidae,3270.81,3.27081,93.4,PanTHERIA_WR05
Lepilemur leucopus,Primates,Lepilemuridae,599.99,0.59999,121.66,PanTHERIA_WR05
Lepilemur mustelinus,Primates,Lepilemuridae,669.03,0.66903,76.21,PanTHERIA_WR05
Lepilemur ruficaudatus,Primates,Lepilemuridae,763.36,0.76336,119.32,PanTHERIA_WR05
Lepilemur septentrionalis,Primates,Lepilemuridae,755.77,0.75577,120.97,PanTHERIA_WR05
Leporillus conditor,Rodentia,Muridae,328.82,0.32882,40.87,PanTHERIA_WR05
Leptailurus serval,Carnivora,Felidae,11999.96,11.99996,104.68,PanTHERIA_WR05
Leptonychotes weddellii,Carnivora,Phocidae,400000,400,43.35,PanTHERIA_WR05
Leptonycteris curasoae,Chiroptera,Phyllostomidae,25.27,0.02527,41.99,PanTHERIA_WR05
Leptonycteris yerbabuenae,Chiroptera,Phyllostomidae,22.24,0.02224,41.99,PanTHERIA_WR05
Lepus americanus,Lagomorpha,Leporidae,1568.42,1.56842,22.98,PanTHERIA_WR05
Lepus californicus,Lagomorpha,Leporidae,2422.48,2.42248,19.85,PanTHERIA_WR05
Lepus capensis,Lagomorpha,Leporidae,2047.11,2.04711,27.63,PanTHERIA_WR05
Lepus othus,Lagomorpha,Leporidae,4837.35,4.83735,48.99,PanTHERIA_WR05
Lepus townsendii,Lagomorpha,Leporidae,3371.64,3.37164,29.23,PanTHERIA_WR05
Liomys pictus,Rodentia,Heteromyidae,43.28,0.04328,25.9,PanTHERIA_WR05
Liomys salvini,Rodentia,Heteromyidae,41.99,0.04199,24.81,PanTHERIA_WR05
Lobodon carcinophaga,Carnivora,Phocidae,224999.99,224.99999,31.32,PanTHERIA_WR05
Lontra canadensis,Carnivora,Mustelidae,8087.42,8.08742,121.66,PanTHERIA_WR05
Lophiomys imhausi,Rodentia,Cricetidae,755,0.755,39.7,PanTHERIA_WR05
Lophocebus albigena,Primates,Cercopithecidae,7418.71,7.41871,211.71,PanTHERIA_WR05
Lophuromys flavopunctatus,Rodentia,Muridae,57.07,0.05707,42.72,PanTHERIA_WR05
Lophuromys sikapusi,Rodentia,Muridae,62.72,0.06272,13.67,PanTHERIA_WR05
Loris tardigradus,Primates,Lorisidae,249.22,0.24922,167.49,PanTHERIA_WR05
Loxodonta africana,Proboscidea,Elephantidae,3824539.9,3824.5399,1088.8,PanTHERIA_WR05
Lutra lutra,Carnivora,Mustelidae,8868.69,8.86869,100.8,PanTHERIA_WR05
Lutrogale perspicillata,Carnivora,Mustelidae,8912.49,8.91249,72.53,PanTHERIA_WR05
Lycalopex culpaeus,Carnivora,Canidae,8616.24,8.61624,48.22,PanTHERIA_WR05
Lycaon pictus,Carnivora,Canidae,21999.99,21.99999,27.28,PanTHERIA_WR05
Lynx canadensis,Carnivora,Felidae,9682.82,9.68282,111.36,PanTHERIA_WR05
Lynx lynx,Carnivora,Felidae,19300,19.3,81.85,PanTHERIA_WR05
Lynx rufus,Carnivora,Felidae,6374.47,6.37447,59.99,PanTHERIA_WR05
Macaca arctoides,Primates,Cercopithecidae,9358.04,9.35804,377.66,PanTHERIA_WR05
Macaca cyclopis,Primates,Cercopithecidae,5748.94,5.74894,205.24,PanTHERIA_WR05
Macaca fascicularis,Primates,Cercopithecidae,4569.32,4.56932,283.53,PanTHERIA_WR05
Macaca fuscata,Primates,Cercopithecidae,10114.76,10.11476,265.04,PanTHERIA_WR05
Macaca maura,Primates,Cercopithecidae,7290.3,7.2903,497.16,PanTHERIA_WR05
Macaca mulatta,Primates,Cercopithecidae,6455.19,6.45519,304.16,PanTHERIA_WR05
Macaca nemestrina,Primates,Cercopithecidae,7820.78,7.82078,292.6,PanTHERIA_WR05
Macaca nigra,Primates,Cercopithecidae,7359.39,7.35939,365,PanTHERIA_WR05
Macaca pagensis,Primates,Cercopithecidae,4534.66,4.53466,272.2,PanTHERIA_WR05
Macaca radiata,Primates,Cercopithecidae,4999.99,4.99999,332.25,PanTHERIA_WR05
Macaca silenus,Primates,Cercopithecidae,5995.25,5.99525,362.93,PanTHERIA_WR05
Macaca sylvanus,Primates,Cercopithecidae,11471.53,11.47153,210.25,PanTHERIA_WR05
Macaca thibetana,Primates,Cercopithecidae,10593.06,10.59306,451.79,PanTHERIA_WR05
Meriones hurrianae,Rodentia,Muridae,71.02,0.07102,19.85,PanTHERIA_WR05
Meriones libycus,Rodentia,Muridae,91.33,0.09133,30.18,PanTHERIA_WR05
Mesocricetus auratus,Rodentia,Cricetidae,98.6,0.0986,18.65,PanTHERIA_WR05
Mesocricetus brandti,Rodentia,Cricetidae,198,0.198,20,PanTHERIA_WR05
Mesoplodon bidens,Cetacea,Ziphiidae,3400000,3400,365,PanTHERIA_WR05
Macroglossus minimus,Chiroptera,Pteropodidae,16.3,0.0163,65,PanTHERIA_WR05
Macropus agilis,Diprotodontia,Macropodidae,11815.75,11.81575,321.74,PanTHERIA_WR05
Macropus antilopinus,Diprotodontia,Macropodidae,27250.1,27.2501,424.79,PanTHERIA_WR05
Macropus eugenii,Diprotodontia,Macropodidae,5278.48,5.27848,315,PanTHERIA_WR05
Macropus fuliginosus,Diprotodontia,Macropodidae,25564.7,25.5647,518.67,PanTHERIA_WR05
Macropus giganteus,Diprotodontia,Macropodidae,33409.89,33.40989,510.82,PanTHERIA_WR05
Macropus parma,Diprotodontia,Macropodidae,4156.62,4.15662,292.33,PanTHERIA_WR05
Macropus parryi,Diprotodontia,Macropodidae,12629.83,12.62983,443.42,PanTHERIA_WR05
Macropus robustus,Diprotodontia,Macropodidae,25978.92,25.97892,366.19,PanTHERIA_WR05
Macropus rufogriseus,Diprotodontia,Macropodidae,16850,16.85,426.22,PanTHERIA_WR05
Macropus rufus,Diprotodontia,Macropodidae,38968.39,38.96839,359.99,PanTHERIA_WR05
Macroscelides proboscideus,Macroscelidea,Macroscelididae,38.64,0.03864,4.99,PanTHERIA_WR05
Macrotis lagotis,Peramelemorphia,Thylacomyidae,1229.58,1.22958,93.73,PanTHERIA_WR05
Macrotus californicus,Chiroptera,Phyllostomidae,11.83,0.01183,35.51,PanTHERIA_WR05
Madoqua guentheri,Artiodactyla,Bovidae,4623.7,4.6237,74.25,PanTHERIA_WR05
Madoqua kirkii,Artiodactyla,Bovidae,4833.4,4.8334,42.58,PanTHERIA_WR05
Madoqua saltiana,Artiodactyla,Bovidae,3424.47,3.42447,41.99,PanTHERIA_WR05
Malacothrix typica,Rodentia,Nesomyidae,17.02,0.01702,31.81,PanTHERIA_WR05
Mammelomys lanosus,Rodentia,Muridae,117.1,0.1171,20,PanTHERIA_WR05
Mammelomys rattoides,Rodentia,Muridae,209.49,0.20949,20,PanTHERIA_WR05
Mandrillus leucophaeus,Primates,Cercopithecidae,14253.3,14.2533,486.66,PanTHERIA_WR05
Mandrillus sphinx,Primates,Cercopithecidae,16685.06,16.68506,348.01,PanTHERIA_WR05
Martes americana,Carnivora,Mustelidae,873.69,0.87369,45.73,PanTHERIA_WR05
Martes flavigula,Carnivora,Mustelidae,2504.64,2.50464,89.49,PanTHERIA_WR05
Martes foina,Carnivora,Mustelidae,1675,1.675,74.11,PanTHERIA_WR05
Martes gwatkinsii,Carnivora,Mustelidae,2038.49,2.03849,90.73,PanTHERIA_WR05
Martes martes,Carnivora,Mustelidae,1299.99,1.29999,54.19,PanTHERIA_WR05
Martes pennanti,Carnivora,Mustelidae,3750,3.75,76.76,PanTHERIA_WR05
Martes zibellina,Carnivora,Mustelidae,1173.91,1.17391,52.23,PanTHERIA_WR05
Mastacomys fuscus,Rodentia,Muridae,125.72,0.12572,43.54,PanTHERIA_WR05
Mastomys natalensis,Rodentia,Muridae,41.85,0.04185,20,PanTHERIA_WR05
Megaderma lyra,Chiroptera,Megadermatidae,39.27,0.03927,44.58,PanTHERIA_WR05
Megaderma spasma,Chiroptera,Megadermatidae,24.71,0.02471,31.5,PanTHERIA_WR05
Megadontomys thomasi,Rodentia,Cricetidae,110.52,0.11052,29.88,PanTHERIA_WR05
Melomys cervinipes,Rodentia,Muridae,71.2,0.0712,38.47,PanTHERIA_WR05
Melomys leucogaster,Rodentia,Muridae,104.17,0.10417,20,PanTHERIA_WR05
Melomys rufescens,Rodentia,Muridae,60.1,0.0601,20,PanTHERIA_WR05
Melursus ursinus,Carnivora,Ursidae,99999.99,99.99999,194.67,PanTHERIA_WR05
Mephitis mephitis,Carnivora,Mephitidae,2399.99,2.39999,55.15,PanTHERIA_WR05
Meriones crassus,Rodentia,Muridae,69.94,0.06994,30.24,PanTHERIA_WR05
Microtus montanus,Rodentia,Cricetidae,42.85,0.04285,15,PanTHERIA_WR05
Microtus montebelli,Rodentia,Cricetidae,29.49,0.02949,17.25,PanTHERIA_WR05
Microtus ochrogaster,Rodentia,Cricetidae,42.5,0.0425,21,PanTHERIA_WR05
Microtus oeconomus,Rodentia,Cricetidae,33.1,0.0331,20,PanTHERIA_WR05
Microtus oregoni,Rodentia,Cricetidae,20.35,0.02035,13.91,PanTHERIA_WR05
Microtus pennsylvanicus,Rodentia,Cricetidae,42.53,0.04253,12.92,PanTHERIA_WR05
Microtus pinetorum,Rodentia,Cricetidae,25.95,0.02595,20.08,PanTHERIA_WR05
Microtus socialis,Rodentia,Cricetidae,48,0.048,24.11,PanTHERIA_WR05
Microtus subterraneus,Rodentia,Cricetidae,17.74,0.01774,23.23,PanTHERIA_WR05
Microtus townsendii,Rodentia,Cricetidae,52.02,0.05202,15.44,PanTHERIA_WR05
Microtus xanthognathus,Rodentia,Cricetidae,92.65,0.09265,30.41,PanTHERIA_WR05
Miniopterus natalensis,Chiroptera,Vespertilionidae,10.43,0.01043,58.59,PanTHERIA_WR05
Miniopterus schreibersii,Chiroptera,Vespertilionidae,11.46,0.01146,60.19,PanTHERIA_WR05
Micaelamys namaquensis,Rodentia,Muridae,57.1,0.0571,27.5,PanTHERIA_WR05
Microcavia australis,Rodentia,Caviidae,261.49,0.26149,20.86,PanTHERIA_WR05
Microcavia niata,Rodentia,Caviidae,254.67,0.25467,20.88,PanTHERIA_WR05
Microcavia shiptoni,Rodentia,Caviidae,185,0.185,20.88,PanTHERIA_WR05
Microcebus murinus,Primates,Cheirogaleidae,69,0.069,40.45,PanTHERIA_WR05
Microcebus rufus,Primates,Cheirogaleidae,48.39,0.04839,40,PanTHERIA_WR05
Microgale dobsoni,Afrosoricida,Tenrecidae,36.66,0.03666,27.87,PanTHERIA_WR05
Microgale talazaci,Afrosoricida,Tenrecidae,43.07,0.04307,29.38,PanTHERIA_WR05
Micromys minutus,Rodentia,Muridae,6.99,0.00699,15,PanTHERIA_WR05
Micropteropus pusillus,Chiroptera,Pteropodidae,25.38,0.02538,55.18,PanTHERIA_WR05
Microtus abbreviatus,Rodentia,Cricetidae,66.06,0.06606,14.88,PanTHERIA_WR05
Microtus agrestis,Rodentia,Cricetidae,35.87,0.03587,13.9,PanTHERIA_WR05
Microtus arvalis,Rodentia,Cricetidae,26.9,0.0269,17.18,PanTHERIA_WR05
Microtus californicus,Rodentia,Cricetidae,57.42,0.05742,17.36,PanTHERIA_WR05
Microtus canicaudus,Rodentia,Cricetidae,29.93,0.02993,18,PanTHERIA_WR05
Myotis sodalis,Chiroptera,Vespertilionidae,7.15,0.00715,46.07,PanTHERIA_WR05
Myotis thysanodes,Chiroptera,Vespertilionidae,8.49,0.00849,22.69,PanTHERIA_WR05
Myotis tricolor,Chiroptera,Vespertilionidae,13.67,0.01367,41.88,PanTHERIA_WR05
Myotis velifer,Chiroptera,Vespertilionidae,9.82,0.00982,43,PanTHERIA_WR05
Myotomys sloggetti,Rodentia,Muridae,106.25,0.10625,16,PanTHERIA_WR05
Myotomys unisulcatus,Rodentia,Muridae,102.5,0.1025,13.92,PanTHERIA_WR05
Myrmecobius fasciatus,Dasyuromorphia,Myrmecobiidae,511.44,0.51144,269.23,PanTHERIA_WR05
Myrmecophaga tridactyla,Pilosa,Myrmecophagidae,29531.83,29.53183,79.96,PanTHERIA_WR05
Mystromys albicaudatus,Rodentia,Nesomyidae,86.85,0.08685,32,PanTHERIA_WR05
Naemorhedus goral,Artiodactyla,Bovidae,28796.51,28.79651,59.27,PanTHERIA_WR05
Nandinia binotata,Carnivora,Nandiniidae,2167.2,2.1672,63.81,PanTHERIA_WR05
Microtus guentheri,Rodentia,Cricetidae,49.99,0.04999,18.49,PanTHERIA_WR05
Mus minutoides,Rodentia,Muridae,6.43,0.00643,20.19,PanTHERIA_WR05
Mus musculoides,Rodentia,Muridae,8.23,0.00823,23.82,PanTHERIA_WR05
Mus musculus,Rodentia,Muridae,19.3,0.0193,21.5,PanTHERIA_WR05
Mus triton,Rodentia,Muridae,12.62,0.01262,27.5,PanTHERIA_WR05
Muscardinus avellanarius,Rodentia,Gliridae,29.19,0.02919,37.61,PanTHERIA_WR05
Mustela altaica,Carnivora,Mustelidae,180.24,0.18024,56,PanTHERIA_WR05
Mustela erminea,Carnivora,Mustelidae,284.5,0.2845,60.93,PanTHERIA_WR05
Mustela eversmanii,Carnivora,Mustelidae,1684.21,1.68421,48.8,PanTHERIA_WR05
Mustela frenata,Carnivora,Mustelidae,190.03,0.19003,34.23,PanTHERIA_WR05
Mustela lutreola,Carnivora,Mustelidae,566.44,0.56644,58.71,PanTHERIA_WR05
Mustela nigripes,Carnivora,Mustelidae,907.1,0.9071,59.66,PanTHERIA_WR05
Mustela nivalis,Carnivora,Mustelidae,78.45,0.07845,36.74,PanTHERIA_WR05
Mustela putorius,Carnivora,Mustelidae,975.55,0.97555,54.39,PanTHERIA_WR05
Mustela sibirica,Carnivora,Mustelidae,530.85,0.53085,58.2,PanTHERIA_WR05
Myocastor coypus,Rodentia,Myocastoridae,6361.55,6.36155,52.83,PanTHERIA_WR05
Myodes gapperi,Rodentia,Cricetidae,19.83,0.01983,30.87,PanTHERIA_WR05
Myodes glareolus,Rodentia,Cricetidae,20.73,0.02073,19.73,PanTHERIA_WR05
Myodes smithii,Rodentia,Cricetidae,34.94,0.03494,27.34,PanTHERIA_WR05
Myoprocta acouchy,Rodentia,Dasyproctidae,954.87,0.95487,26.19,PanTHERIA_WR05
Myoprocta pratti,Rodentia,Dasyproctidae,966.73,0.96673,48.63,PanTHERIA_WR05
Myopus schisticolor,Rodentia,Cricetidae,29.99,0.02999,19.86,PanTHERIA_WR05
Myosorex varius,Soricomorpha,Soricidae,11.68,0.01168,21,PanTHERIA_WR05
Myotis adversus,Chiroptera,Vespertilionidae,10.41,0.01041,56.28,PanTHERIA_WR05
Myotis albescens,Chiroptera,Vespertilionidae,5.69,0.00569,30.2,PanTHERIA_WR05
Myotis austroriparius,Chiroptera,Vespertilionidae,7.35,0.00735,46.8,PanTHERIA_WR05
Myotis californicus,Chiroptera,Vespertilionidae,4.39,0.00439,89.79,PanTHERIA_WR05
Myotis daubentonii,Chiroptera,Vespertilionidae,7.63,0.00763,35.33,PanTHERIA_WR05
Myotis emarginatus,Chiroptera,Vespertilionidae,7.56,0.00756,41.61,PanTHERIA_WR05
Myotis grisescens,Chiroptera,Vespertilionidae,10.84,0.01084,42.35,PanTHERIA_WR05
Myotis keenii,Chiroptera,Vespertilionidae,6.51,0.00651,38.93,PanTHERIA_WR05
Myotis lucifugus,Chiroptera,Vespertilionidae,7.8,0.0078,26,PanTHERIA_WR05
Myotis myotis,Chiroptera,Vespertilionidae,25.59,0.02559,41.99,PanTHERIA_WR05
Myotis nattereri,Chiroptera,Vespertilionidae,7.25,0.00725,60.41,PanTHERIA_WR05
Napaeozapus insignis,Rodentia,Dipodidae,22.25,0.02225,34.99,PanTHERIA_WR05
Nasalis larvatus,Primates,Cercopithecidae,12265.65,12.26565,211.75,PanTHERIA_WR05
Nasua narica,Carnivora,Procyonidae,4578.43,4.57843,132.63,PanTHERIA_WR05
Nasua nasua,Carnivora,Procyonidae,3775.5,3.7755,113.15,PanTHERIA_WR05
Natalus stramineus,Chiroptera,Natalidae,5.68,0.00568,50.53,PanTHERIA_WR05
Neofelis nebulosa,Carnivora,Felidae,14945.05,14.94505,111.67,PanTHERIA_WR05
Neofiber alleni,Rodentia,Cricetidae,265.38,0.26538,20.92,PanTHERIA_WR05
Neomys anomalus,Soricomorpha,Soricidae,13.19,0.01319,27.84,PanTHERIA_WR05
Neomys fodiens,Soricomorpha,Soricidae,15.26,0.01526,35.34,PanTHERIA_WR05
Neophoca cinerea,Carnivora,Otariidae,189274.99,189.27499,542.19,PanTHERIA_WR05
Neophocaena phocaenoides,Cetacea,Phocoenidae,32500,32.5,319.37,PanTHERIA_WR05
Neotoma albigula,Rodentia,Cricetidae,208.18,0.20818,33.5,PanTHERIA_WR05
Neotoma cinerea,Rodentia,Cricetidae,285.89,0.28589,26.35,PanTHERIA_WR05
Neotoma floridana,Rodentia,Cricetidae,249.16,0.24916,37.31,PanTHERIA_WR05
Neotoma fuscipes,Rodentia,Cricetidae,213.26,0.21326,27.49,PanTHERIA_WR05
Neotoma lepida,Rodentia,Cricetidae,143.88,0.14388,33.24,PanTHERIA_WR05
Neotoma magister,Rodentia,Cricetidae,447,0.447,25.8,PanTHERIA_WR05
Ochotona alpina,Lagomorpha,Ochotonidae,150,0.15,21,PanTHERIA_WR05
Ochotona cansus,Lagomorpha,Ochotonidae,68.75,0.06875,18,PanTHERIA_WR05
Ochotona princeps,Lagomorpha,Ochotonidae,157.63,0.15763,26.45,PanTHERIA_WR05
Ochotona pusilla,Lagomorpha,Ochotonidae,142.5,0.1425,21,PanTHERIA_WR05
Ochotona roylei,Lagomorpha,Ochotonidae,260,0.26,21,PanTHERIA_WR05
Oenomys hypoxanthus,Rodentia,Muridae,89.84,0.08984,30,PanTHERIA_WR05
Okapia johnstoni,Artiodactyla,Giraffidae,230001.14,230.00114,181.46,PanTHERIA_WR05
Oligoryzomys nigripes,Rodentia,Cricetidae,20.33,0.02033,14.44,PanTHERIA_WR05
Ommatophoca rossii,Carnivora,Phocidae,208252.12,208.25212,27.84,PanTHERIA_WR05
Ondatra zibethicus,Rodentia,Cricetidae,991.31,0.99131,27.84,PanTHERIA_WR05
Onychogalea fraenata,Diprotodontia,Macropodidae,4952.05,4.95205,164.53,PanTHERIA_WR05
Oryzomys palustris,Rodentia,Cricetidae,53.26,0.05326,11.44,PanTHERIA_WR05
Neotoma micropus,Rodentia,Cricetidae,255.14,0.25514,29.83,PanTHERIA_WR05
Neotoma stephensi,Rodentia,Cricetidae,149.22,0.14922,36.6,PanTHERIA_WR05
Ningaui ridei,Dasyuromorphia,Dasyuridae,9.42,0.00942,90.74,PanTHERIA_WR05
Noctilio albiventris,Chiroptera,Noctilionidae,31.46,0.03146,77.56,PanTHERIA_WR05
Nomascus concolor,Primates,Hylobatidae,6410.47,6.41047,635.13,PanTHERIA_WR05
Notiosorex crawfordi,Soricomorpha,Soricidae,4.79,0.00479,39.7,PanTHERIA_WR05
Notomys alexis,Rodentia,Muridae,32.34,0.03234,30,PanTHERIA_WR05
Notomys cervinus,Rodentia,Muridae,34.79,0.03479,32.62,PanTHERIA_WR05
Notomys fuscus,Rodentia,Muridae,39.28,0.03928,30,PanTHERIA_WR05
Notomys mitchellii,Rodentia,Muridae,42.8,0.0428,30.2,PanTHERIA_WR05
Nyctalus lasiopterus,Chiroptera,Vespertilionidae,45.98,0.04598,59.44,PanTHERIA_WR05
Nyctalus noctula,Chiroptera,Vespertilionidae,28.48,0.02848,47.89,PanTHERIA_WR05
Nyctereutes procyonoides,Carnivora,Canidae,4214.99,4.21499,49.69,PanTHERIA_WR05
Nycteris arge,Chiroptera,Nycteridae,10.79,0.01079,58.26,PanTHERIA_WR05
Nycteris macrotis,Chiroptera,Nycteridae,14.49,0.01449,60.41,PanTHERIA_WR05
Nycteris nana,Chiroptera,Nycteridae,6.98,0.00698,52.5,PanTHERIA_WR05
Nycteris thebaica,Chiroptera,Nycteridae,9.2,0.0092,60.83,PanTHERIA_WR05
Nycticebus coucang,Primates,Lorisidae,924.55,0.92455,181.21,PanTHERIA_WR05
Nycticeius humeralis,Chiroptera,Vespertilionidae,9.12,0.00912,28.28,PanTHERIA_WR05
Nyctimene rabori,Chiroptera,Pteropodidae,68.25,0.06825,105,PanTHERIA_WR05
Nyctomys sumichrasti,Rodentia,Cricetidae,59.99,0.05999,24.85,PanTHERIA_WR05
Nyctophilus gouldi,Chiroptera,Vespertilionidae,11.32,0.01132,44.34,PanTHERIA_WR05
Ochotona rufescens,Lagomorpha,Ochotonidae,250,0.25,19.09,PanTHERIA_WR05
Ochrotomys nuttalli,Rodentia,Cricetidae,22.81,0.02281,20.84,PanTHERIA_WR05
Octodon degus,Rodentia,Octodontidae,203.27,0.20327,31.12,PanTHERIA_WR05
Odobenus rosmarus,Carnivora,Odobenidae,1042996.2,1042.9962,591.36,PanTHERIA_WR05
Odocoileus hemionus,Artiodactyla,Cervidae,84560.57,84.56057,73.49,PanTHERIA_WR05
Odocoileus virginianus,Artiodactyla,Cervidae,75901.25,75.90125,79.92,PanTHERIA_WR05
Onychomys leucogaster,Rodentia,Cricetidae,27.92,0.02792,22.82,PanTHERIA_WR05
Onychomys torridus,Rodentia,Cricetidae,21.68,0.02168,19.86,PanTHERIA_WR05
Orcinus orca,Cetacea,Delphinidae,5628758.7,5628.7587,415.76,PanTHERIA_WR05
Oreamnos americanus,Artiodactyla,Bovidae,72105.4,72.1054,84.86,PanTHERIA_WR05
Oreotragus oreotragus,Artiodactyla,Bovidae,13486.55,13.48655,136.87,PanTHERIA_WR05
Ornithorhynchus anatinus,Monotremata,Ornithorhynchidae,1484.25,1.48425,120.97,PanTHERIA_WR05
Orycteropus afer,Tubulidentata,Orycteropodidae,56175.2,56.1752,40.92,PanTHERIA_WR05
Oryctolagus cuniculus,Lagomorpha,Leporidae,1590.57,1.59057,26.3,PanTHERIA_WR05
Oryx leucoryx,Artiodactyla,Bovidae,75788.24,75.78824,58.46,PanTHERIA_WR05
Oryzomys subflavus,Rodentia,Cricetidae,49.91,0.04991,28,PanTHERIA_WR05
Otaria flavescens,Carnivora,Otariidae,193670.53,193.67053,363.96,PanTHERIA_WR05
Otocyon megalotis,Carnivora,Canidae,4098.12,4.09812,42.46,PanTHERIA_WR05
Otolemur crassicaudatus,Primates,Galagidae,1206.61,1.20661,124.62,PanTHERIA_WR05
Otolemur garnettii,Primates,Galagidae,811.17,0.81117,139.2,PanTHERIA_WR05
Otomys angoniensis,Rodentia,Muridae,100.64,0.10064,15.9,PanTHERIA_WR05
Otomys irroratus,Rodentia,Muridae,114.45,0.11445,12.96,PanTHERIA_WR05
Ototylomys phyllotis,Rodentia,Cricetidae,86.94,0.08694,67.72,PanTHERIA_WR05
Ourebia ourebi,Artiodactyla,Bovidae,17186.09,17.18609,136.87,PanTHERIA_WR05
Ovibos moschatus,Artiodactyla,Bovidae,312500,312.5,254.48,PanTHERIA_WR05
Ovis ammon,Artiodactyla,Bovidae,113998.72,113.99872,76.61,PanTHERIA_WR05
Ovis aries,Artiodactyla,Bovidae,39097.89,39.09789,182.5,PanTHERIA_WR05
Ovis canadensis,Artiodactyla,Bovidae,74644.87,74.64487,130.8,PanTHERIA_WR05
Ovis dalli,Artiodactyla,Bovidae,70194.13,70.19413,121.66,PanTHERIA_WR05
Oxymycterus rufus,Rodentia,Cricetidae,82.01,0.08201,13.94,PanTHERIA_WR05
Ozotoceros bezoarticus,Artiodactyla,Cervidae,34620.4,34.6204,362.93,PanTHERIA_WR05
