species,order,family,mass_g,mass_kg,weaning_days,source
Taxidea taxus,Carnivora,Mustelidae,7842.15,7.84215,41.99,PanTHERIA_WR05
Tayassu pecari,Artiodactyla,Tayassuidae,31798.71,31.79871,13.64,PanTHERIA_WR05
Tenrec ecaudatus,Afrosoricida,Tenrecidae,887.59,0.88759,21.87,PanTHERIA_WR05
Thallomys paedulcus,Rodentia,Muridae,77.7,0.0777,29.49,PanTHERIA_WR05
Theropithecus gelada,Primates,Cercopithecidae,15964.11,15.96411,494.95,PanTHERIA_WR05
Thomomys bottae,Rodentia,Geomyidae,122.7,0.1227,35.73,PanTHERIA_WR05
Thomomys bulbivorus,Rodentia,Geomyidae,359.9,0.3599,41.45,PanTHERIA_WR05
Thomomys talpoides,Rodentia,Geomyidae,104.64,0.10464,33.12,PanTHERIA_WR05
Thrichomys apereoides,Rodentia,Echimyidae,297.53,0.29753,34.16,PanTHERIA_WR05
Thryonomys swinderianus,Rodentia,Thryonomyidae,3750.85,3.75085,25.17,PanTHERIA_WR05
Thylogale billardierii,Diprotodontia,Macropodidae,5865.86,5.86586,289.17,PanTHERIA_WR05
Thylogale stigmatica,Diprotodontia,Macropodidae,4511.47,4.51147,250,PanTHERIA_WR05
Thylogale thetis,Diprotodontia,Macropodidae,5399.95,5.39995,209.4,PanTHERIA_WR05
Tolypeutes matacus,Cingulata,Dasypodidae,1303.47,1.30347,71.79,PanTHERIA_WR05
Trachypithecus cristatus,Primates,Cercopithecidae,7176.81,7.17681,362.93,PanTHERIA_WR05
Trachypithecus francoisi,Primates,Cercopithecidae,8139.93,8.13993,391.76,PanTHERIA_WR05
Trachypithecus obscurus,Primates,Cercopithecidae,7247.88,7.24788,362.93,PanTHERIA_WR05
Trachypithecus phayrei,Primates,Cercopithecidae,7681.72,7.68172,305.87,PanTHERIA_WR05
Trachypithecus vetulus,Primates,Cercopithecidae,7205.08,7.20508,245.78,PanTHERIA_WR05
Tragelaphus angasii,Artiodactyla,Bovidae,87616.76,87.61676,212.91,PanTHERIA_WR05
Tscherskia triton,Rodentia,Cricetidae,25,0.025,29.23,PanTHERIA_WR05
Tupaia glis,Scandentia,Tupaiidae,132.43,0.13243,34.27,PanTHERIA_WR05
Tupaia montana,Scandentia,Tupaiidae,168.05,0.16805,27.84,PanTHERIA_WR05
Tupaia tana,Scandentia,Tupaiidae,182.33,0.18233,54.56,PanTHERIA_WR05
Tursiops truncatus,Cetacea,Delphinidae,281040.55,281.04055,544.4,PanTHERIA_WR05
Tylomys nudicaudus,Rodentia,Cricetidae,181.65,0.18165,26.29,PanTHERIA_WR05
Tylonycteris pachypus,Chiroptera,Vespertilionidae,4.1,0.0041,58.46,PanTHERIA_WR05
Uncia uncia,Carnivora,Felidae,32500,32.5,101.42,PanTHERIA_WR05
Urocyon cinereoargenteus,Carnivora,Canidae,3833.71,3.83371,63.79,PanTHERIA_WR05
Uroderma bilobatum,Chiroptera,Phyllostomidae,16.28,0.01628,40.58,PanTHERIA_WR05
Urogale everetti,Scandentia,Tupaiidae,300.79,0.30079,30.24,PanTHERIA_WR05
Uromys caudimaculatus,Rodentia,Muridae,644.42,0.64442,40,PanTHERIA_WR05
Uromys hadrourus,Rodentia,Muridae,149.11,0.14911,18.6,PanTHERIA_WR05
Urotrichus talpoides,Soricomorpha,Talpidae,18.2,0.0182,27.79,PanTHERIA_WR05
