species,order,family,mass_g,mass_kg,pop_density_per_km2,source
Macaca ochreata,Primates,Cercopithecidae,2745.5,2.7455,15,PanTHERIA_WR05
Macaca radiata,Primates,Cercopithecidae,4999.99,4.99999,8.3,PanTHERIA_WR05
Macaca silenus,Primates,Cercopithecidae,5995.25,5.99525,1.01,PanTHERIA_WR05
Macaca sinica,Primates,Cercopithecidae,4655.99,4.65599,30,PanTHERIA_WR05
Macaca sylvanus,Primates,Cercopithecidae,11471.53,11.47153,12.5,PanTHERIA_WR05
Macaca tonkeana,Primates,Cercopithecidae,10035.53,10.03553,10,PanTHERIA_WR05
Macropus agilis,Diprotodontia,Macropodidae,11815.75,11.81575,17.71,PanTHERIA_WR05
Macropus antilopinus,Diprotodontia,Macropodidae,27250.1,27.2501,21.21,PanTHERIA_WR05
Macropus dorsalis,Diprotodontia,Macropodidae,11249.96,11.24996,110,PanTHERIA_WR05
Macropus eugenii,Diprotodontia,Macropodidae,5278.48,5.27848,73.86,PanTHERIA_WR05
Macropus fuliginosus,Diprotodontia,Macropodidae,25564.7,25.5647,56,PanTHERIA_WR05
Macropus giganteus,Diprotodontia,Macropodidae,33409.89,33.40989,41.95,PanTHERIA_WR05
Macropus irma,Diprotodontia,Macropodidae,8000,8,26.7,PanTHERIA_WR05
Macropus parryi,Diprotodontia,Macropodidae,12629.83,12.62983,40.29,PanTHERIA_WR05
Macropus robustus,Diprotodontia,Macropodidae,25978.92,25.97892,40,PanTHERIA_WR05
Macropus rufogriseus,Diprotodontia,Macropodidae,16850,16.85,46.47,PanTHERIA_WR05
Macropus rufus,Diprotodontia,Macropodidae,38968.39,38.96839,3.14,PanTHERIA_WR05
Macrotis lagotis,Peramelemorphia,Thylacomyidae,1229.58,1.22958,8,PanTHERIA_WR05
Madoqua guentheri,Artiodactyla,Bovidae,4623.7,4.6237,14.01,PanTHERIA_WR05
Madoqua kirkii,Artiodactyla,Bovidae,4833.4,4.8334,19,PanTHERIA_WR05
Makalata didelphoides,Rodentia,Echimyidae,398.66,0.39866,155.01,PanTHERIA_WR05
Malacomys edwardsi,Rodentia,Muridae,63.78,0.06378,155.03,PanTHERIA_WR05
Mandrillus sphinx,Primates,Cercopithecidae,16685.06,16.68506,21.4,PanTHERIA_WR05
Martes americana,Carnivora,Mustelidae,873.69,0.87369,0.67,PanTHERIA_WR05
Martes martes,Carnivora,Mustelidae,1299.99,1.29999,0.44,PanTHERIA_WR05
Martes pennanti,Carnivora,Mustelidae,3750,3.75,0.17,PanTHERIA_WR05
Martes zibellina,Carnivora,Mustelidae,1173.91,1.17391,0.07,PanTHERIA_WR05
Mastomys erythroleucus,Rodentia,Muridae,64.07,0.06407,775.93,PanTHERIA_WR05
Mastomys natalensis,Rodentia,Muridae,41.85,0.04185,1305.24,PanTHERIA_WR05
Maxomys whiteheadi,Rodentia,Muridae,54.33,0.05433,44.28,PanTHERIA_WR05
Mazama americana,Artiodactyla,Cervidae,20546.86,20.54686,9.3,PanTHERIA_WR05
Mazama gouazoubira,Artiodactyla,Cervidae,16633.17,16.63317,9.21,PanTHERIA_WR05
Melomys cervinipes,Rodentia,Muridae,71.2,0.0712,590.81,PanTHERIA_WR05
Melursus ursinus,Carnivora,Ursidae,99999.99,99.99999,0.13,PanTHERIA_WR05
Mephitis mephitis,Carnivora,Mephitidae,2399.99,2.39999,8.15,PanTHERIA_WR05
Microtus mexicanus,Rodentia,Cricetidae,34.88,0.03488,1483.67,PanTHERIA_WR05
Microtus montanus,Rodentia,Cricetidae,42.85,0.04285,3160,PanTHERIA_WR05
Microtus ochrogaster,Rodentia,Cricetidae,42.5,0.0425,8990.59,PanTHERIA_WR05
Microtus oeconomus,Rodentia,Cricetidae,33.1,0.0331,3985.97,PanTHERIA_WR05
Microtus oregoni,Rodentia,Cricetidae,20.35,0.02035,551.7,PanTHERIA_WR05
Microtus pennsylvanicus,Rodentia,Cricetidae,42.53,0.04253,2537.98,PanTHERIA_WR05
Microtus pinetorum,Rodentia,Cricetidae,25.95,0.02595,1460,PanTHERIA_WR05
Microtus richardsoni,Rodentia,Cricetidae,85.5,0.0855,620,PanTHERIA_WR05
Microtus townsendii,Rodentia,Cricetidae,52.02,0.05202,34348.94,PanTHERIA_WR05
Microtus xanthognathus,Rodentia,Cricetidae,92.65,0.09265,1000,PanTHERIA_WR05
Muntiacus muntjak,Artiodactyla,Cervidae,17611.59,17.61159,3.12,PanTHERIA_WR05
Muntiacus reevesi,Artiodactyla,Cervidae,13499.94,13.49994,0.67,PanTHERIA_WR05
Murexechinus melanurus,Dasyuromorphia,Dasyuridae,38.02,0.03802,150,PanTHERIA_WR05
Necromys urichi,Rodentia,Cricetidae,44.84,0.04484,304.58,PanTHERIA_WR05
Nectomys squamipes,Rodentia,Cricetidae,184.98,0.18498,212.58,PanTHERIA_WR05
Metachirus nudicaudatus,Didelphimorphia,Didelphidae,363.77,0.36377,25.59,PanTHERIA_WR05
Micaelamys namaquensis,Rodentia,Muridae,57.1,0.0571,1378.9,PanTHERIA_WR05
Micoureus demerarae,Didelphimorphia,Didelphidae,102.28,0.10228,26.38,PanTHERIA_WR05
Micoureus paraguayanus,Didelphimorphia,Didelphidae,112.43,0.11243,30.82,PanTHERIA_WR05
Microcavia australis,Rodentia,Caviidae,261.49,0.26149,2116.99,PanTHERIA_WR05
Microcebus murinus,Primates,Cheirogaleidae,69,0.069,461,PanTHERIA_WR05
Microcebus rufus,Primates,Cheirogaleidae,48.39,0.04839,167.8,PanTHERIA_WR05
Microtus agrestis,Rodentia,Cricetidae,35.87,0.03587,1948.7,PanTHERIA_WR05
Microtus arvalis,Rodentia,Cricetidae,26.9,0.0269,17600,PanTHERIA_WR05
Microtus californicus,Rodentia,Cricetidae,57.42,0.05742,13127.21,PanTHERIA_WR05
Myrmecobius fasciatus,Dasyuromorphia,Myrmecobiidae,511.44,0.51144,5.3,PanTHERIA_WR05
Myrmecophaga tridactyla,Pilosa,Myrmecophagidae,29531.83,29.53183,1.1,PanTHERIA_WR05
Nandinia binotata,Carnivora,Nandiniidae,2167.2,2.1672,4.99,PanTHERIA_WR05
Microtus longicaudus,Rodentia,Cricetidae,44.8,0.0448,1200,PanTHERIA_WR05
Mus bufo,Rodentia,Muridae,8.88,0.00888,336.59,PanTHERIA_WR05
Mus minutoides,Rodentia,Muridae,6.43,0.00643,92.09,PanTHERIA_WR05
Mus musculoides,Rodentia,Muridae,8.23,0.00823,619.15,PanTHERIA_WR05
Mus musculus,Rodentia,Muridae,19.3,0.0193,4981.53,PanTHERIA_WR05
Mus triton,Rodentia,Muridae,12.62,0.01262,814.02,PanTHERIA_WR05
Mustela erminea,Carnivora,Mustelidae,284.5,0.2845,6.25,PanTHERIA_WR05
Mustela frenata,Carnivora,Mustelidae,190.03,0.19003,0.76,PanTHERIA_WR05
Mustela lutreola,Carnivora,Mustelidae,566.44,0.56644,0.07,PanTHERIA_WR05
Mustela nigripes,Carnivora,Mustelidae,907.1,0.9071,2,PanTHERIA_WR05
Mustela nivalis,Carnivora,Mustelidae,78.45,0.07845,12.89,PanTHERIA_WR05
Mustela putorius,Carnivora,Mustelidae,975.55,0.97555,0.83,PanTHERIA_WR05
Mylomys dybowskii,Rodentia,Muridae,110.96,0.11096,167.41,PanTHERIA_WR05
Myocastor coypus,Rodentia,Myocastoridae,6361.55,6.36155,226.26,PanTHERIA_WR05
Myodes californicus,Rodentia,Cricetidae,18.3,0.0183,434.02,PanTHERIA_WR05
Myodes gapperi,Rodentia,Cricetidae,19.83,0.01983,1186.41,PanTHERIA_WR05
Myodes glareolus,Rodentia,Cricetidae,20.73,0.02073,3704.05,PanTHERIA_WR05
Myodes rutilus,Rodentia,Cricetidae,19.94,0.01994,4074.55,PanTHERIA_WR05
Myodes smithii,Rodentia,Cricetidae,34.94,0.03494,1426.09,PanTHERIA_WR05
Myomyscus verreauxii,Rodentia,Muridae,41,0.041,4016.24,PanTHERIA_WR05
Myoprocta acouchy,Rodentia,Dasyproctidae,954.87,0.95487,7.61,PanTHERIA_WR05
Myoprocta pratti,Rodentia,Dasyproctidae,966.73,0.96673,4.69,PanTHERIA_WR05
Myosorex varius,Soricomorpha,Soricidae,11.68,0.01168,1693.63,PanTHERIA_WR05
Nanger dama,Artiodactyla,Bovidae,71424.81,71.42481,0.18,PanTHERIA_WR05
Nanger granti,Artiodactyla,Bovidae,55464.46,55.46446,3.92,PanTHERIA_WR05
Nanger soemmerringii,Artiodactyla,Bovidae,41582.93,41.58293,5.47,PanTHERIA_WR05
Napaeozapus insignis,Rodentia,Dipodidae,22.25,0.02225,667.18,PanTHERIA_WR05
Nasalis larvatus,Primates,Cercopithecidae,12265.65,12.26565,8.99,PanTHERIA_WR05
Nasua narica,Carnivora,Procyonidae,4578.43,4.57843,6.07,PanTHERIA_WR05
Nasua nasua,Carnivora,Procyonidae,3775.5,3.7755,15.42,PanTHERIA_WR05
Neacomys guianae,Rodentia,Cricetidae,15.87,0.01587,27.45,PanTHERIA_WR05
Neacomys tenuipes,Rodentia,Cricetidae,19,0.019,273.07,PanTHERIA_WR05
Necromys amoenus,Rodentia,Cricetidae,27.09,0.02709,1789.26,PanTHERIA_WR05
Neofiber alleni,Rodentia,Cricetidae,265.38,0.26538,14515.71,PanTHERIA_WR05
Neomys fodiens,Soricomorpha,Soricidae,15.26,0.01526,320,PanTHERIA_WR05
Neotoma albigula,Rodentia,Cricetidae,208.18,0.20818,610.11,PanTHERIA_WR05
Neotoma bryanti,Rodentia,Cricetidae,182,0.182,230.92,PanTHERIA_WR05
Neotoma floridana,Rodentia,Cricetidae,249.16,0.24916,273.98,PanTHERIA_WR05
Neotoma fuscipes,Rodentia,Cricetidae,213.26,0.21326,1700,PanTHERIA_WR05
Neotoma lepida,Rodentia,Cricetidae,143.88,0.14388,674.58,PanTHERIA_WR05
Neotoma mexicana,Rodentia,Cricetidae,203,0.203,132.62,PanTHERIA_WR05
Ochotona alpina,Lagomorpha,Ochotonidae,150,0.15,812.4,PanTHERIA_WR05
Ochotona collaris,Lagomorpha,Ochotonidae,129,0.129,733.17,PanTHERIA_WR05
Ochotona curzoniae,Lagomorpha,Ochotonidae,159.47,0.15947,19000,PanTHERIA_WR05
Ochotona dauurica,Lagomorpha,Ochotonidae,131.01,0.13101,5490.9,PanTHERIA_WR05
Ochotona hyperborea,Lagomorpha,Ochotonidae,120,0.12,3376.38,PanTHERIA_WR05
Ochotona macrotis,Lagomorpha,Ochotonidae,204.75,0.20475,1200,PanTHERIA_WR05
Ochotona princeps,Lagomorpha,Ochotonidae,157.63,0.15763,774.59,PanTHERIA_WR05
Ochotona pusilla,Lagomorpha,Ochotonidae,142.5,0.1425,3279.99,PanTHERIA_WR05
Ochotona roylei,Lagomorpha,Ochotonidae,260,0.26,1172.6,PanTHERIA_WR05
Pelea capreolus,Artiodactyla,Bovidae,22731.33,22.73133,18.71,PanTHERIA_WR05
Pelomys fallax,Rodentia,Muridae,120.46,0.12046,983.2,PanTHERIA_WR05
Oecomys concolor,Rodentia,Cricetidae,46.33,0.04633,135.08,PanTHERIA_WR05
Oenomys hypoxanthus,Rodentia,Muridae,89.84,0.08984,3737.96,PanTHERIA_WR05
Okapia johnstoni,Artiodactyla,Giraffidae,230001.14,230.00114,1.02,PanTHERIA_WR05
Oligoryzomys eliurus,Rodentia,Cricetidae,34.58,0.03458,930.06,PanTHERIA_WR05
Oligoryzomys longicaudatus,Rodentia,Cricetidae,27.54,0.02754,361.16,PanTHERIA_WR05
Oligoryzomys nigripes,Rodentia,Cricetidae,20.33,0.02033,2174.57,PanTHERIA_WR05
Ommatophoca rossii,Carnivora,Phocidae,208252.12,208.25212,0.16,PanTHERIA_WR05
Onychogalea fraenata,Diprotodontia,Macropodidae,4952.05,4.95205,20,PanTHERIA_WR05
Oryzomys galapagoensis,Rodentia,Cricetidae,63.51,0.06351,2290,PanTHERIA_WR05
Oryzomys laticeps,Rodentia,Cricetidae,49.11,0.04911,177.15,PanTHERIA_WR05
Oryzomys macconnelli,Rodentia,Cricetidae,66.49,0.06649,52.08,PanTHERIA_WR05
Oryzomys megacephalus,Rodentia,Cricetidae,57,0.057,320,PanTHERIA_WR05
Oryzomys melanotis,Rodentia,Cricetidae,49.99,0.04999,1023.95,PanTHERIA_WR05
Oryzomys palustris,Rodentia,Cricetidae,53.26,0.05326,534.88,PanTHERIA_WR05
Neotoma micropus,Rodentia,Cricetidae,255.14,0.25514,2520.91,PanTHERIA_WR05
Neotomodon alstoni,Rodentia,Cricetidae,44.64,0.04464,3379.42,PanTHERIA_WR05
Neotragus moschatus,Artiodactyla,Bovidae,5639.01,5.63901,17.32,PanTHERIA_WR05
Neurotrichus gibbsii,Soricomorpha,Talpidae,9.56,0.00956,1413.5,PanTHERIA_WR05
Niviventer cremoriventer,Rodentia,Muridae,71.54,0.07154,23.91,PanTHERIA_WR05
Nomascus concolor,Primates,Hylobatidae,6410.47,6.41047,6.17,PanTHERIA_WR05
Notiosorex crawfordi,Soricomorpha,Soricidae,4.79,0.00479,2399.99,PanTHERIA_WR05
Nyctereutes procyonoides,Carnivora,Canidae,4214.99,4.21499,12.02,PanTHERIA_WR05
Nycticebus coucang,Primates,Lorisidae,924.55,0.92455,20,PanTHERIA_WR05
Nyctimene rabori,Chiroptera,Pteropodidae,68.25,0.06825,30,PanTHERIA_WR05
Ochotona rufescens,Lagomorpha,Ochotonidae,250,0.25,5999.99,PanTHERIA_WR05
Ochrotomys nuttalli,Rodentia,Cricetidae,22.81,0.02281,302.33,PanTHERIA_WR05
Octodon degus,Rodentia,Octodontidae,203.27,0.20327,1166.23,PanTHERIA_WR05
Odobenus rosmarus,Carnivora,Odobenidae,1042996.2,1042.9962,1.27,PanTHERIA_WR05
Odocoileus hemionus,Artiodactyla,Cervidae,84560.57,84.56057,16,PanTHERIA_WR05
Odocoileus virginianus,Artiodactyla,Cervidae,75901.25,75.90125,17.32,PanTHERIA_WR05
Oecomys bicolor,Rodentia,Cricetidae,40.74,0.04074,44.46,PanTHERIA_WR05
Onychomys torridus,Rodentia,Cricetidae,21.68,0.02168,158.55,PanTHERIA_WR05
Orcaella brevirostris,Cetacea,Delphinidae,189999.99,189.99999,37.36,PanTHERIA_WR05
Oreonax flavicauda,Primates,Atelidae,8229.12,8.22912,6.46,PanTHERIA_WR05
Oreotragus oreotragus,Artiodactyla,Bovidae,13486.55,13.48655,2.62,PanTHERIA_WR05
Oryctolagus cuniculus,Lagomorpha,Leporidae,1590.57,1.59057,357.9,PanTHERIA_WR05
Oryx beisa,Artiodactyla,Bovidae,200576.52,200.57652,1.38,PanTHERIA_WR05
Oryx gazella,Artiodactyla,Bovidae,188404.45,188.40445,9.88,PanTHERIA_WR05
Oryzomys couesi,Rodentia,Cricetidae,69.29,0.06929,221.39,PanTHERIA_WR05
Oryzomys subflavus,Rodentia,Cricetidae,49.91,0.04991,88.57,PanTHERIA_WR05
Osgoodomys banderanus,Rodentia,Cricetidae,49.99,0.04999,504.14,PanTHERIA_WR05
Otocyon megalotis,Carnivora,Canidae,4098.12,4.09812,1.18,PanTHERIA_WR05
Otolemur crassicaudatus,Primates,Galagidae,1206.61,1.20661,87.99,PanTHERIA_WR05
Otolemur garnettii,Primates,Galagidae,811.17,0.81117,38,PanTHERIA_WR05
Otomys angoniensis,Rodentia,Muridae,100.64,0.10064,2630.74,PanTHERIA_WR05
Otomys irroratus,Rodentia,Muridae,114.45,0.11445,3004.04,PanTHERIA_WR05
Ourebia ourebi,Artiodactyla,Bovidae,17186.09,17.18609,2.43,PanTHERIA_WR05
Ovibos moschatus,Artiodactyla,Bovidae,312500,312.5,0.31,PanTHERIA_WR05
Ovis ammon,Artiodactyla,Bovidae,113998.72,113.99872,0.02,PanTHERIA_WR05
Ovis canadensis,Artiodactyla,Bovidae,74644.87,74.64487,1.48,PanTHERIA_WR05
Oxymycterus roberti,Rodentia,Cricetidae,83.71,0.08371,266.61,PanTHERIA_WR05
Oxymycterus rufus,Rodentia,Cricetidae,82.01,0.08201,549.17,PanTHERIA_WR05
Pagophilus groenlandicus,Carnivora,Phocidae,132250,132.25,0.09,PanTHERIA_WR05
Pan paniscus,Primates,Hominidae,35119.95,35.11995,2,PanTHERIA_WR05
Pan troglodytes,Primates,Hominidae,45000,45,1.63,PanTHERIA_WR05
Panthera leo,Carnivora,Felidae,158623.93,158.62393,0.11,PanTHERIA_WR05
Panthera onca,Carnivora,Felidae,83943.09,83.94309,0.05,PanTHERIA_WR05
Panthera pardus,Carnivora,Felidae,52399.99,52.39999,0.07,PanTHERIA_WR05
Panthera tigris,Carnivora,Felidae,161914.66,161.91466,0.03,PanTHERIA_WR05
Phocoena phocoena,Cetacea,Phocoenidae,52730.93,52.73093,0.03,PanTHERIA_WR05
Phodopus campbelli,Rodentia,Cricetidae,27.06,0.02706,20,PanTHERIA_WR05
Phodopus sungorus,Rodentia,Cricetidae,30.43,0.03043,59.99,PanTHERIA_WR05
Papio anubis,Primates,Cercopithecidae,17728.56,17.72856,10.8,PanTHERIA_WR05
Papio cynocephalus,Primates,Cercopithecidae,15822.15,15.82215,5.86,PanTHERIA_WR05
Papio hamadryas,Primates,Cercopithecidae,14007.08,14.00708,2.1,PanTHERIA_WR05
Papio papio,Primates,Cercopithecidae,18026.05,18.02605,11.07,PanTHERIA_WR05
Papio ursinus,Primates,Cercopithecidae,17729.44,17.72944,2.77,PanTHERIA_WR05
Parantechinus apicalis,Dasyuromorphia,Dasyuridae,71.31,0.07131,599.99,PanTHERIA_WR05
Parascalops breweri,Soricomorpha,Talpidae,51.11,0.05111,900,PanTHERIA_WR05
Paraxerus cepapi,Rodentia,Sciuridae,222.85,0.22285,353,PanTHERIA_WR05
Paraxerus palliatus,Rodentia,Sciuridae,365.37,0.36537,389.55,PanTHERIA_WR05
Pecari tajacu,Artiodactyla,Tayassuidae,21133.69,21.13369,7.92,PanTHERIA_WR05
Perameles bougainville,Peramelemorphia,Peramelidae,230.8,0.2308,34,PanTHERIA_WR05
Perameles gunnii,Peramelemorphia,Peramelidae,903.46,0.90346,351.56,PanTHERIA_WR05
Perameles nasuta,Peramelemorphia,Peramelidae,720.26,0.72026,89.99,PanTHERIA_WR05
Perodicticus potto,Primates,Lorisidae,1081.81,1.08181,8.47,PanTHERIA_WR05
Perognathus fasciatus,Rodentia,Heteromyidae,11.29,0.01129,225.41,PanTHERIA_WR05
Perognathus flavus,Rodentia,Heteromyidae,7.97,0.00797,150,PanTHERIA_WR05
Perognathus inornatus,Rodentia,Heteromyidae,10.16,0.01016,499.99,PanTHERIA_WR05
Perognathus longimembris,Rodentia,Heteromyidae,8.07,0.00807,174,PanTHERIA_WR05
Perognathus merriami,Rodentia,Heteromyidae,6.94,0.00694,170,PanTHERIA_WR05
Perognathus parvus,Rodentia,Heteromyidae,21.56,0.02156,2738.17,PanTHERIA_WR05
Peromyscus attwateri,Rodentia,Cricetidae,27.9,0.0279,296.52,PanTHERIA_WR05
Peromyscus aztecus,Rodentia,Cricetidae,34,0.034,899.99,PanTHERIA_WR05
Peromyscus boylii,Rodentia,Cricetidae,23.9,0.0239,521.08,PanTHERIA_WR05
Peromyscus californicus,Rodentia,Cricetidae,42.68,0.04268,3706.83,PanTHERIA_WR05
Peromyscus crinitus,Rodentia,Cricetidae,16.32,0.01632,1198.07,PanTHERIA_WR05
Peromyscus difficilis,Rodentia,Cricetidae,27.95,0.02795,162.09,PanTHERIA_WR05
Peromyscus eremicus,Rodentia,Cricetidae,22.73,0.02273,431.41,PanTHERIA_WR05
Peromyscus gossypinus,Rodentia,Cricetidae,27.68,0.02768,513.28,PanTHERIA_WR05
Peromyscus keeni,Rodentia,Cricetidae,28.25,0.02825,1021.13,PanTHERIA_WR05
Peromyscus leucopus,Rodentia,Cricetidae,18.07,0.01807,1444.64,PanTHERIA_WR05
Peromyscus maniculatus,Rodentia,Cricetidae,19.98,0.01998,661.87,PanTHERIA_WR05
Peromyscus melanotis,Rodentia,Cricetidae,39.59,0.03959,2045.14,PanTHERIA_WR05
Peromyscus perfulvus,Rodentia,Cricetidae,40,0.04,840.23,PanTHERIA_WR05
Peromyscus polionotus,Rodentia,Cricetidae,14.27,0.01427,889,PanTHERIA_WR05
Peromyscus truei,Rodentia,Cricetidae,27,0.027,1419.62,PanTHERIA_WR05
Petauroides volans,Diprotodontia,Pseudocheiridae,1257.17,1.25717,69,PanTHERIA_WR05
Petaurus australis,Diprotodontia,Petauridae,567.15,0.56715,14,PanTHERIA_WR05
Petaurus breviceps,Diprotodontia,Petauridae,120.76,0.12076,432.14,PanTHERIA_WR05
Petaurus gracilis,Diprotodontia,Petauridae,360.63,0.36063,12,PanTHERIA_WR05
Petaurus norfolcensis,Diprotodontia,Petauridae,230,0.23,122,PanTHERIA_WR05
Petrodromus tetradactylus,Macroscelidea,Macroscelididae,201,0.201,186.01,PanTHERIA_WR05
Petrogale assimilis,Diprotodontia,Macropodidae,4618.88,4.61888,76.64,PanTHERIA_WR05
Petrogale lateralis,Diprotodontia,Macropodidae,4567.88,4.56788,275,PanTHERIA_WR05
Petrogale penicillata,Diprotodontia,Macropodidae,6931.6,6.9316,300,PanTHERIA_WR05
Petrogale persephone,Diprotodontia,Macropodidae,5585.63,5.58563,5.99,PanTHERIA_WR05
Petrogale xanthopus,Diprotodontia,Macropodidae,8499.99,8.49999,15,PanTHERIA_WR05
Petropseudes dahli,Diprotodontia,Pseudocheiridae,1877.03,1.87703,18,PanTHERIA_WR05
Phacochoerus aethiopicus,Artiodactyla,Suidae,75607.52,75.60752,7.61,PanTHERIA_WR05
Phaner furcifer,Primates,Cheirogaleidae,409.87,0.40987,500.24,PanTHERIA_WR05
Phascogale tapoatafa,Dasyuromorphia,Dasyuridae,192.65,0.19265,111,PanTHERIA_WR05
Phascolarctos cinereus,Diprotodontia,Phascolarctidae,6528.74,6.52874,163.01,PanTHERIA_WR05
Phascomurexia naso,Dasyuromorphia,Dasyuridae,52.62,0.05262,150,PanTHERIA_WR05
Phenacomys intermedius,Rodentia,Cricetidae,25.2,0.0252,549.17,PanTHERIA_WR05
Philander opossum,Didelphimorphia,Didelphidae,425.81,0.42581,58.77,PanTHERIA_WR05
Philantomba maxwellii,Artiodactyla,Bovidae,8557.69,8.55769,5.97,PanTHERIA_WR05
Philantomba monticola,Artiodactyla,Bovidae,4896.05,4.89605,35.98,PanTHERIA_WR05
Phoca vitulina,Carnivora,Phocidae,87316.66,87.31666,5.68,PanTHERIA_WR05
Proechimys guairae,Rodentia,Echimyidae,349.28,0.34928,389.74,PanTHERIA_WR05
Proechimys guyannensis,Rodentia,Echimyidae,314.03,0.31403,938.91,PanTHERIA_WR05
Proechimys longicaudatus,Rodentia,Echimyidae,205,0.205,261.53,PanTHERIA_WR05
Proechimys semispinosus,Rodentia,Echimyidae,353.32,0.35332,754.53,PanTHERIA_WR05
Proechimys simonsi,Rodentia,Echimyidae,284.99,0.28499,305.11,PanTHERIA_WR05
Propithecus diadema,Primates,Indriidae,6568.99,6.56899,5.65,PanTHERIA_WR05
Propithecus tattersalli,Primates,Indriidae,3531.39,3.53139,65,PanTHERIA_WR05
Propithecus verreauxi,Primates,Indriidae,3588.26,3.58826,150,PanTHERIA_WR05
Rhynchocyon chrysopygus,Macroscelidea,Macroscelididae,535.2,0.5352,120.9,PanTHERIA_WR05
Rhynchomys isarogensis,Rodentia,Muridae,122.29,0.12229,332.33,PanTHERIA_WR05
Romerolagus diazi,Lagomorpha,Leporidae,465.58,0.46558,30.67,PanTHERIA_WR05
Sorex minutus,Soricomorpha,Soricidae,4.32,0.00432,849.99,PanTHERIA_WR05
Sorex monticolus,Soricomorpha,Soricidae,6.92,0.00692,1200,PanTHERIA_WR05
Sorex oreopolus,Soricomorpha,Soricidae,7,0.007,393.12,PanTHERIA_WR05
Sorex ornatus,Soricomorpha,Soricidae,5.31,0.00531,11100,PanTHERIA_WR05
Phyllotis darwini,Rodentia,Cricetidae,50.82,0.05082,3622.81,PanTHERIA_WR05
Phyllotis osilae,Rodentia,Cricetidae,43.64,0.04364,384.42,PanTHERIA_WR05
Piliocolobus badius,Primates,Cercopithecidae,8430.4,8.4304,130.65,PanTHERIA_WR05
Pseudoryzomys simplex,Rodentia,Cricetidae,45.2,0.0452,1505.81,PanTHERIA_WR05
Piliocolobus rufomitratus,Primates,Cercopithecidae,8030.75,8.03075,186.44,PanTHERIA_WR05
Pithecia albicans,Primates,Pitheciidae,2800.07,2.80007,9.39,PanTHERIA_WR05
Pithecia irrorata,Primates,Pitheciidae,2308.17,2.30817,11.3,PanTHERIA_WR05
Pithecia monachus,Primates,Pitheciidae,2109.55,2.10955,8,PanTHERIA_WR05
Pithecia pithecia,Primates,Pitheciidae,1667.19,1.66719,4.19,PanTHERIA_WR05
Planigale gilesi,Dasyuromorphia,Dasyuridae,9.34,0.00934,739.99,PanTHERIA_WR05
Poiana richardsonii,Carnivora,Viverridae,570.08,0.57008,1,PanTHERIA_WR05
Pongo pygmaeus,Primates,Hominidae,53408.29,53.40829,2,PanTHERIA_WR05
Potamochoerus larvatus,Artiodactyla,Suidae,69063.79,69.06379,0.4,PanTHERIA_WR05
Potamochoerus porcus,Artiodactyla,Suidae,70000.31,70.00031,0.23,PanTHERIA_WR05
Potorous longipes,Diprotodontia,Potoroidae,1835.06,1.83506,40,PanTHERIA_WR05
Potorous tridactylus,Diprotodontia,Potoroidae,1054.67,1.05467,21.44,PanTHERIA_WR05
Potos flavus,Carnivora,Procyonidae,2441.81,2.44181,34.21,PanTHERIA_WR05
Praomys daltoni,Rodentia,Muridae,34.99,0.03499,1500,PanTHERIA_WR05
Praomys tullbergi,Rodentia,Muridae,37.1,0.0371,1739.53,PanTHERIA_WR05
Presbytis comata,Primates,Cercopithecidae,6550.07,6.55007,25.68,PanTHERIA_WR05
Presbytis hosei,Primates,Cercopithecidae,6277.78,6.27778,4.42,PanTHERIA_WR05
Presbytis melalophos,Primates,Cercopithecidae,6439.12,6.43912,59.34,PanTHERIA_WR05
Presbytis potenziani,Primates,Cercopithecidae,6449.53,6.44953,14.8,PanTHERIA_WR05
Presbytis rubicunda,Primates,Cercopithecidae,6348.53,6.34853,19.27,PanTHERIA_WR05
Presbytis thomasi,Primates,Cercopithecidae,6689.99,6.68999,27,PanTHERIA_WR05
Priodontes maximus,Cingulata,Dasypodidae,40641.89,40.64189,0.35,PanTHERIA_WR05
Procavia capensis,Hyracoidea,Procaviidae,2952.48,2.95248,2734.51,PanTHERIA_WR05
Procolobus verus,Primates,Cercopithecidae,3977.86,3.97786,18.6,PanTHERIA_WR05
Procyon cancrivorus,Carnivora,Procyonidae,6931.72,6.93172,5.74,PanTHERIA_WR05
Procyon lotor,Carnivora,Procyonidae,6373.72,6.37372,3.29,PanTHERIA_WR05
Proteles cristata,Carnivora,Hyaenidae,8139.39,8.13939,0.81,PanTHERIA_WR05
Psammomys obesus,Rodentia,Muridae,102.15,0.10215,69.97,PanTHERIA_WR05
Pseudocheirus peregrinus,Diprotodontia,Pseudocheiridae,895.22,0.89522,654.82,PanTHERIA_WR05
Pseudochirops archeri,Diprotodontia,Pseudocheiridae,1145.92,1.14592,150,PanTHERIA_WR05
Pseudochirulus cinereus,Diprotodontia,Pseudocheiridae,977.48,0.97748,146,PanTHERIA_WR05
Pseudochirulus herbertensis,Diprotodontia,Pseudocheiridae,1098.34,1.09834,899.99,PanTHERIA_WR05
Pseudois nayaur,Artiodactyla,Bovidae,52334.57,52.33457,2.49,PanTHERIA_WR05
Pseudomys higginsi,Rodentia,Muridae,63.16,0.06316,520,PanTHERIA_WR05
Puma concolor,Carnivora,Felidae,53954.05,53.95405,0.02,PanTHERIA_WR05
Puma yagouaroundi,Carnivora,Felidae,6875,6.875,0.58,PanTHERIA_WR05
