species,order,family,mass_g,mass_kg,pop_density_per_km2,source
Tlacuatzin canescens,Didelphimorphia,Didelphidae,47.73,0.04773,305.11,PanTHERIA_WR05
Tolypeutes matacus,Cingulata,Dasypodidae,1303.47,1.30347,7,PanTHERIA_WR05
Trachypithecus auratus,Primates,Cercopithecidae,9719.6,9.7196,41.99,PanTHERIA_WR05
Trachypithecus cristatus,Primates,Cercopithecidae,7176.81,7.17681,36.63,PanTHERIA_WR05
Trachypithecus geei,Primates,Cercopithecidae,8356,8.356,2.6,PanTHERIA_WR05
Trachypithecus johnii,Primates,Cercopithecidae,10595.08,10.59508,71,PanTHERIA_WR05
Trachypithecus obscurus,Primates,Cercopithecidae,7247.88,7.24788,57,PanTHERIA_WR05
Trachypithecus phayrei,Primates,Cercopithecidae,7681.72,7.68172,0.6,PanTHERIA_WR05
Trachypithecus pileatus,Primates,Cercopithecidae,11219.93,11.21993,81.49,PanTHERIA_WR05
Trachypithecus vetulus,Primates,Cercopithecidae,7205.08,7.20508,144.65,PanTHERIA_WR05
Tragelaphus angasii,Artiodactyla,Bovidae,87616.76,87.61676,126.94,PanTHERIA_WR05
Tragelaphus buxtoni,Artiodactyla,Bovidae,215000.75,215.00075,80.5,PanTHERIA_WR05
Tragelaphus eurycerus,Artiodactyla,Bovidae,270998.37,270.99837,0.4,PanTHERIA_WR05
Tragelaphus imberbis,Artiodactyla,Bovidae,94320.39,94.32039,0.35,PanTHERIA_WR05
Trinomys iheringi,Rodentia,Echimyidae,220.39,0.22039,362.78,PanTHERIA_WR05
Tupaia glis,Scandentia,Tupaiidae,132.43,0.13243,406.3,PanTHERIA_WR05
Tursiops truncatus,Cetacea,Delphinidae,281040.55,281.04055,0.2,PanTHERIA_WR05
Uncia uncia,Carnivora,Felidae,32500,32.5,0.07,PanTHERIA_WR05
Uranomys ruddi,Rodentia,Muridae,35.48,0.03548,189.55,PanTHERIA_WR05
Urocyon cinereoargenteus,Carnivora,Canidae,3833.71,3.83371,2.41,PanTHERIA_WR05
Urocyon littoralis,Carnivora,Canidae,1923,1.923,7,PanTHERIA_WR05
Urotrichus talpoides,Soricomorpha,Talpidae,18.2,0.0182,4999.99,PanTHERIA_WR05
Ursus americanus,Carnivora,Ursidae,110500,110.5,0.72,PanTHERIA_WR05
Ursus arctos,Carnivora,Ursidae,196287.5,196.2875,0.02,PanTHERIA_WR05
Ursus maritimus,Carnivora,Ursidae,371703.81,371.70381,0.007048404,PanTHERIA_WR05
Varecia variegata,Primates,Lemuridae,3849.99,3.84999,27.83,PanTHERIA_WR05
Vicugna vicugna,Artiodactyla,Camelidae,47499.61,47.49961,3.1,PanTHERIA_WR05
Vombatus ursinus,Diprotodontia,Vombatidae,26000,26,25.92,PanTHERIA_WR05
Vulpes cana,Carnivora,Canidae,988.5,0.9885,1.25,PanTHERIA_WR05
Vulpes lagopus,Carnivora,Canidae,3584.37,3.58437,0.1,PanTHERIA_WR05
Vulpes macrotis,Carnivora,Canidae,4499.97,4.49997,0.19,PanTHERIA_WR05
Vulpes pallida,Carnivora,Canidae,2800.01,2.80001,6.11,PanTHERIA_WR05
Vulpes velox,Carnivora,Canidae,2088,2.088,0.41,PanTHERIA_WR05
Vulpes vulpes,Carnivora,Canidae,4820.36,4.82036,1.1,PanTHERIA_WR05
Wallabia bicolor,Diprotodontia,Macropodidae,14999.95,14.99995,32,PanTHERIA_WR05
Wyulda squamicaudata,Diprotodontia,Phalangeridae,1799.21,1.79921,345,PanTHERIA_WR05
Xerus rutilus,Rodentia,Sciuridae,316.96,0.31696,798.09,PanTHERIA_WR05
Zaglossus bruijni,Monotremata,Tachyglossidae,8951.71,8.95171,1.6,PanTHERIA_WR05
Zalophus californianus,Carnivora,Otariidae,137194.86,137.19486,0.5,PanTHERIA_WR05
Zapus hudsonius,Rodentia,Dipodidae,18.43,0.01843,882,PanTHERIA_WR05
Zapus princeps,Rodentia,Dipodidae,27.2,0.0272,292.3,PanTHERIA_WR05
Zelotomys hildegardeae,Rodentia,Muridae,55.22,0.05522,61.11,PanTHERIA_WR05
Zygodontomys brevicauda,Rodentia,Cricetidae,52.22,0.05222,1029.29,PanTHERIA_WR05
Zyzomys argurus,Rodentia,Muridae,40.42,0.04042,535.51,PanTHERIA_WR05
