species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Pelecanoides georgicus,Aves,Procellariiformes,Procellariidae,0.127,7.7464275,W/kg,AnimalTraits
Aethopyga christinae,Aves,Passeriformes,Nectariniidae,0.0052,71.472222,W/kg,AnimalTraits
Cinnyris bifasciatus,Aves,Passeriformes,Nectariniidae,0.0062,38.25,W/kg,AnimalTraits
Aethopyga siparaja,Aves,Passeriformes,Nectariniidae,0.0068,58.833333,W/kg,AnimalTraits
Cinnyris venustus,Aves,Passeriformes,Nectariniidae,0.0071,46.166667,W/kg,AnimalTraits
Cinnyris cupreus,Aves,Passeriformes,Nectariniidae,0.0074,54.166667,W/kg,AnimalTraits
Hedydipna collaris,Aves,Passeriformes,Nectariniidae,0.0083,52.138889,W/kg,AnimalTraits
Cyanomitra veroxii,Aves,Passeriformes,Nectariniidae,0.0084,52.972222,W/kg,AnimalTraits
Chalcomitra adelberti,Aves,Passeriformes,Nectariniidae,0.0095,46.833333,W/kg,AnimalTraits
Chalcomitra amethystina,Aves,Passeriformes,Nectariniidae,0.01,40.916667,W/kg,AnimalTraits
Anthreptes orientalis,Aves,Passeriformes,Nectariniidae,0.0118,30.694444,W/kg,AnimalTraits
Chalcomitra senegalensis,Aves,Passeriformes,Nectariniidae,0.0126,31.111111,W/kg,AnimalTraits
Nectarinia tacazze,Aves,Passeriformes,Nectariniidae,0.0135,43.888889,W/kg,AnimalTraits
Nectarinia killmensis,Aves,Passeriformes,Nectariniidae,0.0142,38.638889,W/kg,AnimalTraits
Coturnix pectoralis,Aves,Galliformes,Phasianidae,0.0958,6.6111111,W/kg,AnimalTraits
Coturnix chinensis,Aves,Galliformes,Phasianidae,0.0449,8.1666667,W/kg,AnimalTraits
Lichmera indistincta,Aves,Passeriformes,Meliphagidae,0.0101,20.944444,W/kg,AnimalTraits
Gliciphila melanops,Aves,Passeriformes,Meliphagidae,0.0188,15.5,W/kg,AnimalTraits
Melithreptus lunatus,Aves,Passeriformes,Meliphagidae,0.0143,17.333333,W/kg,AnimalTraits
Phylidonyris novaehollandiae,Aves,Passeriformes,Meliphagidae,0.0174,18.225841,W/kg,AnimalTraits
Acanthorhynchus tenuirostris,Aves,Passeriformes,Meliphagidae,0.0097,25.653876,W/kg,AnimalTraits
Phylidonyris pyrrhopterus,Aves,Passeriformes,Meliphagidae,0.0146,22.038305,W/kg,AnimalTraits
Auriparus flaviceps,Aves,Passeriformes,Remizidae,0.0068,24.111111,W/kg,AnimalTraits
