geofips,name,population,wages_thousands_usd,year,source
24260,"Grand Island, NE (Metropolitan Statistical Area)",82057,1447233,2010,BEA_CA30_via_Bettencourt2020
24300,"Grand Junction, CO (Metropolitan Statistical Area)",146489,2382275,2010,BEA_CA30_via_Bettencourt2020
24340,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",989524,18617341,2010,BEA_CA30_via_Bettencourt2020
24420,"Grants Pass, OR (Metropolitan Statistical Area)",82868,766091,2010,BEA_CA30_via_Bettencourt2020
24500,"Great Falls, MT (Metropolitan Statistical Area)",81533,1439469,2010,BEA_CA30_via_Bettencourt2020
24540,"Greeley, CO (Metropolitan Statistical Area)*",254166,3365299,2010,BEA_CA30_via_Bettencourt2020
24580,"Green Bay, WI (Metropolitan Statistical Area)",306736,6990746,2010,BEA_CA30_via_Bettencourt2020
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",725068,14086961,2010,BEA_CA30_via_Bettencourt2020
24780,"Greenville, NC (Metropolitan Statistical Area)",168822,2822893,2010,BEA_CA30_via_Bettencourt2020
24860,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",825782,14307456,2010,BEA_CA30_via_Bettencourt2020
25060,"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",371451,7046634,2010,BEA_CA30_via_Bettencourt2020
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",252384,3750958,2010,BEA_CA30_via_Bettencourt2020
25220,"Hammond, LA (Metropolitan Statistical Area)",121491,1576834,2010,BEA_CA30_via_Bettencourt2020
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",152367,1911667,2010,BEA_CA30_via_Bettencourt2020
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",550239,14405937,2010,BEA_CA30_via_Bettencourt2020
25500,"Harrisonburg, VA (Metropolitan Statistical Area)*",125415,2237420,2010,BEA_CA30_via_Bettencourt2020
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",1214139,34804278,2010,BEA_CA30_via_Bettencourt2020
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",143293,2095353,2010,BEA_CA30_via_Bettencourt2020
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",365196,5071199,2010,BEA_CA30_via_Bettencourt2020
25940,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",187832,2864509,2010,BEA_CA30_via_Bettencourt2020
25980,"Hinesville, GA (Metropolitan Statistical Area)",77369,1816388,2010,BEA_CA30_via_Bettencourt2020
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",141266,1244145,2010,BEA_CA30_via_Bettencourt2020
26300,"Hot Springs, AR (Metropolitan Statistical Area)",96128,1177481,2010,BEA_CA30_via_Bettencourt2020
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",208224,4515699,2010,BEA_CA30_via_Bettencourt2020
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",5948253,1.4713465e+08,2010,BEA_CA30_via_Bettencourt2020
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",365075,5438041,2010,BEA_CA30_via_Bettencourt2020
26620,"Huntsville, AL (Metropolitan Statistical Area)",419301,10944768,2010,BEA_CA30_via_Bettencourt2020
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",133824,2378374,2010,BEA_CA30_via_Bettencourt2020
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",1892614,41752375,2010,BEA_CA30_via_Bettencourt2020
26980,"Iowa City, IA (Metropolitan Statistical Area)",152988,3527500,2010,BEA_CA30_via_Bettencourt2020
27060,"Ithaca, NY (Metropolitan Statistical Area)",101774,2265186,2010,BEA_CA30_via_Bettencourt2020
27100,"Jackson, MI (Metropolitan Statistical Area)",160169,2134183,2010,BEA_CA30_via_Bettencourt2020
27140,"Jackson, MS (Metropolitan Statistical Area)",568799,10428090,2010,BEA_CA30_via_Bettencourt2020
27180,"Jackson, TN (Metropolitan Statistical Area)",130009,2272400,2010,BEA_CA30_via_Bettencourt2020
27260,"Jacksonville, FL (Metropolitan Statistical Area)",1349083,27744826,2010,BEA_CA30_via_Bettencourt2020
27340,"Jacksonville, NC (Metropolitan Statistical Area)",179595,4307215,2010,BEA_CA30_via_Bettencourt2020
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",160234,2381593,2010,BEA_CA30_via_Bettencourt2020
27620,"Jefferson City, MO (Metropolitan Statistical Area)",149955,2887757,2010,BEA_CA30_via_Bettencourt2020
27740,"Johnson City, TN (Metropolitan Statistical Area)",198973,2736525,2010,BEA_CA30_via_Bettencourt2020
27780,"Johnstown, PA (Metropolitan Statistical Area)",143468,2058705,2010,BEA_CA30_via_Bettencourt2020
27860,"Jonesboro, AR (Metropolitan Statistical Area)",121248,1724810,2010,BEA_CA30_via_Bettencourt2020
27900,"Joplin, MO (Metropolitan Statistical Area)",175871,2805535,2010,BEA_CA30_via_Bettencourt2020
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",155068,2651094,2010,BEA_CA30_via_Bettencourt2020
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",326909,5650481,2010,BEA_CA30_via_Bettencourt2020
28100,"Kankakee, IL (Metropolitan Statistical Area)",113450,1572553,2010,BEA_CA30_via_Bettencourt2020
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",2013703,46604801,2010,BEA_CA30_via_Bettencourt2020
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",255648,5197739,2010,BEA_CA30_via_Bettencourt2020
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",408337,7866533,2010,BEA_CA30_via_Bettencourt2020
28700,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)*",309584,4708833,2010,BEA_CA30_via_Bettencourt2020
28740,"Kingston, NY (Metropolitan Statistical Area)",182421,2334234,2010,BEA_CA30_via_Bettencourt2020
28940,"Knoxville, TN (Metropolitan Statistical Area)",838767,15082492,2010,BEA_CA30_via_Bettencourt2020
29020,"Kokomo, IN (Metropolitan Statistical Area)",82731,1562548,2010,BEA_CA30_via_Bettencourt2020
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",133880,2783959,2010,BEA_CA30_via_Bettencourt2020
29180,"Lafayette, LA (Metropolitan Statistical Area)",467612,9286070,2010,BEA_CA30_via_Bettencourt2020
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",202087,3478986,2010,BEA_CA30_via_Bettencourt2020
29340,"Lake Charles, LA (Metropolitan Statistical Area)",200009,3656078,2010,BEA_CA30_via_Bettencourt2020
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",200374,1584335,2010,BEA_CA30_via_Bettencourt2020
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",603192,7662710,2010,BEA_CA30_via_Bettencourt2020
29540,"Lancaster, PA (Metropolitan Statistical Area)",520357,9001641,2010,BEA_CA30_via_Bettencourt2020
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",464244,8648279,2010,BEA_CA30_via_Bettencourt2020
