species,class,order,family,mass_g,mass_kg,metabolic_rate_W,source
Anaxyrus americanus,Amphibia,Anura,Bufonidae,21.6,0.0216,0.00829,AnAge
Anaxyrus terrestris,Amphibia,Anura,Bufonidae,19.2,0.0192,0.00698,AnAge
Rhinella marina,Amphibia,Anura,Bufonidae,105,0.105,0.0303,AnAge
Hyla versicolor,Amphibia,Anura,Hylidae,6.97,0.00697,0.00433,AnAge
Pseudacris crucifer,Amphibia,Anura,Hylidae,0.9,0.0009,0.00105,AnAge
Xenopus laevis,Amphibia,Anura,Pipidae,63.6,0.0636,0.012,AnAge
Lithobates catesbeianus,Amphibia,Anura,Ranidae,51.2,0.0512,0.0134,AnAge
Lithobates pipiens,Amphibia,Anura,Ranidae,21.6,0.0216,0.00576,AnAge
Lithobates sylvaticus,Amphibia,Anura,Ranidae,7.8,0.0078,0.00416,AnAge
Ambystoma maculatum,Amphibia,Caudata,Ambystomatidae,12.8,0.0128,0.005,AnAge
Ambystoma tigrinum,Amphibia,Caudata,Ambystomatidae,3.21,0.00321,0.00196,AnAge
Amphiuma means,Amphibia,Caudata,Amphiumidae,199,0.199,0.00904,AnAge
Cryptobranchus alleganiensis,Amphibia,Caudata,Cryptobranchidae,358,0.358,0.0253,AnAge
Desmognathus quadramaculatus,Amphibia,Caudata,Plethodontidae,14.1,0.0141,0.00411,AnAge
Plethodon cinereus,Amphibia,Caudata,Plethodontidae,0.76,0.00076,9.9e-05,AnAge
Plethodon glutinosus,Amphibia,Caudata,Plethodontidae,4.2,0.0042,0.00191,AnAge
Salamandra salamandra,Amphibia,Caudata,Salamandridae,19.1,0.0191,0.00857,AnAge
Taricha granulosa,Amphibia,Caudata,Salamandridae,12.2,0.0122,0.00518,AnAge
Accipiter nisus,Aves,Accipitriformes,Accipitridae,135,0.135,0.9516,AnAge
Aquila chrysaetos,Aves,Accipitriformes,Accipitridae,3000,3,4.9929,AnAge
Buteo lineatus,Aves,Accipitriformes,Accipitridae,658,0.658,2.11,AnAge
Geranoaetus melanoleucus,Aves,Accipitriformes,Accipitridae,2860,2.86,5.1887,AnAge
Pernis apivorus,Aves,Accipitriformes,Accipitridae,652,0.652,2.36428,AnAge
Aix sponsa,Aves,Anseriformes,Anatidae,448,0.448,2.247,AnAge
Anas clypeata,Aves,Anseriformes,Anatidae,554,0.554,3.9209,AnAge
Anas crecca,Aves,Anseriformes,Anatidae,250,0.25,1.68388,AnAge
Anas penelope,Aves,Anseriformes,Anatidae,723,0.723,2.8538,AnAge
Anas platyrhynchos,Aves,Anseriformes,Anatidae,1020,1.02,4.068,AnAge
Anas rubripes,Aves,Anseriformes,Anatidae,904,0.904,3.6076,AnAge
Apus apus,Aves,Apodiformes,Apodidae,44.9,0.0449,0.4372,AnAge
Archilochus colubris,Aves,Apodiformes,Trochilidae,3.2,0.0032,0.07832,AnAge
Calypte anna,Aves,Apodiformes,Trochilidae,4.8,0.0048,0.1175,AnAge
Selasphorus rufus,Aves,Apodiformes,Trochilidae,3.8,0.0038,0.06853,AnAge
Selasphorus sasin,Aves,Apodiformes,Trochilidae,3.7,0.0037,0.06853,AnAge
Stellula calliope,Aves,Apodiformes,Trochilidae,3,0.003,0.06853,AnAge
Apteryx australis,Aves,Apterygiformes,Apterygidae,2380,2.38,4.029,AnAge
Chordeiles minor,Aves,Caprimulgiformes,Caprimulgidae,72,0.072,0.4421,AnAge
Phalaenoptilus nuttallii,Aves,Caprimulgiformes,Caprimulgidae,35,0.035,0.1566,AnAge
Uria aalge,Aves,Charadriiformes,Alcidae,956,0.956,6.8224,AnAge
Uria lomvia,Aves,Charadriiformes,Alcidae,989,0.989,6.8224,AnAge
Charadrius dubius,Aves,Charadriiformes,Charadriidae,36,0.036,0.416,AnAge
Haematopus ostralegus,Aves,Charadriiformes,Haematopodidae,449,0.449,2.91,AnAge
Anous stolidus,Aves,Charadriiformes,Laridae,138.7,0.1387,0.788095,AnAge
Gygis alba,Aves,Charadriiformes,Laridae,98.1,0.0981,0.82236,AnAge
Larus argentatus,Aves,Charadriiformes,Laridae,1000,1,4.817,AnAge
Larus canus,Aves,Charadriiformes,Laridae,431,0.431,2.257,AnAge
Larus delawarensis,Aves,Charadriiformes,Laridae,439,0.439,2.91742,AnAge
Larus occidentalis,Aves,Charadriiformes,Laridae,761,0.761,3.43629,AnAge
Arenaria interpres,Aves,Charadriiformes,Scolopacidae,90,0.09,0.92,AnAge
Scolopax minor,Aves,Charadriiformes,Scolopacidae,156.7,0.1567,1.066,AnAge
Scolopax rusticola,Aves,Charadriiformes,Scolopacidae,430,0.43,2.16,AnAge
Leptotila verreauxi,Aves,Columbiformes,Columbidae,131,0.131,0.8884,AnAge
Leucosarcia melanoleuca,Aves,Columbiformes,Columbidae,445,0.445,1.695,AnAge
Streptopelia turtur,Aves,Columbiformes,Columbidae,154,0.154,1.138,AnAge
Zenaida macroura,Aves,Columbiformes,Columbidae,123,0.123,0.736,AnAge
Alcedo atthis,Aves,Coraciiformes,Alcedinidae,34.3,0.0343,0.378,AnAge
Cuculus canorus,Aves,Cuculiformes,Cuculidae,111.6,0.1116,0.838,AnAge
Geococcyx californianus,Aves,Cuculiformes,Cuculidae,284.7,0.2847,1.4661,AnAge
Falco subbuteo,Aves,Falconiformes,Falconidae,208,0.208,1.3014,AnAge
Callipepla gambelii,Aves,Galliformes,Odontophoridae,126.1,0.1261,0.755,AnAge
Bonasa umbellus,Aves,Galliformes,Phasianidae,644,0.644,2.3894,AnAge
Coturnix coturnix,Aves,Galliformes,Phasianidae,97,0.097,0.891,AnAge
Dendragapus obscurus,Aves,Galliformes,Phasianidae,1131,1.131,4.957,AnAge
Gallus gallus,Aves,Galliformes,Phasianidae,2710,2.71,6.005,AnAge
Lagopus lagopus,Aves,Galliformes,Phasianidae,567,0.567,2.872,AnAge
Perdix perdix,Aves,Galliformes,Phasianidae,501,0.501,2.1783,AnAge
Tetrao urogallus,Aves,Galliformes,Phasianidae,4010,4.01,11.816,AnAge
Fulica atra,Aves,Gruiformes,Rallidae,412,0.412,2.039,AnAge
Acrocephalus arundinaceus,Aves,Passeriformes,Acrocephalidae,21.9,0.0219,0.257,AnAge
Acrocephalus palustris,Aves,Passeriformes,Acrocephalidae,10.8,0.0108,0.203,AnAge
Acrocephalus schoenobaenus,Aves,Passeriformes,Acrocephalidae,11.5,0.0115,0.218,AnAge
Hippolais icterina,Aves,Passeriformes,Acrocephalidae,12.5,0.0125,0.252,AnAge
Aegithalos caudatus,Aves,Passeriformes,Aegithalidae,8.9,0.0089,0.199,AnAge
Psaltriparus minimus,Aves,Passeriformes,Aegithalidae,5.5,0.0055,0.122375,AnAge
Alauda arvensis,Aves,Passeriformes,Alaudidae,31.7,0.0317,0.722,AnAge
Eremophila alpestris,Aves,Passeriformes,Alaudidae,26,0.026,0.3133,AnAge
Lullula arborea,Aves,Passeriformes,Alaudidae,25.5,0.0255,0.572,AnAge
Bombycilla garrulus,Aves,Passeriformes,Bombycillidae,72.5,0.0725,0.9566,AnAge
Cardinalis cardinalis,Aves,Passeriformes,Cardinalidae,41,0.041,0.5163,AnAge
Cardinalis sinuatus,Aves,Passeriformes,Cardinalidae,32,0.032,0.396495,AnAge
Corvus corax,Aves,Passeriformes,Corvidae,1203,1.203,5.5656,AnAge
Corvus corone,Aves,Passeriformes,Corvidae,518,0.518,3.3531,AnAge
Corvus cryptoleucus,Aves,Passeriformes,Corvidae,640,0.64,3.86705,AnAge
Corvus frugilegus,Aves,Passeriformes,Corvidae,390,0.39,2.6433,AnAge
Garrulus glandarius,Aves,Passeriformes,Corvidae,153,0.153,1.39997,AnAge
Nucifraga caryocatactes,Aves,Passeriformes,Corvidae,147,0.147,1.346,AnAge
Pica hudsonia,Aves,Passeriformes,Corvidae,158.9,0.1589,1.196,AnAge
Pica nuttalli,Aves,Passeriformes,Corvidae,151.9,0.1519,1.471,AnAge
Emberiza citrinella,Aves,Passeriformes,Emberizidae,26.8,0.0268,0.436,AnAge
Emberiza hortulana,Aves,Passeriformes,Emberizidae,27,0.027,0.407,AnAge
Emberiza schoeniclus,Aves,Passeriformes,Emberizidae,17.6,0.0176,0.3,AnAge
Lonchura striata,Aves,Passeriformes,Estrildidae,10.3,0.0103,0.21538,AnAge
Acanthis flammea,Aves,Passeriformes,Fringillidae,14,0.014,0.2888,AnAge
Carpodacus erythrinus,Aves,Passeriformes,Fringillidae,21.6,0.0216,0.358,AnAge
Fringilla coelebs,Aves,Passeriformes,Fringillidae,21,0.021,0.373,AnAge
Fringilla montifringilla,Aves,Passeriformes,Fringillidae,21,0.021,0.383,AnAge
Haemorhous cassinii,Aves,Passeriformes,Fringillidae,27.4,0.0274,0.339,AnAge
Haemorhous mexicanus,Aves,Passeriformes,Fringillidae,20.4,0.0204,0.3108,AnAge
Hesperiphona vespertina,Aves,Passeriformes,Fringillidae,54.5,0.0545,0.7294,AnAge
Himatione sanguinea,Aves,Passeriformes,Fringillidae,13.5,0.0135,0.3,AnAge
Loxia curvirostra,Aves,Passeriformes,Fringillidae,39.4,0.0394,0.607,AnAge
Loxia leucoptera,Aves,Passeriformes,Fringillidae,29.8,0.0298,0.46992,AnAge
Serinus canaria,Aves,Passeriformes,Fringillidae,13.3,0.0133,0.230065,AnAge
Spinus pinus,Aves,Passeriformes,Fringillidae,14,0.014,0.3003,AnAge
Spinus tristis,Aves,Passeriformes,Fringillidae,13.6,0.0136,0.4108,AnAge
Hirundo rustica,Aves,Passeriformes,Hirundinidae,18,0.018,0.3158,AnAge
Riparia riparia,Aves,Passeriformes,Hirundinidae,13.6,0.0136,0.2328,AnAge
Icterus galbula,Aves,Passeriformes,Icteridae,37.5,0.0375,0.5052,AnAge
Molothrus ater,Aves,Passeriformes,Icteridae,42.5,0.0425,0.6315,AnAge
Lanius collurio,Aves,Passeriformes,Laniidae,27,0.027,0.383,AnAge
Lanius excubitor,Aves,Passeriformes,Laniidae,72.4,0.0724,0.8161,AnAge
Anthus pratensis,Aves,Passeriformes,Motacillidae,18.9,0.0189,0.3,AnAge
Anthus trivialis,Aves,Passeriformes,Motacillidae,19.7,0.0197,0.339,AnAge
Motacilla alba,Aves,Passeriformes,Motacillidae,18,0.018,0.3,AnAge
Motacilla flava,Aves,Passeriformes,Motacillidae,14.7,0.0147,0.257,AnAge
Erithacus rubecula,Aves,Passeriformes,Muscicapidae,17.6,0.0176,0.281,AnAge
Ficedula hypoleuca,Aves,Passeriformes,Muscicapidae,11.7,0.0117,0.232,AnAge
Muscicapa striata,Aves,Passeriformes,Muscicapidae,14.4,0.0144,0.2476,AnAge
Poecile atricapillus,Aves,Passeriformes,Paridae,10.3,0.0103,0.252,AnAge
Geothlypis trichas,Aves,Passeriformes,Parulidae,10.6,0.0106,0.17622,AnAge
Leiothlypis celata,Aves,Passeriformes,Parulidae,9.3,0.0093,0.151745,AnAge
Mniotilta varia,Aves,Passeriformes,Parulidae,8.2,0.0082,0.12727,AnAge
Parkesia noveboracensis,Aves,Passeriformes,Parulidae,18.7,0.0187,0.28391,AnAge
Protonotaria citrea,Aves,Passeriformes,Parulidae,12.8,0.0128,0.1994,AnAge
Seiurus aurocapilla,Aves,Passeriformes,Parulidae,19,0.019,0.24475,AnAge
Setophaga americana,Aves,Passeriformes,Parulidae,7,0.007,0.122375,AnAge
Setophaga caerulescens,Aves,Passeriformes,Parulidae,9.4,0.0094,0.18601,AnAge
Setophaga citrina,Aves,Passeriformes,Parulidae,12,0.012,0.21538,AnAge
Setophaga coronata,Aves,Passeriformes,Parulidae,11.5,0.0115,0.1895,AnAge
Setophaga dominica,Aves,Passeriformes,Parulidae,9.8,0.0098,0.1604,AnAge
Setophaga palmarum,Aves,Passeriformes,Parulidae,9.8,0.0098,0.1554,AnAge
Setophaga pinus,Aves,Passeriformes,Parulidae,12,0.012,0.1795,AnAge
Vermivora cyanoptera,Aves,Passeriformes,Parulidae,7.8,0.0078,0.1505,AnAge
Ammodramus savannarum,Aves,Passeriformes,Passerellidae,13.8,0.0138,0.1796,AnAge
Amphispiza bilineata,Aves,Passeriformes,Passerellidae,11.6,0.0116,0.1988,AnAge
Junco hyemalis,Aves,Passeriformes,Passerellidae,18,0.018,0.2959,AnAge
Melospiza georgiana,Aves,Passeriformes,Passerellidae,14.9,0.0149,0.211,AnAge
Melospiza melodia,Aves,Passeriformes,Passerellidae,19.1,0.0191,0.25,AnAge
Melozone aberti,Aves,Passeriformes,Passerellidae,46.6,0.0466,0.73425,AnAge
Melozone fusca,Aves,Passeriformes,Passerellidae,43.7,0.0437,0.670615,AnAge
Passerculus sandwichensis,Aves,Passeriformes,Passerellidae,15.9,0.0159,0.221,AnAge
Pooecetes gramineus,Aves,Passeriformes,Passerellidae,21.5,0.0215,0.27412,AnAge
Spizella passerina,Aves,Passeriformes,Passerellidae,11.9,0.0119,0.1945,AnAge
Zonotrichia albicollis,Aves,Passeriformes,Passerellidae,20.2,0.0202,0.278,AnAge
Zonotrichia leucophrys,Aves,Passeriformes,Passerellidae,26.1,0.0261,0.336,AnAge
Zonotrichia querula,Aves,Passeriformes,Passerellidae,33.3,0.0333,0.4552,AnAge
Passer montanus,Aves,Passeriformes,Passeridae,17.5,0.0175,0.2007,AnAge
Phylloscopus collybita,Aves,Passeriformes,Phylloscopidae,8.2,0.0082,0.165,AnAge
Phylloscopus trochilus,Aves,Passeriformes,Phylloscopidae,10.7,0.0107,0.208,AnAge
Prunella modularis,Aves,Passeriformes,Prunellidae,16.8,0.0168,0.325,AnAge
Regulus regulus,Aves,Passeriformes,Regulidae,5.5,0.0055,0.184,AnAge
Acridotheres cristatellus,Aves,Passeriformes,Sturnidae,109.4,0.1094,1.2092,AnAge
Sturnus vulgaris,Aves,Passeriformes,Sturnidae,75,0.075,0.877,AnAge
Sylvia borin,Aves,Passeriformes,Sylviidae,24.8,0.0248,0.416,AnAge
Sylvia curruca,Aves,Passeriformes,Sylviidae,10.6,0.0106,0.199,AnAge
Troglodytes troglodytes,Aves,Passeriformes,Troglodytidae,9,0.009,0.213,AnAge
Sialia mexicana,Aves,Passeriformes,Turdidae,27.5,0.0275,0.423,AnAge
Turdus iliacus,Aves,Passeriformes,Turdidae,58,0.058,0.722,AnAge
Turdus philomelos,Aves,Passeriformes,Turdidae,62.8,0.0628,0.726,AnAge
Contopus virens,Aves,Passeriformes,Tyrannidae,13.9,0.0139,0.2576,AnAge
Empidonax virescens,Aves,Passeriformes,Tyrannidae,12.3,0.0123,0.1795,AnAge
Myiarchus crinitus,Aves,Passeriformes,Tyrannidae,33.9,0.0339,0.384,AnAge
Sayornis phoebe,Aves,Passeriformes,Tyrannidae,21.6,0.0216,0.3449,AnAge
Tyrannus tyrannus,Aves,Passeriformes,Tyrannidae,35.7,0.0357,0.4372,AnAge
Botaurus lentiginosus,Aves,Pelecaniformes,Ardeidae,600,0.6,2.7412,AnAge
Melanerpes formicivorus,Aves,Piciformes,Picidae,73,0.073,0.737,AnAge
Picoides pubescens,Aves,Piciformes,Picidae,21.7,0.0217,0.383,AnAge
Diomedea exulans,Aves,Procellariiformes,Diomedeidae,8130,8.13,20.3649,AnAge
Phoebastria immutabilis,Aves,Procellariiformes,Diomedeidae,2522,2.522,7.462,AnAge
Thalassarche chrysostoma,Aves,Procellariiformes,Diomedeidae,3753,3.753,8.5312,AnAge
Bulweria bulwerii,Aves,Procellariiformes,Procellariidae,87,0.087,0.513975,AnAge
Puffinus nativitatis,Aves,Procellariiformes,Procellariidae,307.6,0.3076,1.48808,AnAge
Barnardius zonarius,Aves,Psittaciformes,Psittacidae,137,0.137,0.718,AnAge
Cacatua galerita,Aves,Psittaciformes,Psittacidae,776.1,0.7761,3.419,AnAge
Eolophus roseicapilla,Aves,Psittaciformes,Psittacidae,268.7,0.2687,1.248,AnAge
Melopsittacus undulatus,Aves,Psittaciformes,Psittacidae,25.2,0.0252,0.3035,AnAge
Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,80.4,0.0804,0.5189,AnAge
Aptenodytes patagonicus,Aves,Sphenisciformes,Spheniscidae,13270,13.27,25.889,AnAge
Aegolius acadicus,Aves,Strigiformes,Strigidae,124,0.124,0.654,AnAge
Asio otus,Aves,Strigiformes,Strigidae,252,0.252,0.954,AnAge
Bubo scandiacus,Aves,Strigiformes,Strigidae,2026,2.026,4.2244,AnAge
Bubo virginianus,Aves,Strigiformes,Strigidae,1450,1.45,5.2442,AnAge
Megascops asio,Aves,Strigiformes,Strigidae,166,0.166,0.586,AnAge
Micrathene whitneyi,Aves,Strigiformes,Strigidae,45.9,0.0459,0.259435,AnAge
Strix occidentalis,Aves,Strigiformes,Strigidae,571,0.571,2.675,AnAge
Struthio camelus,Aves,Struthioniformes,Struthionidae,100000,100,69.6339,AnAge
Anhinga anhinga,Aves,Suliformes,Anhingidae,1040,1.04,3.2258,AnAge
Phalacrocorax auritus,Aves,Suliformes,Phalacrocoracidae,1330,1.33,5.6096,AnAge
Sula dactylatra,Aves,Suliformes,Sulidae,1289,1.289,5.5209,AnAge
