species,class,order,family,mass_g,mass_kg,max_longevity_years,source
Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,121350,121.35,20.8,AnAge
Ourebia ourebi,Mammalia,Artiodactyla,Bovidae,17000,17,15.9,AnAge
Ovibos moschatus,Mammalia,Artiodactyla,Bovidae,315000,315,27.4,AnAge
Ovis ammon,Mammalia,Artiodactyla,Bovidae,160000,160,16.8,AnAge
Ovis aries,Mammalia,Artiodactyla,Bovidae,80000,80,22.8,AnAge
Ovis canadensis,Mammalia,Artiodactyla,Bovidae,67030.8,67.0308,20.6,AnAge
Ovis dalli,Mammalia,Artiodactyla,Bovidae,73100,73.1,19.6,AnAge
Philantomba maxwellii,Mammalia,Artiodactyla,Bovidae,7000,7,18.3,AnAge
Philantomba monticola,Mammalia,Artiodactyla,Bovidae,4200,4.2,15.9,AnAge
Procapra gutturosa,Mammalia,Artiodactyla,Bovidae,30000,30,12,AnAge
Pseudois nayaur,Mammalia,Artiodactyla,Bovidae,55000,55,20.9,AnAge
Raphicerus campestris,Mammalia,Artiodactyla,Bovidae,9600,9.6,9.3,AnAge
Redunca arundinum,Mammalia,Artiodactyla,Bovidae,58000,58,16.8,AnAge
Redunca fulvorufula,Mammalia,Artiodactyla,Bovidae,30000,30,15,AnAge
Rupicapra rupicapra,Mammalia,Artiodactyla,Bovidae,37500,37.5,17.6,AnAge
Sylvicapra grimmia,Mammalia,Artiodactyla,Bovidae,18500,18.5,15.4,AnAge
Syncerus caffer,Mammalia,Artiodactyla,Bovidae,700000,700,32.8,AnAge
Taurotragus derbianus,Mammalia,Artiodactyla,Bovidae,680000,680,20.3,AnAge
Taurotragus oryx,Mammalia,Artiodactyla,Bovidae,141404,141.404,26.1,AnAge
Tetracerus quadricornis,Mammalia,Artiodactyla,Bovidae,19000,19,17.4,AnAge
Tragelaphus angasii,Mammalia,Artiodactyla,Bovidae,120000,120,23,AnAge
Tragelaphus eurycerus,Mammalia,Artiodactyla,Bovidae,307500,307.5,22,AnAge
Tragelaphus imberbis,Mammalia,Artiodactyla,Bovidae,82500,82.5,19.8,AnAge
Tragelaphus scriptus,Mammalia,Artiodactyla,Bovidae,60000,60,15.3,AnAge
Tragelaphus spekii,Mammalia,Artiodactyla,Bovidae,87500,87.5,22.6,AnAge
Tragelaphus strepsiceros,Mammalia,Artiodactyla,Bovidae,217500,217.5,23.5,AnAge
Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,475000,475,35.4,AnAge
Camelus dromedarius,Mammalia,Artiodactyla,Camelidae,407000,407,28.4,AnAge
Lama glama,Mammalia,Artiodactyla,Camelidae,115000,115,28.9,AnAge
Lama guanicoe,Mammalia,Artiodactyla,Camelidae,127500,127.5,33.7,AnAge
Vicugna pacos,Mammalia,Artiodactyla,Camelidae,62000,62,25.8,AnAge
Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,50000,50,31.6,AnAge
Axis axis,Mammalia,Artiodactyla,Cervidae,36000,36,20.8,AnAge
Axis calamianensis,Mammalia,Artiodactyla,Cervidae,40500,40.5,17.2,AnAge
Axis kuhlii,Mammalia,Artiodactyla,Cervidae,55000,55,17.8,AnAge
Axis porcinus,Mammalia,Artiodactyla,Cervidae,43000,43,22.9,AnAge
Capreolus capreolus,Mammalia,Artiodactyla,Cervidae,21500,21.5,17.5,AnAge
Cervus elaphus,Mammalia,Artiodactyla,Cervidae,67000,67,31.5,AnAge
Cervus nippon,Mammalia,Artiodactyla,Cervidae,42000,42,26.3,AnAge
Dama dama,Mammalia,Artiodactyla,Cervidae,70000,70,27,AnAge
Elaphodus cephalophus,Mammalia,Artiodactyla,Cervidae,33500,33.5,22.7,AnAge
Elaphurus davidianus,Mammalia,Artiodactyla,Cervidae,186500,186.5,27.5,AnAge
Hydropotes inermis,Mammalia,Artiodactyla,Cervidae,11500,11.5,13.9,AnAge
Mazama americana,Mammalia,Artiodactyla,Cervidae,33000,33,17.1,AnAge
Mazama gouazoubira,Mammalia,Artiodactyla,Cervidae,17000,17,14.8,AnAge
Muntiacus muntjak,Mammalia,Artiodactyla,Cervidae,21000,21,18.8,AnAge
Muntiacus reevesi,Mammalia,Artiodactyla,Cervidae,18000,18,23.2,AnAge
Odocoileus hemionus,Mammalia,Artiodactyla,Cervidae,57000,57,22,AnAge
Odocoileus virginianus,Mammalia,Artiodactyla,Cervidae,61862.5,61.8625,23,AnAge
Ozotoceros bezoarticus,Mammalia,Artiodactyla,Cervidae,32500,32.5,21.9,AnAge
Przewalskium albirostre,Mammalia,Artiodactyla,Cervidae,135000,135,21.3,AnAge
Pudu puda,Mammalia,Artiodactyla,Cervidae,10000,10,18.3,AnAge
Rangifer tarandus,Mammalia,Artiodactyla,Cervidae,85000,85,21.8,AnAge
Rucervus duvaucelii,Mammalia,Artiodactyla,Cervidae,170000,170,24.5,AnAge
Rucervus eldii,Mammalia,Artiodactyla,Cervidae,122500,122.5,20.5,AnAge
Rusa alfredi,Mammalia,Artiodactyla,Cervidae,46475,46.475,18.5,AnAge
Rusa timorensis,Mammalia,Artiodactyla,Cervidae,63000,63,21.1,AnAge
Rusa unicolor,Mammalia,Artiodactyla,Cervidae,185000,185,26.4,AnAge
Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,800000,800,39.5,AnAge
Okapia johnstoni,Mammalia,Artiodactyla,Giraffidae,225000,225,33.5,AnAge
Hexaprotodon liberiensis,Mammalia,Artiodactyla,Hippopotamidae,215000,215,42.3,AnAge
Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,3750000,3750,61.2,AnAge
Babyrousa babyrussa,Mammalia,Artiodactyla,Suidae,71500,71.5,22.9,AnAge
Phacochoerus africanus,Mammalia,Artiodactyla,Suidae,100000,100,30,AnAge
Potamochoerus porcus,Mammalia,Artiodactyla,Suidae,88000,88,22,AnAge
Sus barbatus,Mammalia,Artiodactyla,Suidae,102750,102.75,16.2,AnAge
Sus salvanius,Mammalia,Artiodactyla,Suidae,8000,8,14,AnAge
Sus scrofa,Mammalia,Artiodactyla,Suidae,135000,135,27,AnAge
Sus verrucosus,Mammalia,Artiodactyla,Suidae,76000,76,17,AnAge
Pecari tajacu,Mammalia,Artiodactyla,Tayassuidae,20500,20.5,31.5,AnAge
Tayassu pecari,Mammalia,Artiodactyla,Tayassuidae,22000,22,28.5,AnAge
Moschiola meminna,Mammalia,Artiodactyla,Tragulidae,2450,2.45,14.5,AnAge
Tragulus javanicus,Mammalia,Artiodactyla,Tragulidae,1615.5,1.6155,14,AnAge
Tragulus napu,Mammalia,Artiodactyla,Tragulidae,6500,6.5,16.7,AnAge
Ailurus fulgens,Mammalia,Carnivora,Ailuridae,5740,5.74,19,AnAge
Atelocynus microtis,Mammalia,Carnivora,Canidae,9500,9.5,11.9,AnAge
Canis adustus,Mammalia,Carnivora,Canidae,10250,10.25,13.7,AnAge
Canis aureus,Mammalia,Carnivora,Canidae,11000,11,18.8,AnAge
Canis familiaris,Mammalia,Carnivora,Canidae,40000,40,27,AnAge
Canis latrans,Mammalia,Carnivora,Canidae,10148.9,10.1489,21.8,AnAge
Canis lupus,Mammalia,Carnivora,Canidae,26625,26.625,20.6,AnAge
Canis mesomelas,Mammalia,Carnivora,Canidae,7720,7.72,16.7,AnAge
Cerdocyon thous,Mammalia,Carnivora,Canidae,5444,5.444,12.7,AnAge
Chrysocyon brachyurus,Mammalia,Carnivora,Canidae,21500,21.5,16.8,AnAge
Cuon alpinus,Mammalia,Carnivora,Canidae,15750,15.75,16.1,AnAge
Lycalopex culpaeus,Mammalia,Carnivora,Canidae,13000,13,13.1,AnAge
Lycalopex griseus,Mammalia,Carnivora,Canidae,3990,3.99,10.9,AnAge
Lycalopex gymnocercus,Mammalia,Carnivora,Canidae,8500,8.5,13.7,AnAge
Lycalopex sechurae,Mammalia,Carnivora,Canidae,4000,4,9.9,AnAge
Lycalopex vetulus,Mammalia,Carnivora,Canidae,5350,5.35,12.6,AnAge
Lycaon pictus,Mammalia,Carnivora,Canidae,8750,8.75,17,AnAge
Nyctereutes procyonoides,Mammalia,Carnivora,Canidae,6500,6.5,16.6,AnAge
Otocyon megalotis,Mammalia,Carnivora,Canidae,4150,4.15,17,AnAge
Speothos venaticus,Mammalia,Carnivora,Canidae,6000,6,14.1,AnAge
Urocyon cinereoargenteus,Mammalia,Carnivora,Canidae,4750,4.75,16.2,AnAge
Vulpes corsac,Mammalia,Carnivora,Canidae,2700,2.7,13,AnAge
Vulpes lagopus,Mammalia,Carnivora,Canidae,3600,3.6,16.3,AnAge
Vulpes macrotis,Mammalia,Carnivora,Canidae,1769,1.769,15.8,AnAge
Vulpes pallida,Mammalia,Carnivora,Canidae,2800,2.8,16,AnAge
Vulpes rueppellii,Mammalia,Carnivora,Canidae,3200,3.2,14.3,AnAge
Vulpes velox,Mammalia,Carnivora,Canidae,1769,1.769,15.9,AnAge
Vulpes vulpes,Mammalia,Carnivora,Canidae,4580.3,4.5803,21.3,AnAge
Vulpes zerda,Mammalia,Carnivora,Canidae,1159.2,1.1592,16.3,AnAge
Cryptoprocta ferox,Mammalia,Carnivora,Eupleridae,9500,9.5,23.1,AnAge
Fossa fossana,Mammalia,Carnivora,Eupleridae,2260,2.26,21.4,AnAge
Galidia elegans,Mammalia,Carnivora,Eupleridae,800,0.8,26,AnAge
Acinonyx jubatus,Mammalia,Carnivora,Felidae,38446.1,38.4461,20.5,AnAge
Caracal caracal,Mammalia,Carnivora,Felidae,16000,16,20.3,AnAge
Catopuma temminckii,Mammalia,Carnivora,Felidae,13500,13.5,23,AnAge
Felis catus,Mammalia,Carnivora,Felidae,3900,3.9,30,AnAge
Felis chaus,Mammalia,Carnivora,Felidae,10000,10,20,AnAge
Felis manul,Mammalia,Carnivora,Felidae,3500,3.5,15.9,AnAge
Felis margarita,Mammalia,Carnivora,Felidae,2750,2.75,13.9,AnAge
Felis nigripes,Mammalia,Carnivora,Felidae,2125,2.125,15.6,AnAge
Felis silvestris,Mammalia,Carnivora,Felidae,5500,5.5,19,AnAge
Leopardus colocolo,Mammalia,Carnivora,Felidae,2950,2.95,19.6,AnAge
Leopardus geoffroyi,Mammalia,Carnivora,Felidae,4000,4,23,AnAge
Leopardus pardalis,Mammalia,Carnivora,Felidae,10500,10.5,28.2,AnAge
Leopardus tigrinus,Mammalia,Carnivora,Felidae,2250,2.25,21.9,AnAge
Leopardus wiedii,Mammalia,Carnivora,Felidae,3600,3.6,24,AnAge
Leptailurus serval,Mammalia,Carnivora,Felidae,1012,1.012,22.4,AnAge
Lynx canadensis,Mammalia,Carnivora,Felidae,10100,10.1,26.8,AnAge
Lynx lynx,Mammalia,Carnivora,Felidae,23000,23,26,AnAge
Lynx rufus,Mammalia,Carnivora,Felidae,9400,9.4,32.3,AnAge
Neofelis nebulosa,Mammalia,Carnivora,Felidae,19500,19.5,19.8,AnAge
Panthera leo,Mammalia,Carnivora,Felidae,98000,98,28,AnAge
Panthera onca,Mammalia,Carnivora,Felidae,50400,50.4,28,AnAge
Panthera pardus,Mammalia,Carnivora,Felidae,53750,53.75,27.3,AnAge
Panthera tigris,Mammalia,Carnivora,Felidae,137900,137.9,26.3,AnAge
Prionailurus bengalensis,Mammalia,Carnivora,Felidae,5000,5,17,AnAge
Prionailurus planiceps,Mammalia,Carnivora,Felidae,6750,6.75,14,AnAge
Prionailurus rubiginosus,Mammalia,Carnivora,Felidae,1350,1.35,17.9,AnAge
Prionailurus viverrinus,Mammalia,Carnivora,Felidae,10650,10.65,17.2,AnAge
Profelis aurata,Mammalia,Carnivora,Felidae,10650,10.65,21,AnAge
Puma concolor,Mammalia,Carnivora,Felidae,37200,37.2,27,AnAge
Puma yagouaroundi,Mammalia,Carnivora,Felidae,8400,8.4,18.6,AnAge
Uncia uncia,Mammalia,Carnivora,Felidae,50000,50,21.2,AnAge
Atilax paludinosus,Mammalia,Carnivora,Herpestidae,3300,3.3,20.8,AnAge
Bdeogale nigripes,Mammalia,Carnivora,Herpestidae,2000,2,15.8,AnAge
Crossarchus obscurus,Mammalia,Carnivora,Herpestidae,790,0.79,13.3,AnAge
Cynictis penicillata,Mammalia,Carnivora,Herpestidae,598.5,0.5985,15.2,AnAge
Galerella pulverulenta,Mammalia,Carnivora,Herpestidae,650,0.65,11.7,AnAge
Galerella sanguinea,Mammalia,Carnivora,Herpestidae,519.6,0.5196,12.6,AnAge
Helogale parvula,Mammalia,Carnivora,Herpestidae,274.8,0.2748,20,AnAge
Herpestes edwardsi,Mammalia,Carnivora,Herpestidae,1000,1,12.3,AnAge
Herpestes javanicus,Mammalia,Carnivora,Herpestidae,611,0.611,16.6,AnAge
Herpestes smithii,Mammalia,Carnivora,Herpestidae,1702.5,1.7025,17.8,AnAge
Herpestes urva,Mammalia,Carnivora,Herpestidae,1863.2,1.8632,13.3,AnAge
Herpestes vitticollis,Mammalia,Carnivora,Herpestidae,2250,2.25,12.8,AnAge
Ichneumia albicauda,Mammalia,Carnivora,Herpestidae,3500,3.5,14.8,AnAge
Mungos mungo,Mammalia,Carnivora,Herpestidae,1331.5,1.3315,17.4,AnAge
Suricata suricatta,Mammalia,Carnivora,Herpestidae,850,0.85,20.6,AnAge
Crocuta crocuta,Mammalia,Carnivora,Hyaenidae,63000,63,41.1,AnAge
Hyaena brunnea,Mammalia,Carnivora,Hyaenidae,42250,42.25,31.9,AnAge
Hyaena hyaena,Mammalia,Carnivora,Hyaenidae,34300,34.3,25,AnAge
Proteles cristata,Mammalia,Carnivora,Hyaenidae,7902.6,7.9026,20,AnAge
Conepatus chinga,Mammalia,Carnivora,Mephitidae,3400,3.4,10,AnAge
Conepatus leuconotus,Mammalia,Carnivora,Mephitidae,1900,1.9,10.2,AnAge
Mephitis mephitis,Mammalia,Carnivora,Mephitidae,3500,3.5,13.9,AnAge
Spilogale putorius,Mammalia,Carnivora,Mephitidae,624,0.624,10.5,AnAge
Aonyx capensis,Mammalia,Carnivora,Mustelidae,23500,23.5,14.2,AnAge
Aonyx cinereus,Mammalia,Carnivora,Mustelidae,3000,3,23,AnAge
Arctonyx collaris,Mammalia,Carnivora,Mustelidae,10500,10.5,15.8,AnAge
Eira barbara,Mammalia,Carnivora,Mustelidae,2950,2.95,22.3,AnAge
Enhydra lutris,Mammalia,Carnivora,Mustelidae,26832.8,26.8328,27,AnAge
Galictis cuja,Mammalia,Carnivora,Mustelidae,1000,1,10.2,AnAge
Galictis vittata,Mammalia,Carnivora,Mustelidae,2300,2.3,12.5,AnAge
Gulo gulo,Mammalia,Carnivora,Mustelidae,12700,12.7,19.5,AnAge
Hydrictis maculicollis,Mammalia,Carnivora,Mustelidae,4000,4,22.9,AnAge
Ictonyx striatus,Mammalia,Carnivora,Mustelidae,910,0.91,14,AnAge
Lontra canadensis,Mammalia,Carnivora,Mustelidae,9000,9,27,AnAge
Lutra lutra,Mammalia,Carnivora,Mustelidae,10000,10,18.2,AnAge
Martes americana,Mammalia,Carnivora,Mustelidae,966.5,0.9665,17.8,AnAge
Martes flavigula,Mammalia,Carnivora,Mustelidae,2500,2.5,16,AnAge
Martes foina,Mammalia,Carnivora,Mustelidae,1700,1.7,18.2,AnAge
Martes martes,Mammalia,Carnivora,Mustelidae,920,0.92,18.2,AnAge
Martes pennanti,Mammalia,Carnivora,Mustelidae,3175,3.175,14.3,AnAge
Martes zibellina,Mammalia,Carnivora,Mustelidae,1066.7,1.0667,18.4,AnAge
Meles meles,Mammalia,Carnivora,Mustelidae,11050,11.05,18.6,AnAge
Mellivora capensis,Mammalia,Carnivora,Mustelidae,10000,10,31.3,AnAge
Melogale moschata,Mammalia,Carnivora,Mustelidae,672,0.672,19,AnAge
Mustela erminea,Mammalia,Carnivora,Mustelidae,125.5,0.1255,12.5,AnAge
Mustela eversmanii,Mammalia,Carnivora,Mustelidae,1350,1.35,9.1,AnAge
Mustela frenata,Mammalia,Carnivora,Mustelidae,225,0.225,8.8,AnAge
Mustela lutreola,Mammalia,Carnivora,Mustelidae,590,0.59,8.4,AnAge
Mustela nigripes,Mammalia,Carnivora,Mustelidae,1021,1.021,9.4,AnAge
Mustela nivalis,Mammalia,Carnivora,Mustelidae,46.9,0.0469,9.1,AnAge
Mustela putorius,Mammalia,Carnivora,Mustelidae,809,0.809,11.1,AnAge
Mustela sibirica,Mammalia,Carnivora,Mustelidae,565,0.565,8.8,AnAge
Neovison vison,Mammalia,Carnivora,Mustelidae,660,0.66,11.4,AnAge
Pteronura brasiliensis,Mammalia,Carnivora,Mustelidae,24000,24,17.3,AnAge
Taxidea taxus,Mammalia,Carnivora,Mustelidae,9000,9,25,AnAge
Vormela peregusna,Mammalia,Carnivora,Mustelidae,542.5,0.5425,8.8,AnAge
Nandinia binotata,Mammalia,Carnivora,Nandiniidae,4270,4.27,21,AnAge
Arctocephalus australis,Mammalia,Carnivora,Otariidae,110000,110,30.6,AnAge
Arctocephalus pusillus,Mammalia,Carnivora,Otariidae,127551,127.551,32.1,AnAge
Eumetopias jubatus,Mammalia,Carnivora,Otariidae,415000,415,32.8,AnAge
Neophoca cinerea,Mammalia,Carnivora,Otariidae,190000,190,24.1,AnAge
Otaria flavescens,Mammalia,Carnivora,Otariidae,207500,207.5,29,AnAge
Zalophus californianus,Mammalia,Carnivora,Otariidae,180000,180,35.7,AnAge
Halichoerus grypus,Mammalia,Carnivora,Phocidae,268000,268,42.9,AnAge
Phoca vitulina,Mammalia,Carnivora,Phocidae,27400,27.4,47.6,AnAge
Pusa hispida,Mammalia,Carnivora,Phocidae,90000,90,46,AnAge
Pusa sibirica,Mammalia,Carnivora,Phocidae,90000,90,56,AnAge
Bassaricyon alleni,Mammalia,Carnivora,Procyonidae,1235,1.235,25.2,AnAge
Bassaricyon gabbii,Mammalia,Carnivora,Procyonidae,1235,1.235,21.8,AnAge
Bassariscus astutus,Mammalia,Carnivora,Procyonidae,1015,1.015,19,AnAge
Bassariscus sumichrasti,Mammalia,Carnivora,Procyonidae,1280,1.28,24,AnAge
Nasua narica,Mammalia,Carnivora,Procyonidae,3670,3.67,26.4,AnAge
Nasua nasua,Mammalia,Carnivora,Procyonidae,3924.3,3.9243,23.7,AnAge
Potos flavus,Mammalia,Carnivora,Procyonidae,2318,2.318,38.4,AnAge
Procyon cancrivorus,Mammalia,Carnivora,Procyonidae,1160,1.16,19,AnAge
Procyon lotor,Mammalia,Carnivora,Procyonidae,4842.2,4.8422,21,AnAge
Ailuropoda melanoleuca,Mammalia,Carnivora,Ursidae,117500,117.5,36.8,AnAge
Helarctos malayanus,Mammalia,Carnivora,Ursidae,46000,46,35.9,AnAge
Melursus ursinus,Mammalia,Carnivora,Ursidae,66957,66.957,33.3,AnAge
Tremarctos ornatus,Mammalia,Carnivora,Ursidae,109250,109.25,39,AnAge
Ursus americanus,Mammalia,Carnivora,Ursidae,154250,154.25,34,AnAge
Ursus arctos,Mammalia,Carnivora,Ursidae,277500,277.5,40,AnAge
Ursus maritimus,Mammalia,Carnivora,Ursidae,475000,475,43.8,AnAge
Ursus thibetanus,Mammalia,Carnivora,Ursidae,103750,103.75,39.2,AnAge
Arctictis binturong,Mammalia,Carnivora,Viverridae,14280,14.28,27,AnAge
Arctogalidia trivirgata,Mammalia,Carnivora,Viverridae,2010,2.01,16.1,AnAge
Civettictis civetta,Mammalia,Carnivora,Viverridae,13666.7,13.6667,28,AnAge
Genetta genetta,Mammalia,Carnivora,Viverridae,1866.7,1.8667,22.7,AnAge
Genetta maculata,Mammalia,Carnivora,Viverridae,2225,2.225,20,AnAge
Genetta tigrina,Mammalia,Carnivora,Viverridae,1699,1.699,21.3,AnAge
Hemigalus derbyanus,Mammalia,Carnivora,Viverridae,2400,2.4,16,AnAge
Paguma larvata,Mammalia,Carnivora,Viverridae,4300,4.3,27.4,AnAge
Paradoxurus hermaphroditus,Mammalia,Carnivora,Viverridae,3282.6,3.2826,24.5,AnAge
Viverra civettina,Mammalia,Carnivora,Viverridae,12061,12.061,15.4,AnAge
Viverra tangalunga,Mammalia,Carnivora,Viverridae,7350,7.35,15,AnAge
Viverra zibetha,Mammalia,Carnivora,Viverridae,10000,10,21.7,AnAge
Balaena mysticetus,Mammalia,Cetacea,Balaenidae,1e+08,100000,211,AnAge
Eubalaena australis,Mammalia,Cetacea,Balaenidae,45000000,45000,70,AnAge
Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,23000000,23000,67,AnAge
Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,7500000,7500,50,AnAge
Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,20000000,20000,74,AnAge
Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,16000000,16000,72,AnAge
Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,1.36e+08,136000,110,AnAge
Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,70000000,70000,114,AnAge
Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,30000000,30000,95,AnAge
Delphinus delphis,Mammalia,Cetacea,Delphinidae,80000,80,25,AnAge
Globicephala macrorhynchus,Mammalia,Cetacea,Delphinidae,2200000,2200,63,AnAge
Globicephala melas,Mammalia,Cetacea,Delphinidae,1060000,1060,60,AnAge
Grampus griseus,Mammalia,Cetacea,Delphinidae,425000,425,42.5,AnAge
Lagenorhynchus acutus,Mammalia,Cetacea,Delphinidae,208000,208,27,AnAge
Lagenorhynchus obliquidens,Mammalia,Cetacea,Delphinidae,103000,103,46,AnAge
Orcaella brevirostris,Mammalia,Cetacea,Delphinidae,190000,190,30,AnAge
Orcinus orca,Mammalia,Cetacea,Delphinidae,3987500,3987.5,90,AnAge
Peponocephala electra,Mammalia,Cetacea,Delphinidae,206000,206,47,AnAge
Pseudorca crassidens,Mammalia,Cetacea,Delphinidae,748000,748,62.5,AnAge
Stenella attenuata,Mammalia,Cetacea,Delphinidae,112500,112.5,46,AnAge
Stenella coeruleoalba,Mammalia,Cetacea,Delphinidae,112500,112.5,57.5,AnAge
Steno bredanensis,Mammalia,Cetacea,Delphinidae,114000,114,32,AnAge
Tursiops truncatus,Mammalia,Cetacea,Delphinidae,200000,200,51.6,AnAge
Eschrichtius robustus,Mammalia,Cetacea,Eschrichtiidae,28500000,28500,77,AnAge
Berardius bairdii,Mammalia,Cetacea,Hyperoodontidae,11380000,11380,84,AnAge
Hyperoodon ampullatus,Mammalia,Cetacea,Hyperoodontidae,6500000,6500,37,AnAge
Mesoplodon europaeus,Mammalia,Cetacea,Hyperoodontidae,5600000,5600,48,AnAge
Ziphius cavirostris,Mammalia,Cetacea,Hyperoodontidae,2701000,2701,62,AnAge
Inia geoffrensis,Mammalia,Cetacea,Iniidae,84000,84,31.3,AnAge
Kogia breviceps,Mammalia,Cetacea,Kogiidae,424600,424.6,17,AnAge
Lipotes vexillifer,Mammalia,Cetacea,Lipotidae,83500,83.5,24,AnAge
Delphinapterus leucas,Mammalia,Cetacea,Monodontidae,1430000,1430,40,AnAge
Monodon monoceros,Mammalia,Cetacea,Monodontidae,1250000,1250,50,AnAge
Neophocaena phocaenoides,Mammalia,Cetacea,Phocoenidae,32500,32.5,33,AnAge
Phocoena phocoena,Mammalia,Cetacea,Phocoenidae,28500,28.5,20.4,AnAge
Phocoenoides dalli,Mammalia,Cetacea,Phocoenidae,120000,120,22,AnAge
Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,28500000,28500,77,AnAge
Saccopteryx bilineata,Mammalia,Chiroptera,Emballonuridae,7.8,0.0078,6,AnAge
Taphozous georgianus,Mammalia,Chiroptera,Emballonuridae,24.43,0.02443,4,AnAge
Taphozous hilli,Mammalia,Chiroptera,Emballonuridae,21.99,0.02199,8.8,AnAge
Hipposideros fulvus,Mammalia,Chiroptera,Hipposideridae,7,0.007,13,AnAge
Macroderma gigas,Mammalia,Chiroptera,Megadermatidae,126,0.126,22.6,AnAge
Megaderma lyra,Mammalia,Chiroptera,Megadermatidae,38.6,0.0386,14,AnAge
Miniopterus schreibersii,Mammalia,Chiroptera,Miniopteridae,10.9,0.0109,22,AnAge
Molossus molossus,Mammalia,Chiroptera,Molossidae,14,0.014,5.6,AnAge
Tadarida brasiliensis,Mammalia,Chiroptera,Molossidae,13.3,0.0133,12,AnAge
Tadarida teniotis,Mammalia,Chiroptera,Molossidae,35,0.035,13,AnAge
Mystacina tuberculata,Mammalia,Chiroptera,Mystacinidae,23.5,0.0235,7.6,AnAge
Noctilio leporinus,Mammalia,Chiroptera,Noctilionidae,61,0.061,11.8,AnAge
Anoura geoffroyi,Mammalia,Chiroptera,Phyllostomidae,15.2,0.0152,10,AnAge
Artibeus jamaicensis,Mammalia,Chiroptera,Phyllostomidae,46.1,0.0461,19.2,AnAge
Carollia perspicillata,Mammalia,Chiroptera,Phyllostomidae,14.9,0.0149,17,AnAge
Desmodus rotundus,Mammalia,Chiroptera,Phyllostomidae,29.4,0.0294,29.2,AnAge
Diphylla ecaudata,Mammalia,Chiroptera,Phyllostomidae,28,0.028,8,AnAge
Glossophaga soricina,Mammalia,Chiroptera,Phyllostomidae,9.6,0.0096,11,AnAge
Leptonycteris curasoae,Mammalia,Chiroptera,Phyllostomidae,25,0.025,10.1,AnAge
Macrotus californicus,Mammalia,Chiroptera,Phyllostomidae,11.7,0.0117,17,AnAge
Macrotus waterhousii,Mammalia,Chiroptera,Phyllostomidae,16,0.016,10.4,AnAge
Phyllostomus discolor,Mammalia,Chiroptera,Phyllostomidae,33.5,0.0335,9,AnAge
Phyllostomus hastatus,Mammalia,Chiroptera,Phyllostomidae,84.2,0.0842,18,AnAge
Platyrrhinus lineatus,Mammalia,Chiroptera,Phyllostomidae,21.9,0.0219,13,AnAge
Sturnira lilium,Mammalia,Chiroptera,Phyllostomidae,21.4,0.0214,12,AnAge
Cynopterus brachyotis,Mammalia,Chiroptera,Pteropodidae,37.2,0.0372,10.1,AnAge
Cynopterus sphinx,Mammalia,Chiroptera,Pteropodidae,75,0.075,10,AnAge
Dobsonia moluccensis,Mammalia,Chiroptera,Pteropodidae,312.4,0.3124,12.3,AnAge
Eidolon helvum,Mammalia,Chiroptera,Pteropodidae,306.25,0.30625,21.8,AnAge
Epomophorus gambianus,Mammalia,Chiroptera,Pteropodidae,80,0.08,7.8,AnAge
Epomophorus wahlbergi,Mammalia,Chiroptera,Pteropodidae,80,0.08,10.1,AnAge
Haplonycteris fischeri,Mammalia,Chiroptera,Pteropodidae,18,0.018,10,AnAge
Pteropus alecto,Mammalia,Chiroptera,Pteropodidae,672.1,0.6721,20.3,AnAge
Pteropus dasymallus,Mammalia,Chiroptera,Pteropodidae,435,0.435,24,AnAge
Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,562.2,0.5622,44,AnAge
Pteropus hypomelanus,Mammalia,Chiroptera,Pteropodidae,520.8,0.5208,20.3,AnAge
Pteropus livingstonii,Mammalia,Chiroptera,Pteropodidae,696.5,0.6965,15,AnAge
Pteropus lylei,Mammalia,Chiroptera,Pteropodidae,316.7,0.3167,20.4,AnAge
Pteropus niger,Mammalia,Chiroptera,Pteropodidae,456.3,0.4563,19.4,AnAge
Pteropus poliocephalus,Mammalia,Chiroptera,Pteropodidae,598,0.598,23.6,AnAge
Pteropus pselaphon,Mammalia,Chiroptera,Pteropodidae,321.49,0.32149,16.7,AnAge
Pteropus pumilus,Mammalia,Chiroptera,Pteropodidae,194.2,0.1942,17.2,AnAge
Pteropus rodricensis,Mammalia,Chiroptera,Pteropodidae,254.5,0.2545,28,AnAge
Pteropus scapulatus,Mammalia,Chiroptera,Pteropodidae,362,0.362,15.8,AnAge
Pteropus vampyrus,Mammalia,Chiroptera,Pteropodidae,1024.3,1.0243,20.9,AnAge
Rousettus aegyptiacus,Mammalia,Chiroptera,Pteropodidae,146,0.146,22.9,AnAge
