geoid,name,city_type,population,road_length_m,road_length_m_per_cap,year,source
4261000,Pittsburgh city,urban,302971,2176729.7,7.184614,2020,quantify-infrastructure_ssp2
4215232,Collingdale borough,urban,8908,44208.19,4.9627515,2020,quantify-infrastructure_ssp2
4269000,Scranton city,urban,76328,576961.79,7.5589796,2020,quantify-infrastructure_ssp2
4203088,Arnold city,urban,4772,44506.388,9.3265691,2020,quantify-infrastructure_ssp2
4219920,Drexel Hill CDP,urban,29181,183866.79,6.3009077,2020,quantify-infrastructure_ssp2
4459000,Providence city,urban,190934,890241.35,4.6625606,2020,quantify-infrastructure_ssp2
4414140,Central Falls city,urban,22583,49265.855,2.1815461,2020,quantify-infrastructure_ssp2
4454640,Pawtucket city,urban,75604,434513.21,5.7472252,2020,quantify-infrastructure_ssp2
4819000,Dallas city,urban,1304379,8799510,6.7461298,2020,quantify-infrastructure_ssp2
4801240,Addison town,urban,16661,83430.111,5.0075092,2020,quantify-infrastructure_ssp2
4835000,Houston city,urban,2304580,15386731,6.6765881,2020,quantify-infrastructure_ssp2
4967000,Salt Lake City city,urban,199723,1578409,7.9029908,2020,quantify-infrastructure_ssp2
5010675,Burlington city,urban,44743,234180.66,5.2339061,2020,quantify-infrastructure_ssp2
5101000,Alexandria city,urban,159467,530572.01,3.3271587,2020,quantify-infrastructure_ssp2
5104088,Bailey's Crossroads CDP,urban,24749,71050.45,2.8708413,2020,quantify-infrastructure_ssp2
5103000,Arlington CDP,urban,238643,967693.14,4.0549823,2020,quantify-infrastructure_ssp2
5139064,Huntington CDP,urban,13749,40611.537,2.9537811,2020,quantify-infrastructure_ssp2
5171216,Seven Corners CDP,urban,9131,21272.722,2.3297254,2020,quantify-infrastructure_ssp2
5187410,Woodlawn CDP,urban,20859,94241.59,4.5180301,2020,quantify-infrastructure_ssp2
5148450,McNair CDP,urban,21598,79300.859,3.6716761,2020,quantify-infrastructure_ssp2
5166672,Reston CDP,urban,63226,365598.65,5.7824099,2020,quantify-infrastructure_ssp2
5363000,Seattle city,urban,737015,3956322,5.3680346,2020,quantify-infrastructure_ssp2
5305210,Bellevue city,urban,151854,1093180.5,7.1988916,2020,quantify-infrastructure_ssp2
5573725,Shorewood village,urban,13859,81743.116,5.8981973,2020,quantify-infrastructure_ssp2
5548000,Madison city,urban,269840,2078679.5,7.7033779,2020,quantify-infrastructure_ssp2
5553000,Milwaukee city,urban,577222,3284753.1,5.6906236,2020,quantify-infrastructure_ssp2
