species,order,family,mass_g,mass_kg,max_longevity_months,max_longevity_years,source
Hippotragus niger,Artiodactyla,Bovidae,236405.9,236.4059,267,22.25,PanTHERIA_WR05
Histriophoca fasciata,Carnivora,Phocidae,90000,90,372,31,PanTHERIA_WR05
Homo sapiens,Primates,Hominidae,58540.63,58.54063,1470,122.5,PanTHERIA_WR05
Hyaena brunnea,Carnivora,Hyaenidae,42977.93,42.97793,204,17,PanTHERIA_WR05
Hyaena hyaena,Carnivora,Hyaenidae,35070.51,35.07051,288,24,PanTHERIA_WR05
Hydrochoerus hydrochaeris,Rodentia,Caviidae,48144.91,48.14491,144,12,PanTHERIA_WR05
Hydromys chrysogaster,Rodentia,Muridae,626.17,0.62617,74,6.1666667,PanTHERIA_WR05
Hydropotes inermis,Artiodactyla,Cervidae,12760.04,12.76004,144,12,PanTHERIA_WR05
Hydrurga leptonyx,Carnivora,Phocidae,352675.48,352.67548,312,26,PanTHERIA_WR05
Hyemoschus aquaticus,Artiodactyla,Tragulidae,10850,10.85,168,14,PanTHERIA_WR05
Hylobates agilis,Primates,Hylobatidae,5829.08,5.82908,528,44,PanTHERIA_WR05
Hylobates lar,Primates,Hylobatidae,5578.61,5.57861,480,40,PanTHERIA_WR05
Lasionycteris noctivagans,Chiroptera,Vespertilionidae,11.02,0.01102,144,12,PanTHERIA_WR05
Lasiurus cinereus,Chiroptera,Vespertilionidae,27.06,0.02706,25.2,2.1,PanTHERIA_WR05
Marmosa mexicana,Didelphimorphia,Didelphidae,49.06,0.04906,84,7,PanTHERIA_WR05
Marmosa robinsoni,Didelphimorphia,Didelphidae,60.57,0.06057,24,2,PanTHERIA_WR05
Hylobates pileatus,Primates,Hylobatidae,5542.37,5.54237,432,36,PanTHERIA_WR05
Hylochoerus meinertzhageni,Artiodactyla,Suidae,198130.47,198.13047,216,18,PanTHERIA_WR05
Hyperoodon ampullatus,Cetacea,Ziphiidae,3393361.1,3393.3611,444,37,PanTHERIA_WR05
Hypsiprymnodon moschatus,Diprotodontia,Hypsiprymnodontidae,534.25,0.53425,72,6,PanTHERIA_WR05
Hystrix africaeaustralis,Rodentia,Hystricidae,14936.02,14.93602,240,20,PanTHERIA_WR05
Hystrix brachyura,Rodentia,Hystricidae,8000,8,327.6,27.3,PanTHERIA_WR05
Hystrix pumila,Rodentia,Hystricidae,3544.26,3.54426,114,9.5,PanTHERIA_WR05
Ichneumia albicauda,Carnivora,Herpestidae,3628.4,3.6284,144,12,PanTHERIA_WR05
Ictonyx libyca,Carnivora,Mustelidae,225.18,0.22518,60,5,PanTHERIA_WR05
Ictonyx striatus,Carnivora,Mustelidae,811.02,0.81102,160,13.333333,PanTHERIA_WR05
Idionycteris phyllotis,Chiroptera,Vespertilionidae,12.13,0.01213,38,3.1666667,PanTHERIA_WR05
Inia geoffrensis,Cetacea,Iniidae,121430.76,121.43076,360,30,PanTHERIA_WR05
Isoodon macrourus,Peramelemorphia,Peramelidae,1505.77,1.50577,36,3,PanTHERIA_WR05
Isoodon obesulus,Peramelemorphia,Peramelidae,824.76,0.82476,45,3.75,PanTHERIA_WR05
Kerodon rupestris,Rodentia,Caviidae,799.15,0.79915,132,11,PanTHERIA_WR05
Kobus ellipsiprymnus,Artiodactyla,Bovidae,204393.48,204.39348,239.04,19.92,PanTHERIA_WR05
Kobus kob,Artiodactyla,Bovidae,80035.21,80.03521,263.04,21.92,PanTHERIA_WR05
Kobus leche,Artiodactyla,Bovidae,88645.04,88.64504,222.96,18.58,PanTHERIA_WR05
Kobus megaceros,Artiodactyla,Bovidae,85805.93,85.80593,224.04,18.67,PanTHERIA_WR05
Kogia breviceps,Cetacea,Physeteridae,431500,431.5,204,17,PanTHERIA_WR05
Lagenorhynchus acutus,Cetacea,Delphinidae,186517.55,186.51755,324,27,PanTHERIA_WR05
Lagenorhynchus obliquidens,Cetacea,Delphinidae,109694.46,109.69446,300,25,PanTHERIA_WR05
Lagidium peruanum,Rodentia,Chinchillidae,1220,1.22,234,19.5,PanTHERIA_WR05
Lagorchestes conspicillatus,Diprotodontia,Macropodidae,2821.01,2.82101,72,6,PanTHERIA_WR05
Lagorchestes hirsutus,Diprotodontia,Macropodidae,1407.14,1.40714,96,8,PanTHERIA_WR05
Meriones unguiculatus,Rodentia,Muridae,57.75,0.05775,24,2,PanTHERIA_WR05
Meriones vinogradovi,Rodentia,Muridae,117,0.117,40,3.3333333,PanTHERIA_WR05
Mesembriomys gouldii,Rodentia,Muridae,716.49,0.71649,46.8,3.9,PanTHERIA_WR05
Monachus monachus,Carnivora,Phocidae,294881.33,294.88133,284.4,23.7,PanTHERIA_WR05
Monachus schauinslandi,Carnivora,Phocidae,222999.99,222.99999,360,30,PanTHERIA_WR05
Monodelphis brevicaudata,Didelphimorphia,Didelphidae,78.84,0.07884,12,1,PanTHERIA_WR05
Monodelphis dimidiata,Didelphimorphia,Didelphidae,44.56,0.04456,12,1,PanTHERIA_WR05
Monodelphis domestica,Didelphimorphia,Didelphidae,93.45,0.09345,72,6,PanTHERIA_WR05
Megaptera novaeangliae,Cetacea,Balaenopteridae,30000000,30000,1140,95,PanTHERIA_WR05
Meles meles,Carnivora,Mustelidae,11884.03,11.88403,194.4,16.2,PanTHERIA_WR05
Mellivora capensis,Carnivora,Mustelidae,8999.99,8.99999,318,26.5,PanTHERIA_WR05
Miopithecus talapoin,Primates,Cercopithecidae,1248.86,1.24886,370.8,30.9,PanTHERIA_WR05
Mirounga angustirostris,Carnivora,Phocidae,1112390.8,1112.3908,243.5,20.291667,PanTHERIA_WR05
Mirounga leonina,Carnivora,Phocidae,1600000,1600,276,23,PanTHERIA_WR05
Mirza coquereli,Primates,Cheirogaleidae,326.5,0.3265,183.6,15.3,PanTHERIA_WR05
Mogera imaizumii,Soricomorpha,Talpidae,65.53,0.06553,42,3.5,PanTHERIA_WR05
Mogera wogura,Soricomorpha,Talpidae,96.88,0.09688,42,3.5,PanTHERIA_WR05
Monodon monoceros,Cetacea,Monodontidae,938126.44,938.12644,480,40,PanTHERIA_WR05
Mungos mungo,Carnivora,Herpestidae,1260,1.26,144,12,PanTHERIA_WR05
Marmota flaviventris,Rodentia,Sciuridae,3709.73,3.70973,96,8,PanTHERIA_WR05
Marmota marmota,Rodentia,Sciuridae,4059.15,4.05915,216,18,PanTHERIA_WR05
Marmota monax,Rodentia,Sciuridae,3880.93,3.88093,120,10,PanTHERIA_WR05
Lemmus lemmus,Rodentia,Cricetidae,67.62,0.06762,24,2,PanTHERIA_WR05
Lasiorhinus krefftii,Diprotodontia,Vombatidae,31849.99,31.84999,360,30,PanTHERIA_WR05
Lasiorhinus latifrons,Diprotodontia,Vombatidae,26163.8,26.1638,294,24.5,PanTHERIA_WR05
Lemniscomys striatus,Rodentia,Muridae,43.65,0.04365,30,2.5,PanTHERIA_WR05
Lemur catta,Primates,Lemuridae,2626.48,2.62648,360,30,PanTHERIA_WR05
Lenothrix canus,Rodentia,Muridae,150,0.15,45.6,3.8,PanTHERIA_WR05
Leontopithecus rosalia,Primates,Cebidae,592.52,0.59252,297.6,24.8,PanTHERIA_WR05
Leopardus pardalis,Carnivora,Felidae,11880,11.88,243.6,20.3,PanTHERIA_WR05
Leopardus wiedii,Carnivora,Felidae,3270.81,3.27081,240,20,PanTHERIA_WR05
Leopoldamys sabanus,Rodentia,Muridae,347.61,0.34761,24,2,PanTHERIA_WR05
Lepilemur leucopus,Primates,Lepilemuridae,599.99,0.59999,103,8.5833333,PanTHERIA_WR05
Lepilemur mustelinus,Primates,Lepilemuridae,669.03,0.66903,144,12,PanTHERIA_WR05
Leptailurus serval,Carnivora,Felidae,11999.96,11.99996,276,23,PanTHERIA_WR05
Leptonychotes weddellii,Carnivora,Phocidae,400000,400,300,25,PanTHERIA_WR05
Leptonycteris yerbabuenae,Chiroptera,Phyllostomidae,22.24,0.02224,120,10,PanTHERIA_WR05
Lepus americanus,Lagomorpha,Leporidae,1568.42,1.56842,96,8,PanTHERIA_WR05
Lepus arcticus,Lagomorpha,Leporidae,4412.73,4.41273,84,7,PanTHERIA_WR05
Lepus californicus,Lagomorpha,Leporidae,2422.48,2.42248,81.6,6.8,PanTHERIA_WR05
Lepus europaeus,Lagomorpha,Leporidae,3816.43,3.81643,144,12,PanTHERIA_WR05
Lepus townsendii,Lagomorpha,Leporidae,3371.64,3.37164,96,8,PanTHERIA_WR05
Liomys adspersus,Rodentia,Heteromyidae,50.99,0.05099,21,1.75,PanTHERIA_WR05
Litocranius walleri,Artiodactyla,Bovidae,38804.37,38.80437,156,13,PanTHERIA_WR05
Lobodon carcinophaga,Carnivora,Phocidae,224999.99,224.99999,468,39,PanTHERIA_WR05
Lontra canadensis,Carnivora,Mustelidae,8087.42,8.08742,300,25,PanTHERIA_WR05
Lophiomys imhausi,Rodentia,Cricetidae,755,0.755,90,7.5,PanTHERIA_WR05
Lophocebus albigena,Primates,Cercopithecidae,7418.71,7.41871,392.4,32.7,PanTHERIA_WR05
Lophocebus aterrimus,Primates,Cercopithecidae,6510.37,6.51037,321.6,26.8,PanTHERIA_WR05
Loris tardigradus,Primates,Lorisidae,249.22,0.24922,196.8,16.4,PanTHERIA_WR05
Loxodonta africana,Proboscidea,Elephantidae,3824539.9,3824.5399,960,80,PanTHERIA_WR05
Lutra lutra,Carnivora,Mustelidae,8868.69,8.86869,264,22,PanTHERIA_WR05
Lutreolina crassicaudata,Didelphimorphia,Didelphidae,554.77,0.55477,36,3,PanTHERIA_WR05
Lutrogale perspicillata,Carnivora,Mustelidae,8912.49,8.91249,180,15,PanTHERIA_WR05
Lycalopex gymnocercus,Carnivora,Canidae,4542.67,4.54267,164.4,13.7,PanTHERIA_WR05
Lycaon pictus,Carnivora,Canidae,21999.99,21.99999,132,11,PanTHERIA_WR05
Lynx canadensis,Carnivora,Felidae,9682.82,9.68282,321,26.75,PanTHERIA_WR05
Lynx lynx,Carnivora,Felidae,19300,19.3,321.6,26.8,PanTHERIA_WR05
Lynx rufus,Carnivora,Felidae,6374.47,6.37447,388,32.333333,PanTHERIA_WR05
Macaca arctoides,Primates,Cercopithecidae,9358.04,9.35804,360,30,PanTHERIA_WR05
Macaca fascicularis,Primates,Cercopithecidae,4569.32,4.56932,456,38,PanTHERIA_WR05
Macaca fuscata,Primates,Cercopithecidae,10114.76,10.11476,396,33,PanTHERIA_WR05
Macaca mulatta,Primates,Cercopithecidae,6455.19,6.45519,432,36,PanTHERIA_WR05
Macaca nemestrina,Primates,Cercopithecidae,7820.78,7.82078,411.6,34.3,PanTHERIA_WR05
Macaca nigra,Primates,Cercopithecidae,7359.39,7.35939,216,18,PanTHERIA_WR05
Macaca pagensis,Primates,Cercopithecidae,4534.66,4.53466,360,30,PanTHERIA_WR05
Macaca radiata,Primates,Cercopithecidae,4999.99,4.99999,360,30,PanTHERIA_WR05
Macaca silenus,Primates,Cercopithecidae,5995.25,5.99525,480,40,PanTHERIA_WR05
Macaca sinica,Primates,Cercopithecidae,4655.99,4.65599,420,35,PanTHERIA_WR05
Macaca sylvanus,Primates,Cercopithecidae,11471.53,11.47153,264,22,PanTHERIA_WR05
Mesocricetus auratus,Rodentia,Cricetidae,98.6,0.0986,120,10,PanTHERIA_WR05
Mesoplodon densirostris,Cetacea,Ziphiidae,2300000,2300,324,27,PanTHERIA_WR05
Macropus agilis,Diprotodontia,Macropodidae,11815.75,11.81575,144,12,PanTHERIA_WR05
Macropus antilopinus,Diprotodontia,Macropodidae,27250.1,27.2501,192,16,PanTHERIA_WR05
Macropus dorsalis,Diprotodontia,Macropodidae,11249.96,11.24996,180,15,PanTHERIA_WR05
Macropus eugenii,Diprotodontia,Macropodidae,5278.48,5.27848,168,14,PanTHERIA_WR05
Macropus fuliginosus,Diprotodontia,Macropodidae,25564.7,25.5647,240,20,PanTHERIA_WR05
Macropus giganteus,Diprotodontia,Macropodidae,33409.89,33.40989,288,24,PanTHERIA_WR05
Macropus parma,Diprotodontia,Macropodidae,4156.62,4.15662,120,10,PanTHERIA_WR05
Macropus parryi,Diprotodontia,Macropodidae,12629.83,12.62983,168,14,PanTHERIA_WR05
Macropus robustus,Diprotodontia,Macropodidae,25978.92,25.97892,288,24,PanTHERIA_WR05
Macropus rufogriseus,Diprotodontia,Macropodidae,16850,16.85,228,19,PanTHERIA_WR05
Macropus rufus,Diprotodontia,Macropodidae,38968.39,38.96839,360,30,PanTHERIA_WR05
Macrotis lagotis,Peramelemorphia,Thylacomyidae,1229.58,1.22958,120,10,PanTHERIA_WR05
Macrotus californicus,Chiroptera,Phyllostomidae,11.83,0.01183,124.8,10.4,PanTHERIA_WR05
Macrotus waterhousii,Chiroptera,Phyllostomidae,16.27,0.01627,125,10.416667,PanTHERIA_WR05
Madoqua guentheri,Artiodactyla,Bovidae,4623.7,4.6237,168,14,PanTHERIA_WR05
Madoqua kirkii,Artiodactyla,Bovidae,4833.4,4.8334,198,16.5,PanTHERIA_WR05
Madoqua piacentinii,Artiodactyla,Bovidae,2500,2.5,168,14,PanTHERIA_WR05
Madoqua saltiana,Artiodactyla,Bovidae,3424.47,3.42447,168,14,PanTHERIA_WR05
Makalata didelphoides,Rodentia,Echimyidae,398.66,0.39866,37.2,3.1,PanTHERIA_WR05
Mandrillus leucophaeus,Primates,Cercopithecidae,14253.3,14.2533,400.8,33.4,PanTHERIA_WR05
Mandrillus sphinx,Primates,Cercopithecidae,16685.06,16.68506,555.96,46.33,PanTHERIA_WR05
Manis crassicaudata,Pholidota,Manidae,8017.56,8.01756,162,13.5,PanTHERIA_WR05
Martes americana,Carnivora,Mustelidae,873.69,0.87369,228,19,PanTHERIA_WR05
Martes flavigula,Carnivora,Mustelidae,2504.64,2.50464,168,14,PanTHERIA_WR05
Martes foina,Carnivora,Mustelidae,1675,1.675,217.2,18.1,PanTHERIA_WR05
Martes martes,Carnivora,Mustelidae,1299.99,1.29999,204,17,PanTHERIA_WR05
Martes pennanti,Carnivora,Mustelidae,3750,3.75,121.76,10.146667,PanTHERIA_WR05
Martes zibellina,Carnivora,Mustelidae,1173.91,1.17391,180,15,PanTHERIA_WR05
Mazama americana,Artiodactyla,Cervidae,20546.86,20.54686,165.6,13.8,PanTHERIA_WR05
Mazama gouazoubira,Artiodactyla,Cervidae,16633.17,16.63317,144,12,PanTHERIA_WR05
Megaderma lyra,Chiroptera,Megadermatidae,39.27,0.03927,168,14,PanTHERIA_WR05
Melogale moschata,Carnivora,Mustelidae,938.5,0.9385,126,10.5,PanTHERIA_WR05
Melursus ursinus,Carnivora,Ursidae,99999.99,99.99999,480,40,PanTHERIA_WR05
Mephitis mephitis,Carnivora,Mephitidae,2399.99,2.39999,155,12.916667,PanTHERIA_WR05
Meriones crassus,Rodentia,Muridae,69.94,0.06994,67.2,5.6,PanTHERIA_WR05
Microtus oeconomus,Rodentia,Cricetidae,33.1,0.0331,21.6,1.8,PanTHERIA_WR05
Microtus oregoni,Rodentia,Cricetidae,20.35,0.02035,15,1.25,PanTHERIA_WR05
Microtus pennsylvanicus,Rodentia,Cricetidae,42.53,0.04253,11,0.91666667,PanTHERIA_WR05
Microtus pinetorum,Rodentia,Cricetidae,25.95,0.02595,33.6,2.8,PanTHERIA_WR05
Microtus richardsoni,Rodentia,Cricetidae,85.5,0.0855,18,1.5,PanTHERIA_WR05
Miniopterus schreibersii,Chiroptera,Vespertilionidae,11.46,0.01146,168,14,PanTHERIA_WR05
Muntiacus muntjak,Artiodactyla,Cervidae,17611.59,17.61159,211.2,17.6,PanTHERIA_WR05
Metachirus nudicaudatus,Didelphimorphia,Didelphidae,363.77,0.36377,48,4,PanTHERIA_WR05
Microcebus murinus,Primates,Cheirogaleidae,69,0.069,186,15.5,PanTHERIA_WR05
Microcebus rufus,Primates,Cheirogaleidae,48.39,0.04839,144,12,PanTHERIA_WR05
Microdipodops megacephalus,Rodentia,Heteromyidae,12.3,0.0123,65,5.4166667,PanTHERIA_WR05
Microgale dobsoni,Afrosoricida,Tenrecidae,36.66,0.03666,67.2,5.6,PanTHERIA_WR05
Microgale talazaci,Afrosoricida,Tenrecidae,43.07,0.04307,70,5.8333333,PanTHERIA_WR05
Micromys minutus,Rodentia,Muridae,6.99,0.00699,60,5,PanTHERIA_WR05
Microtus agrestis,Rodentia,Cricetidae,35.87,0.03587,39.6,3.3,PanTHERIA_WR05
Microtus arvalis,Rodentia,Cricetidae,26.9,0.0269,36,3,PanTHERIA_WR05
Myotis sodalis,Chiroptera,Vespertilionidae,7.15,0.00715,240,20,PanTHERIA_WR05
Myotis thysanodes,Chiroptera,Vespertilionidae,8.49,0.00849,219.6,18.3,PanTHERIA_WR05
Myotis velifer,Chiroptera,Vespertilionidae,9.82,0.00982,135.96,11.33,PanTHERIA_WR05
Myotis vivesi,Chiroptera,Vespertilionidae,25.63,0.02563,120,10,PanTHERIA_WR05
Myotis volans,Chiroptera,Vespertilionidae,8.71,0.00871,51,4.25,PanTHERIA_WR05
Myotis yumanensis,Chiroptera,Vespertilionidae,5.15,0.00515,105.96,8.83,PanTHERIA_WR05
Myrmecobius fasciatus,Dasyuromorphia,Myrmecobiidae,511.44,0.51144,72,6,PanTHERIA_WR05
Myrmecophaga tridactyla,Pilosa,Myrmecophagidae,29531.83,29.53183,312,26,PanTHERIA_WR05
Mystromys albicaudatus,Rodentia,Nesomyidae,86.85,0.08685,72,6,PanTHERIA_WR05
Naemorhedus baileyi,Artiodactyla,Bovidae,28863.45,28.86345,219,18.25,PanTHERIA_WR05
Naemorhedus caudatus,Artiodactyla,Bovidae,26999.99,26.99999,108.96,9.08,PanTHERIA_WR05
Naemorhedus goral,Artiodactyla,Bovidae,28796.51,28.79651,211.2,17.6,PanTHERIA_WR05
Nandinia binotata,Carnivora,Nandiniidae,2167.2,2.1672,222,18.5,PanTHERIA_WR05
Microtus guentheri,Rodentia,Cricetidae,49.99,0.04999,46.8,3.9,PanTHERIA_WR05
Mus minutoides,Rodentia,Muridae,6.43,0.00643,37.2,3.1,PanTHERIA_WR05
Mus musculus,Rodentia,Muridae,19.3,0.0193,72,6,PanTHERIA_WR05
Muscardinus avellanarius,Rodentia,Gliridae,29.19,0.02919,72,6,PanTHERIA_WR05
Mustela erminea,Carnivora,Mustelidae,284.5,0.2845,85.23,7.1025,PanTHERIA_WR05
Mustela frenata,Carnivora,Mustelidae,190.03,0.19003,85.23,7.1025,PanTHERIA_WR05
Mustela lutreola,Carnivora,Mustelidae,566.44,0.56644,120,10,PanTHERIA_WR05
Mustela nigripes,Carnivora,Mustelidae,907.1,0.9071,144,12,PanTHERIA_WR05
Mustela nivalis,Carnivora,Mustelidae,78.45,0.07845,120,10,PanTHERIA_WR05
Mustela putorius,Carnivora,Mustelidae,975.55,0.97555,168,14,PanTHERIA_WR05
Mustela sibirica,Carnivora,Mustelidae,530.85,0.53085,106,8.8333333,PanTHERIA_WR05
Myocastor coypus,Rodentia,Myocastoridae,6361.55,6.36155,144,12,PanTHERIA_WR05
Myodes gapperi,Rodentia,Cricetidae,19.83,0.01983,20,1.6666667,PanTHERIA_WR05
Myodes glareolus,Rodentia,Cricetidae,20.73,0.02073,58.8,4.9,PanTHERIA_WR05
Myodes smithii,Rodentia,Cricetidae,34.94,0.03494,42,3.5,PanTHERIA_WR05
Myoprocta acouchy,Rodentia,Dasyproctidae,954.87,0.95487,120,10,PanTHERIA_WR05
Myopus schisticolor,Rodentia,Cricetidae,29.99,0.02999,12,1,PanTHERIA_WR05
Myosorex varius,Soricomorpha,Soricidae,11.68,0.01168,12,1,PanTHERIA_WR05
Myotis auriculus,Chiroptera,Vespertilionidae,38.04,0.03804,38,3.1666667,PanTHERIA_WR05
Myotis austroriparius,Chiroptera,Vespertilionidae,7.35,0.00735,72,6,PanTHERIA_WR05
Myotis bechsteinii,Chiroptera,Vespertilionidae,9.47,0.00947,252,21,PanTHERIA_WR05
Myotis blythii,Chiroptera,Vespertilionidae,23.82,0.02382,237.99,19.8325,PanTHERIA_WR05
Myotis californicus,Chiroptera,Vespertilionidae,4.39,0.00439,180,15,PanTHERIA_WR05
Myotis dasycneme,Chiroptera,Vespertilionidae,15.16,0.01516,234,19.5,PanTHERIA_WR05
Myotis daubentonii,Chiroptera,Vespertilionidae,7.63,0.00763,336,28,PanTHERIA_WR05
Myotis emarginatus,Chiroptera,Vespertilionidae,7.56,0.00756,216,18,PanTHERIA_WR05
Myotis grisescens,Chiroptera,Vespertilionidae,10.84,0.01084,471.24,39.27,PanTHERIA_WR05
Myotis keenii,Chiroptera,Vespertilionidae,6.51,0.00651,222,18.5,PanTHERIA_WR05
Myotis lucifugus,Chiroptera,Vespertilionidae,7.8,0.0078,408,34,PanTHERIA_WR05
Myotis myotis,Chiroptera,Vespertilionidae,25.59,0.02559,264,22,PanTHERIA_WR05
Myotis nattereri,Chiroptera,Vespertilionidae,7.25,0.00725,180,15,PanTHERIA_WR05
Nanger dama,Artiodactyla,Bovidae,71424.81,71.42481,207.96,17.33,PanTHERIA_WR05
Nanger granti,Artiodactyla,Bovidae,55464.46,55.46446,152.04,12.67,PanTHERIA_WR05
Nanger soemmerringii,Artiodactyla,Bovidae,41582.93,41.58293,186,15.5,PanTHERIA_WR05
Napaeozapus insignis,Rodentia,Dipodidae,22.25,0.02225,48,4,PanTHERIA_WR05
Nasalis larvatus,Primates,Cercopithecidae,12265.65,12.26565,252,21,PanTHERIA_WR05
Nasua narica,Carnivora,Procyonidae,4578.43,4.57843,212,17.666667,PanTHERIA_WR05
Nasua nasua,Carnivora,Procyonidae,3775.5,3.7755,212.4,17.7,PanTHERIA_WR05
Natalus stramineus,Chiroptera,Natalidae,5.68,0.00568,57.96,4.83,PanTHERIA_WR05
Neofelis nebulosa,Carnivora,Felidae,14945.05,14.94505,204,17,PanTHERIA_WR05
Neomys anomalus,Soricomorpha,Soricidae,13.19,0.01319,24,2,PanTHERIA_WR05
Neomys fodiens,Soricomorpha,Soricidae,15.26,0.01526,36,3,PanTHERIA_WR05
Neophoca cinerea,Carnivora,Otariidae,189274.99,189.27499,192,16,PanTHERIA_WR05
Neophocaena phocaenoides,Cetacea,Phocoenidae,32500,32.5,276,23,PanTHERIA_WR05
Neotoma albigula,Rodentia,Cricetidae,208.18,0.20818,92.4,7.7,PanTHERIA_WR05
Neotoma floridana,Rodentia,Cricetidae,249.16,0.24916,36,3,PanTHERIA_WR05
Ochotona alpina,Lagomorpha,Ochotonidae,150,0.15,36,3,PanTHERIA_WR05
Ochotona cansus,Lagomorpha,Ochotonidae,68.75,0.06875,60,5,PanTHERIA_WR05
Ochotona collaris,Lagomorpha,Ochotonidae,129,0.129,72,6,PanTHERIA_WR05
Ochotona princeps,Lagomorpha,Ochotonidae,157.63,0.15763,84,7,PanTHERIA_WR05
Ochotona pusilla,Lagomorpha,Ochotonidae,142.5,0.1425,48,4,PanTHERIA_WR05
Pelea capreolus,Artiodactyla,Bovidae,22731.33,22.73133,147.96,12.33,PanTHERIA_WR05
Okapia johnstoni,Artiodactyla,Giraffidae,230001.14,230.00114,396,33,PanTHERIA_WR05
Ommatophoca rossii,Carnivora,Phocidae,208252.12,208.25212,252,21,PanTHERIA_WR05
Ondatra zibethicus,Rodentia,Cricetidae,991.31,0.99131,120,10,PanTHERIA_WR05
Onychogalea fraenata,Diprotodontia,Macropodidae,4952.05,4.95205,60,5,PanTHERIA_WR05
Oryzomys galapagoensis,Rodentia,Cricetidae,63.51,0.06351,20,1.6666667,PanTHERIA_WR05
Oryzomys megacephalus,Rodentia,Cricetidae,57,0.057,45,3.75,PanTHERIA_WR05
Oryzomys palustris,Rodentia,Cricetidae,53.26,0.05326,28.5,2.375,PanTHERIA_WR05
Neotoma micropus,Rodentia,Cricetidae,255.14,0.25514,27,2.25,PanTHERIA_WR05
Neotragus batesi,Artiodactyla,Bovidae,2967.45,2.96745,168,14,PanTHERIA_WR05
Neotragus moschatus,Artiodactyla,Bovidae,5639.01,5.63901,168,14,PanTHERIA_WR05
Neotragus pygmaeus,Artiodactyla,Bovidae,3913.68,3.91368,168,14,PanTHERIA_WR05
Ningaui ridei,Dasyuromorphia,Dasyuridae,9.42,0.00942,24,2,PanTHERIA_WR05
Ningaui timealeyi,Dasyuromorphia,Dasyuridae,6.37,0.00637,24,2,PanTHERIA_WR05
Nomascus concolor,Primates,Hylobatidae,6410.47,6.41047,529.2,44.1,PanTHERIA_WR05
Notiosorex crawfordi,Soricomorpha,Soricidae,4.79,0.00479,15,1.25,PanTHERIA_WR05
Notomys alexis,Rodentia,Muridae,32.34,0.03234,62.4,5.2,PanTHERIA_WR05
Notoryctes typhlops,Notoryctemorphia,Notoryctidae,55,0.055,18,1.5,PanTHERIA_WR05
Nyctalus noctula,Chiroptera,Vespertilionidae,28.48,0.02848,144,12,PanTHERIA_WR05
Nyctereutes procyonoides,Carnivora,Canidae,4214.99,4.21499,168,14,PanTHERIA_WR05
Nycticebus coucang,Primates,Lorisidae,924.55,0.92455,318,26.5,PanTHERIA_WR05
Nycticeius humeralis,Chiroptera,Vespertilionidae,9.12,0.00912,60,5,PanTHERIA_WR05
Nyctomys sumichrasti,Rodentia,Cricetidae,59.99,0.05999,62.4,5.2,PanTHERIA_WR05
Ochrotomys nuttalli,Rodentia,Cricetidae,22.81,0.02281,30,2.5,PanTHERIA_WR05
Octodon degus,Rodentia,Octodontidae,203.27,0.20327,85.2,7.1,PanTHERIA_WR05
Octodontomys gliroides,Rodentia,Octodontidae,155.77,0.15577,88,7.3333333,PanTHERIA_WR05
Odobenus rosmarus,Carnivora,Odobenidae,1042996.2,1042.9962,480,40,PanTHERIA_WR05
Odocoileus hemionus,Artiodactyla,Cervidae,84560.57,84.56057,264,22,PanTHERIA_WR05
Odocoileus virginianus,Artiodactyla,Cervidae,75901.25,75.90125,276,23,PanTHERIA_WR05
Onychomys leucogaster,Rodentia,Cricetidae,27.92,0.02792,60,5,PanTHERIA_WR05
Onychomys torridus,Rodentia,Cricetidae,21.68,0.02168,55.2,4.6,PanTHERIA_WR05
Orcinus orca,Cetacea,Delphinidae,5628758.7,5628.7587,1200,100,PanTHERIA_WR05
Oreamnos americanus,Artiodactyla,Bovidae,72105.4,72.1054,230.04,19.17,PanTHERIA_WR05
Oreotragus oreotragus,Artiodactyla,Bovidae,13486.55,13.48655,213.96,17.83,PanTHERIA_WR05
Ornithorhynchus anatinus,Monotremata,Ornithorhynchidae,1484.25,1.48425,264,22,PanTHERIA_WR05
Orycteropus afer,Tubulidentata,Orycteropodidae,56175.2,56.1752,288,24,PanTHERIA_WR05
Oryctolagus cuniculus,Lagomorpha,Leporidae,1590.57,1.59057,216,18,PanTHERIA_WR05
Oryx beisa,Artiodactyla,Bovidae,200576.52,200.57652,240,20,PanTHERIA_WR05
Oryx dammah,Artiodactyla,Bovidae,199798.95,199.79895,245.04,20.42,PanTHERIA_WR05
Oryx gazella,Artiodactyla,Bovidae,188404.45,188.40445,240,20,PanTHERIA_WR05
Oryx leucoryx,Artiodactyla,Bovidae,75788.24,75.78824,240,20,PanTHERIA_WR05
Otaria flavescens,Carnivora,Otariidae,193670.53,193.67053,297.6,24.8,PanTHERIA_WR05
Otocyon megalotis,Carnivora,Canidae,4098.12,4.09812,165.6,13.8,PanTHERIA_WR05
Otolemur crassicaudatus,Primates,Galagidae,1206.61,1.20661,225.6,18.8,PanTHERIA_WR05
Otolemur garnettii,Primates,Galagidae,811.17,0.81117,204,17,PanTHERIA_WR05
Ourebia ourebi,Artiodactyla,Bovidae,17186.09,17.18609,189.96,15.83,PanTHERIA_WR05
Ovibos moschatus,Artiodactyla,Bovidae,312500,312.5,288,24,PanTHERIA_WR05
Ovis ammon,Artiodactyla,Bovidae,113998.72,113.99872,180.96,15.08,PanTHERIA_WR05
Ovis aries,Artiodactyla,Bovidae,39097.89,39.09789,230.04,19.17,PanTHERIA_WR05
