species,order,family,mass_g,mass_kg,max_longevity_months,max_longevity_years,source
Alouatta seniculus,Primates,Atelidae,6398.31,6.39831,300,25,PanTHERIA_WR05
Amblysomus hottentotus,Afrosoricida,Chrysochloridae,62.6,0.0626,12,1,PanTHERIA_WR05
Ammodorcas clarkei,Artiodactyla,Bovidae,28049.81,28.04981,36,3,PanTHERIA_WR05
Ammospermophilus leucurus,Rodentia,Sciuridae,103.92,0.10392,69.6,5.8,PanTHERIA_WR05
Ammospermophilus nelsoni,Rodentia,Sciuridae,160.42,0.16042,66,5.5,PanTHERIA_WR05
Ammotragus lervia,Artiodactyla,Bovidae,94202.22,94.20222,252,21,PanTHERIA_WR05
Anoura geoffroyi,Chiroptera,Phyllostomidae,15.15,0.01515,120,10,PanTHERIA_WR05
Antechinomys laniger,Dasyuromorphia,Dasyuridae,25.57,0.02557,39.6,3.3,PanTHERIA_WR05
Antechinus bellus,Dasyuromorphia,Dasyuridae,38.73,0.03873,27.6,2.3,PanTHERIA_WR05
Antechinus flavipes,Dasyuromorphia,Dasyuridae,44.33,0.04433,42,3.5,PanTHERIA_WR05
Antechinus leo,Dasyuromorphia,Dasyuridae,70.09,0.07009,24,2,PanTHERIA_WR05
Antechinus minimus,Dasyuromorphia,Dasyuridae,52.56,0.05256,24,2,PanTHERIA_WR05
Antechinus stuartii,Dasyuromorphia,Dasyuridae,29.01,0.02901,36,3,PanTHERIA_WR05
Antechinus swainsonii,Dasyuromorphia,Dasyuridae,58.69,0.05869,24,2,PanTHERIA_WR05
Antidorcas marsupialis,Artiodactyla,Bovidae,33571.24,33.57124,240,20,PanTHERIA_WR05
Antilocapra americana,Artiodactyla,Antilocapridae,47450.01,47.45001,144,12,PanTHERIA_WR05
Antilope cervicapra,Artiodactyla,Bovidae,36301.1,36.3011,243,20.25,PanTHERIA_WR05
Antrozous pallidus,Chiroptera,Vespertilionidae,22.24,0.02224,109.2,9.1,PanTHERIA_WR05
Aonyx capensis,Carnivora,Mustelidae,19322.22,19.32222,132,11,PanTHERIA_WR05
Aonyx cinerea,Carnivora,Mustelidae,3527.59,3.52759,121,10.083333,PanTHERIA_WR05
Aotus lemurinus,Primates,Aotidae,865.96,0.86596,216,18,PanTHERIA_WR05
Aotus trivirgatus,Primates,Aotidae,912.4,0.9124,303.6,25.3,PanTHERIA_WR05
Aplodontia rufa,Rodentia,Aplodontiidae,806.21,0.80621,120,10,PanTHERIA_WR05
Apodemus agrarius,Rodentia,Muridae,21.11,0.02111,48,4,PanTHERIA_WR05
Apodemus flavicollis,Rodentia,Muridae,31.6,0.0316,48,4,PanTHERIA_WR05
Apodemus sylvaticus,Rodentia,Muridae,21.9,0.0219,52.8,4.4,PanTHERIA_WR05
